N	2gram	Voloshinov_2	Analitik
1	не только	13	22
2	и в	19	18
3	как и	9	14
4	так и	10	14
5	в этом	15	14
6	но и	10	13
7	и его	16	13
8	том что	10	12
9	в качестве	3	12
10	и не	19	12
11	при этом	9	11
12	а в	3	10
13	как бы	19	10
14	то есть	2	10
15	может быть	28	9
16	что в	2	9
17	а не	9	9
18	в том	7	9
19	с его	8	8
20	и даже	2	8
21	с другой	3	7
22	но не	2	7
23	в его	5	7
24	отношению к	8	7
25	как раз	4	7
26	по отношению	8	7
27	к тому	6	6
28	не в	10	6
29	в начале	2	6
30	для него	9	6
31	еще не	3	6
32	в этой	3	6
33	он не	3	6
34	и самого	2	6
35	в их	5	6
36	о том	3	6
37	никогда не	7	5
38	не является	8	5
39	прежде всего	7	5
40	в свою	6	5
41	или иной	5	5
42	того же	5	5
43	в самом	6	5
44	что и	3	5
45	и т.п	10	5
46	в сущности	14	5
47	лишь в	14	5
48	той же	3	5
49	в слове	4	5
50	между тем	6	5
51	перед нами	3	4
52	о чем	2	4
53	отнюдь не	8	4
54	в своем	2	4
55	столь же	3	4
56	по крайней	2	4
57	по себе	3	4
58	что он	4	4
59	и как	6	4
60	себя в	2	4
61	свою очередь	5	4
62	в пределах	10	4
63	не есть	3	4
64	крайней мере	2	4
65	все же	5	4
66	приводит к	2	4
67	таким образом	14	4
68	и на	5	4
69	в данном	5	4
70	далеко не	2	4
71	уже в	2	3
72	однако и	2	3
73	к этому	5	3
74	в ее	3	3
75	тому же	2	3
76	и того	5	3
77	что они	2	3
78	было бы	4	3
79	же время	8	3
80	той или	4	3
81	лишь на	5	3
82	не будет	3	3
83	то же	16	3
84	не было	3	3
85	именно в	2	3
86	на языке	2	3
87	что не	2	3
88	мы не	2	3
89	без исключения	2	3
90	ничего не	4	3
91	вступает в	2	3
92	с этим	3	3
93	точки зрения	17	3
94	он и	2	3
95	одного и	4	3
96	но как	2	3
97	в то	8	3
98	его в	7	3
99	ответ на	2	3
100	в особенности	2	3
101	всех без	2	3
102	вступить в	3	2
103	могут быть	3	2
104	все эти	3	2
105	поэтому в	2	2
106	это не	4	2
107	но они	2	2
108	не как	3	2
109	всякое высказывание	3	2
110	и от	3	2
111	в жизни	2	2
112	в нем	11	2
113	и ее	4	2
114	в тех	2	2
115	этом как	2	2
116	да и	3	2
117	одна из	7	2
118	подход к	2	2
119	в большинстве	5	2
120	одной стороны	3	2
121	совершенно не	5	2
122	значительной степени	2	2
123	в ней	3	2
124	в контексте	5	2
125	и потому	2	2
126	всяком случае	2	2
127	его внешней	2	2
128	не с	2	2
129	то что	4	2
130	во всех	6	2
131	вместе с	2	2
132	связь с	4	2
133	в форме	5	2
134	не может	18	2
135	в отличие	3	2
136	отношения к	2	2
137	с одной	3	2
138	сводится к	2	2
139	в той	5	2
140	самом деле	9	2
141	в значительной	2	2
142	высказывания как	7	2
143	с точки	13	2
144	и он	2	2
145	и для	7	2
146	и прежде	2	2
147	сказать что	4	2
148	во всяком	3	2
149	мы можем	6	2
150	тем что	2	2
151	в себе	4	2
152	и здесь	5	2
153	только в	8	2
154	и т.д	4	2
155	этого слова	5	2
156	и все	6	2
157	так сказать	14	2
158	в становлении	3	2
159	там где	2	2
160	отличие от	3	2
161	но в	7	2
