N	2gram	Vygotskiy__5	VLabPisa
1	таким образом	19	27
2	в этом	25	26
3	и в	16	25
4	не только	16	22
5	может быть	9	21
6	хотя бы	5	20
7	и не	12	19
8	не может	18	17
9	в его	11	15
10	в процессе	13	14
11	прежде всего	3	13
12	в том	18	13
13	этом отношении	5	13
14	в частности	3	12
15	все это	2	12
16	как это	8	12
17	с другой	4	11
18	в силу	10	11
19	из них	2	11
20	не могут	4	10
21	в качестве	4	10
22	о том	8	10
23	к этому	3	9
24	что в	16	9
25	для него	5	9
26	но и	6	9
27	то же	8	9
28	все эти	4	8
29	на основании	2	8
30	в своем	5	8
31	другой стороны	2	8
32	могут быть	4	8
33	же в	2	7
34	как и	8	7
35	том что	15	7
36	было бы	10	7
37	говорит о	3	7
38	отношению к	12	7
39	во всех	2	7
40	вместе с	4	7
41	по отношению	12	7
42	а не	10	7
43	у него	6	6
44	это не	4	6
45	это и	3	6
46	то что	26	6
47	в нем	7	6
48	в зависимости	2	6
49	так и	7	6
50	и его	3	6
51	их в	2	6
52	между тем	3	6
53	в то	5	6
54	в результате	4	5
55	тому что	5	5
56	все же	3	5
57	зависимости от	2	5
58	очевидно что	2	5
59	в пределах	4	5
60	связи с	3	5
61	и есть	7	5
62	одним из	2	5
63	как бы	5	5
64	в их	3	5
65	приводит к	7	5
66	на основе	2	5
67	сказать что	13	5
68	только в	10	5
69	не в	6	5
70	не является	5	5
71	к тому	6	4
72	для его	2	4
73	в единстве	2	4
74	никогда не	5	4
75	их и	2	4
76	в одном	3	4
77	в целом	4	4
78	что все	6	4
79	что он	25	4
80	можно сказать	5	4
81	в своей	2	4
82	в самом	4	4
83	когда он	2	4
84	в них	2	4
85	вот почему	3	4
86	в этой	6	4
87	и к	2	3
88	с тем	3	3
89	и как	3	3
90	и от	2	3
91	только что	5	3
92	мы знаем	3	3
93	у нас	2	3
94	по существу	3	3
95	мы видели	3	3
96	что они	5	3
97	но как	3	3
98	это мы	2	3
99	по поводу	2	3
100	с этим	3	3
101	вслед за	2	3
102	в виду	2	3
103	в котором	2	3
104	его в	2	3
105	что и	3	3
106	жизни и	2	3
107	и их	4	3
108	ее в	3	3
109	именно в	4	3
110	образом в	2	3
111	этот вопрос	6	3
112	имеет свою	3	3
113	того что	16	3
114	и по	4	3
115	так же	15	3
116	никак не	3	3
117	как на	3	3
118	точки зрения	18	3
119	является не	2	3
120	бы в	4	3
121	том как	2	3
122	сказанного выше	2	2
123	не менее	3	2
124	на вопрос	5	2
125	в самых	4	2
126	зависит от	4	2
127	только не	3	2
128	восприятия и	3	2
129	развитие как	4	2
130	эта теория	4	2
131	справедливо говорит	2	2
132	в жизни	2	2
133	вовсе не	2	2
134	по себе	7	2
135	показывает что	5	2
136	стороны и	2	2
137	как процесс	3	2
138	до сих	3	2
139	и потому	2	2
140	но не	10	2
141	естественно что	2	2
142	в различных	2	2
143	как известно	4	2
144	из основных	3	2
145	в системе	4	2
146	по одному	4	2
147	еще не	4	2
148	одной стороны	3	2
149	и может	3	2
150	же самое	4	2
151	для того	14	2
152	одной из	3	2
153	то это	2	2
154	если бы	8	2
155	к ним	2	2
156	в ней	2	2
157	что она	2	2
158	оно является	3	2
159	и даже	2	2
160	если в	3	2
161	ни одного	2	2
162	что для	2	2
163	он может	3	2
164	сих пор	3	2
165	от того	3	2
166	за скобки	2	2
167	уже по	4	2
168	а в	3	2
169	еще и	3	2
170	с одной	3	2
171	что оно	6	2
172	но с	2	2
173	этой точки	4	2
174	заключается в	5	2
175	того чтобы	17	2
176	из которых	3	2
177	должны быть	2	2
178	и памяти	4	2
179	другом месте	4	2
180	можно было	5	2
181	тому как	4	2
182	в своих	2	2
183	во всяком	2	2
184	он в	3	2
185	он не	8	2
186	подобно тому	4	2
187	они не	3	2
188	к его	3	2
189	говорить о	3	2
190	в другом	6	2
191	ту же	2	2
192	что мы	4	2
193	как он	6	2
194	в чем	3	2
195	в которой	5	2
196	в области	12	2
197	же как	7	2
198	тогда когда	5	2
199	о чем	2	2
200	но в	6	2
201	значит что	5	2
