N	2gram	Propp_Russ_2	Myshleni
1	таким образом	6	26
2	в том	22	24
3	и в	29	23
4	том что	22	21
5	того чтобы	6	17
6	то что	5	17
7	в этом	11	17
8	так же	4	16
9	не только	10	16
10	того что	3	15
11	для того	6	15
12	что в	22	14
13	может быть	13	14
14	но и	8	14
15	как и	11	14
16	не может	5	12
17	как бы	18	11
18	представляет собой	2	11
19	с другой	2	10
20	прежде всего	2	10
21	в качестве	3	9
22	одной стороны	2	9
23	между тем	3	9
24	и с	10	9
25	вместе с	6	9
26	с одной	2	8
27	нас к	3	8
28	и на	6	8
29	то же	4	8
30	вопрос о	4	7
31	как уже	2	7
32	в этой	3	7
33	в то	2	7
34	так как	13	7
35	с тем	6	7
36	мы не	6	7
37	и ее	2	7
38	с этой	2	6
39	же как	4	6
40	все это	10	6
41	именно в	4	6
42	потому что	5	6
43	с этим	2	6
44	о том	9	6
45	связь между	2	6
46	тем что	3	6
47	то время	2	5
48	и как	2	5
49	для этого	5	5
50	что для	3	5
51	в своих	2	5
52	и все	4	5
53	но в	5	5
54	между собой	2	5
55	а затем	4	5
56	и что	5	5
57	как мы	3	5
58	из этого	2	5
59	но не	5	4
60	не в	4	4
61	при этом	6	4
62	что она	3	4
63	но вместе	2	4
64	в котором	3	4
65	ее на	2	4
66	в свете	3	4
67	все эти	3	4
68	не столько	2	4
69	их в	4	4
70	к этому	5	4
71	по существу	4	4
72	было бы	3	4
73	должен быть	2	4
74	в своей	2	4
75	как в	7	4
76	а с	2	4
77	что это	3	3
78	и от	3	3
79	из этих	2	3
80	показывает что	8	3
81	том чтобы	2	3
82	в их	2	3
83	то и	4	3
84	и других	3	3
85	в которых	4	3
86	этот вопрос	2	3
87	во всем	2	3
88	полагает что	2	3
89	тогда когда	4	3
90	об этом	2	3
91	тем и	2	3
92	во всех	3	3
93	из основных	2	3
94	она не	3	3
95	на две	2	3
96	все же	2	3
97	в природе	3	3
98	должны были	2	3
99	а не	4	3
100	из которых	2	3
101	можно было	2	3
102	и то	2	3
103	могут быть	2	3
104	связи с	2	3
105	в которой	2	3
106	никогда не	2	2
107	под именем	3	2
108	или даже	3	2
109	представление о	5	2
110	рассматривается как	2	2
111	на этом	3	2
112	что с	2	2
113	о чем	4	2
114	с развитием	2	2
115	не имеет	3	2
116	он показывает	2	2
117	один из	2	2
118	по всей	3	2
119	не с	2	2
120	мы видели	7	2
121	не к	2	2
122	данном случае	7	2
123	начиная с	2	2
124	должно быть	2	2
125	а в	9	2
126	одно из	2	2
127	в этих	3	2
128	на нее	6	2
129	как это	4	2
130	главным образом	3	2
131	в них	4	2
132	в стороне	2	2
133	на первый	3	2
134	в ее	3	2
135	только тогда	3	2
136	приводит нас	2	2
137	связано с	2	2
138	том же	4	2
139	с ней	5	2
140	ее в	8	2
141	того как	2	2
142	в течение	2	2
143	уже не	4	2
144	и пр	2	2
145	воздействовать на	2	2
146	с другими	3	2
147	в данном	6	2
148	и при	2	2
149	в виде	4	2
150	представляют собой	7	2
151	там где	2	2
152	заметить что	2	2
