N	2gram	Vinokur_Ku_3	Problemy
1	и в	23	46
2	и не	10	27
3	может быть	14	23
4	как бы	5	19
5	не может	6	19
6	в этом	16	16
7	не только	17	14
8	слова в	4	13
9	но и	3	12
10	как и	5	12
11	как мы	5	12
12	точки зрения	23	11
13	в одном	2	11
14	а не	11	11
15	не в	5	10
16	в пределах	2	10
17	прежде всего	9	9
18	в том	22	9
19	в самом	13	9
20	вовсе не	5	9
21	и к	3	9
22	в его	11	9
23	с точки	16	9
24	до сих	8	8
25	конечно не	2	8
26	сих пор	8	8
27	и с	3	7
28	по себе	6	7
29	еще не	9	7
30	в сущности	4	7
31	как раз	4	7
32	слова и	7	7
33	ни в	3	6
34	но это	5	6
35	хотя и	5	6
36	слово в	3	6
37	но в	2	6
38	на фоне	7	6
39	что он	6	6
40	то же	6	6
41	все это	2	6
42	только в	6	6
43	это не	3	5
44	при этом	6	5
45	в котором	2	5
46	по отношению	3	5
47	мы находим	3	5
48	в то	3	5
49	в структуре	3	5
50	так как	9	5
51	к другому	2	5
52	за пределы	2	5
53	о том	6	5
54	если же	2	5
55	отношению к	2	5
56	если мы	7	5
57	так сказать	2	5
58	том числе	2	4
59	уже в	3	4
60	что в	13	4
61	в этих	2	4
62	можно сказать	2	4
63	кроме того	2	4
64	в виду	8	4
65	в их	6	4
66	таким образом	9	4
67	еще и	2	4
68	все эти	7	4
69	должно быть	7	4
70	потому что	12	4
71	а что	2	4
72	и здесь	2	4
73	мы не	3	4
74	не знает	2	4
75	как в	4	4
76	раз и	2	4
77	точек зрения	2	4
78	том что	11	4
79	но не	3	4
80	совершенно не	5	4
81	он не	3	4
82	все же	5	4
83	то что	4	4
84	своего рода	2	4
85	в процессе	3	4
86	так и	6	4
87	уже не	8	4
88	самом деле	14	4
89	на себя	2	4
90	здесь не	2	4
91	в отношении	3	3
92	с другой	7	3
93	из этих	5	3
94	не могут	5	3
95	такой же	2	3
96	в своем	4	3
97	более или	2	3
98	на этом	2	3
99	но для	3	3
100	но если	3	3
101	то это	3	3
102	отношение к	3	3
103	другой стороны	3	3
104	так же	2	3
105	и только	3	3
106	с помощью	6	3
107	также и	5	3
108	как он	2	3
109	мы имеем	2	3
110	если бы	8	3
111	не как	2	3
112	в условиях	2	3
113	в различных	2	3
114	по существу	3	3
115	и при	2	3
116	а то	2	3
117	того же	4	3
118	и что	7	3
119	слов и	5	3
120	она не	3	3
121	было бы	16	3
122	в своей	4	3
123	и о	4	3
124	никак не	2	3
125	что и	6	3
126	на него	3	3
127	или менее	2	3
128	что же	5	3
129	в отличие	2	3
130	еще более	2	3
131	в той	4	3
132	тем же	2	3
133	той же	3	3
134	отличается от	2	3
135	в слове	4	3
136	слова как	2	3
137	сам по	3	3
138	тем что	5	3
139	далеко не	5	3
140	установка на	3	3
141	отличие от	2	3
142	не менее	12	2
143	сама по	2	2
144	но на	3	2
145	должна быть	3	2
146	для этого	6	2
147	мысли и	2	2
148	вопрос о	11	2
149	или иной	7	2
150	к тому	3	2
151	литературной речи	3	2
152	для нас	4	2
153	и как	2	2
154	но все	2	2
155	есть конечно	2	2
156	смысле слова	2	2
157	в большей	2	2
158	не дает	2	2
159	в общем	6	2
160	той или	5	2
161	вернемся к	2	2
162	и тем	6	2
163	на том	2	2
164	значение в	2	2
165	целый ряд	4	2
166	языка и	2	2
167	то и	2	2
168	не было	4	2
169	те же	7	2
170	они не	3	2
171	лишь в	8	2
172	как слово	2	2
173	свое время	2	2
174	а в	5	2
175	увидим что	2	2
176	в которых	3	2
177	в результате	3	2
178	сказать что	7	2
179	остается в	2	2
180	языка в	6	2
181	что мы	2	2
182	могло бы	3	2
183	между тем	4	2
184	у нас	10	2
185	и говорить	2	2
186	в корне	2	2
187	в свое	2	2
188	этого слова	4	2
189	себя внимание	2	2
190	и пр	3	2
191	когда он	2	2
192	вместе с	2	2
193	бы и	3	2
194	так в	2	2
195	в языке	7	2
196	бы не	3	2
197	и через	2	2
198	речи как	3	2
199	что такое	4	2
200	на этот	2	2
201	хотя бы	9	2
202	речь в	2	2
203	можно было	11	2
204	ничего не	6	2
205	в данном	7	2
206	этот вопрос	3	2
207	во всяком	2	2
208	могут быть	6	2
209	в поэзии	5	2
210	которые в	4	2
211	там где	3	2
212	того как	7	2
