N	2gram	Vygotskiy__5	Sovremen
1	не может	18	17
2	точки зрения	18	12
3	может быть	9	12
4	таким образом	19	11
5	мы не	3	9
6	в этом	25	7
7	и в	16	7
8	и не	12	6
9	как и	8	6
10	в результате	4	6
11	мы можем	6	6
12	ничего не	5	6
13	прежде всего	3	5
14	все эти	4	5
15	с точки	9	5
16	как бы	5	4
17	в развитии	28	4
18	мы видели	3	4
19	если мы	7	4
20	в целом	4	4
21	жизни и	2	4
22	вместе с	4	4
23	в зависимости	2	4
24	это не	4	4
25	а в	3	4
26	вопрос о	12	4
27	не только	16	4
28	с помощью	10	4
29	в том	18	4
30	их в	2	4
31	из них	2	4
32	мы должны	8	4
33	зависимости от	2	4
34	системы в	2	4
35	так как	16	4
36	в системе	4	3
37	но мы	5	3
38	самого начала	5	3
39	все же	3	3
40	он может	3	3
41	между собой	13	3
42	все это	2	3
43	то же	8	3
44	в нем	7	3
45	а не	10	3
46	и к	2	3
47	у нас	2	3
48	с самого	5	3
49	не в	6	3
50	в этой	6	3
51	еще не	4	3
52	он в	3	3
53	при этом	4	3
54	было бы	10	3
55	и т.д	4	3
56	в одном	3	3
57	как он	6	3
58	в первом	3	3
59	в области	12	3
60	что она	2	3
61	с необходимостью	5	3
62	но в	6	3
63	и потому	2	3
64	совершенно не	2	2
65	же мы	2	2
66	этих двух	3	2
67	только один	2	2
68	может иметь	2	2
69	не могут	4	2
70	не менее	3	2
71	и есть	7	2
72	для его	2	2
73	у него	6	2
74	на их	2	2
75	значение в	3	2
76	приводит к	7	2
77	то и	2	2
78	в отличие	2	2
79	что все	6	2
80	с одной	3	2
81	еще более	5	2
82	как мы	10	2
83	для развития	6	2
84	развития в	6	2
85	в свою	4	2
86	самом деле	3	2
87	и что	12	2
88	из которых	3	2
89	говорим о	2	2
90	на этот	4	2
91	и даже	2	2
92	и по	4	2
93	мы знаем	3	2
94	он должен	5	2
95	развития но	4	2
96	той же	4	2
97	мы видим	4	2
98	но все	2	2
99	такой же	4	2
100	во всяком	2	2
101	свою очередь	3	2
102	на этом	3	2
103	могут быть	4	2
104	с этим	3	2
105	как известно	4	2
106	развития мы	2	2
107	что в	16	2
108	не дает	2	2
109	говорить о	3	2
110	с другом	7	2
111	тот же	5	2
112	со всеми	2	2
113	же самое	4	2
114	на его	2	2
115	в самом	4	2
116	друг с	7	2
117	в которой	5	2
118	отличие от	2	2
119	в его	11	2
