N	2gram	Losev_Prob_1	Russkaja
1	не может	8	22
2	и не	31	19
3	в том	9	17
4	в этом	19	17
5	и в	32	14
6	то что	42	13
7	таким образом	6	11
8	то же	10	11
9	точки зрения	3	11
10	но и	9	10
11	в то	6	10
12	том что	12	9
13	не только	17	9
14	в себе	15	9
15	с точки	3	9
16	может быть	14	9
17	во всяком	7	9
18	прежде всего	10	8
19	того чтобы	9	8
20	отнюдь не	10	7
21	к тому	3	7
22	и если	6	7
23	не будет	2	7
24	самом деле	6	7
25	в данном	9	7
26	мы должны	5	7
27	о том	11	7
28	и с	2	7
29	если бы	4	6
30	на самом	6	6
31	что он	7	6
32	и при	2	6
33	с тем	5	6
34	для него	2	6
35	для того	8	6
36	всяком случае	3	6
37	все это	7	6
38	в своем	5	6
39	и для	4	6
40	хотя бы	3	5
41	он должен	2	5
42	на то	8	5
43	и на	8	5
44	или иной	5	5
45	при этом	6	5
46	до сих	3	5
47	было бы	8	5
48	в своей	8	5
49	он не	3	5
50	никогда не	7	5
51	в нем	13	5
52	сих пор	3	5
53	во всех	7	5
54	и только	4	5
55	по существу	2	5
56	а потому	2	5
57	а в	4	5
58	потому что	16	5
59	только в	7	5
60	между тем	2	5
61	но не	9	4
62	не могут	2	4
63	что в	12	4
64	как и	3	4
65	более или	3	4
66	он будет	2	4
67	как бы	14	4
68	вместе с	2	4
69	или менее	3	4
70	что же	9	4
71	в их	4	4
72	не в	4	4
73	можно было	3	4
74	и то	6	4
75	в этой	10	4
76	в его	6	4
77	его в	6	4
78	так как	11	4
79	он сам	2	3
80	для них	2	3
81	что это	3	3
82	можно ли	5	3
83	на том	4	3
84	именно в	4	3
85	из этих	2	3
86	в конце	6	3
87	что все	3	3
88	что может	2	3
89	о которых	3	3
90	этом случае	2	3
91	всех этих	7	3
92	да и	3	3
93	и как	6	3
94	то в	5	3
95	что они	3	3
96	должно быть	2	3
97	в качестве	2	3
98	еще не	9	3
99	несмотря на	3	3
100	в самом	6	3
101	мы говорили	4	3
102	той или	5	3
103	но если	2	3
104	знаем что	2	3
105	и потому	2	3
106	для этого	3	3
107	не есть	29	3
108	и т	11	3
109	из них	3	3
110	данном случае	8	3
111	не было	4	3
112	что оно	3	3
113	того что	7	3
114	что для	2	3
115	или в	4	3
116	тем что	7	3
117	и во	3	3
118	в виде	15	3
119	говорить о	6	3
120	связи с	5	3
121	конце концов	4	3
122	и ни	4	3
123	в сознании	5	3
124	только для	3	2
125	сама по	4	2
126	нисколько не	3	2
127	от нас	3	2
128	и есть	6	2
129	по этому	3	2
130	друг другу	2	2
131	с этим	3	2
132	точно так	4	2
133	ясно что	3	2
134	или иного	2	2
135	по себе	15	2
136	ни в	7	2
137	уже не	3	2
138	следовательно и	2	2
139	так что	6	2
140	чтобы понять	3	2
141	это есть	9	2
142	но это	8	2
143	естественно что	2	2
144	является не	2	2
145	именно на	3	2
146	есть и	3	2
147	не можем	2	2
148	указывает на	14	2
149	настоящее время	3	2
150	она не	2	2
151	совершенно не	6	2
152	и о	8	2
153	однако отнюдь	2	2
154	но для	3	2
155	и является	7	2
156	помнить что	3	2
157	в котором	5	2
158	в настоящее	3	2
159	для себя	3	2
160	и тем	13	2
161	на этой	2	2
162	для нас	5	2
163	быть и	3	2
164	но она	3	2
165	ее в	2	2
166	тому что	4	2
167	это только	2	2
168	даже если	4	2
169	если не	4	2
170	все эти	8	2
171	не просто	23	2
172	только на	4	2
173	и что	9	2
174	тем самым	4	2
175	а не	15	2
176	что такое	6	2
177	и даже	11	2
178	к нему	3	2
179	так же	9	2
180	в других	5	2
181	во многих	2	2
182	в таком	9	2
183	в результате	2	2
184	их в	4	2
185	больше чем	2	2
186	мы можем	4	2
187	не о	2	2
188	даже и	8	2
189	на себя	2	2
190	мы уже	5	2
191	этой борьбы	2	2
192	того или	2	2
193	в таких	2	2
194	как будто	3	2
195	в этих	3	2
196	с ним	3	2
197	и должно	2	2
198	в области	2	2
199	но в	14	2
