N	2gram	Vinokur_St_2	VelikijI
1	и не	9	20
2	и в	29	16
3	то что	11	9
4	так как	2	9
5	в истории	2	8
6	что они	2	7
7	и потому	2	7
8	а не	5	7
9	хотя и	4	5
10	как бы	5	5
11	но и	19	5
12	все это	11	5
13	того что	5	5
14	по пути	2	5
15	на себя	3	5
16	в образе	3	4
17	и я	2	4
18	что он	13	4
19	в нем	4	4
20	как и	2	4
21	это еще	2	4
22	в котором	7	4
23	так и	9	4
24	потому что	9	4
25	в этом	21	4
26	в ней	7	4
27	в его	13	4
28	с его	2	3
29	если не	2	3
30	что в	19	3
31	по этому	2	3
32	в этих	3	3
33	в них	2	3
34	в конце	2	3
35	ни в	3	3
36	в том	27	3
37	не в	4	3
38	но это	3	3
39	что я	2	3
40	к тому	10	3
41	никогда не	3	3
42	оно не	3	3
43	что и	2	3
44	в своей	7	3
45	тому что	7	3
46	не было	3	3
47	и что	6	3
48	за то	3	3
49	не имеет	2	3
50	хотя бы	3	3
51	все эти	2	3
52	но в	8	3
53	и теперь	2	2
54	до того	4	2
55	с тем	7	2
56	давно уже	3	2
57	в духе	2	2
58	прежде всего	5	2
59	что было	2	2
60	том что	27	2
61	а к	2	2
62	но не	3	2
63	не к	2	2
64	для него	4	2
65	и сам	2	2
66	того чтобы	6	2
67	не только	19	2
68	нет и	2	2
69	не могли	2	2
70	и т	9	2
71	ее в	2	2
72	т д	6	2
73	истории и	2	2
74	а с	3	2
75	тем что	3	2
76	его не	3	2
77	чтобы сделать	2	2
78	между тем	5	2
79	только в	2	2
80	и это	2	2
81	во всяком	3	2
82	которые не	3	2
