N	2gram	Bakhtin_KF_1	formyVre
1	и в	24	46
2	в этом	14	22
3	прежде всего	2	14
4	вовсе не	7	13
5	и его	17	12
6	только в	16	11
7	не только	5	11
8	во всех	11	11
9	в том	6	10
10	как бы	9	10
11	точки зрения	12	10
12	но в	5	10
13	не в	12	9
14	мира и	4	9
15	но и	9	9
16	и не	26	9
17	и для	9	9
18	как и	5	8
19	в его	40	8
20	жизни и	8	8
21	то же	5	8
22	того чтобы	2	8
23	для того	3	8
24	с точки	9	8
25	потому что	2	8
26	всех этих	3	7
27	в одном	4	7
28	может быть	45	7
29	то что	7	7
30	так и	2	7
31	и на	3	7
32	никогда не	5	6
33	и все	7	6
34	при этом	4	6
35	еще не	4	6
36	этом мире	2	6
37	его в	5	6
38	все же	5	6
39	все это	10	6
40	в основе	5	6
41	в своем	16	5
42	в то	3	5
43	но не	12	5
44	он не	6	5
45	в нем	28	5
46	что в	4	5
47	все эти	10	5
48	в смысле	6	5
49	должно быть	6	5
50	место в	5	4
51	отнюдь не	6	4
52	жизни в	5	4
53	же время	2	4
54	с ним	5	4
55	том что	4	4
56	в котором	24	4
57	его жизни	3	4
58	в мире	6	4
59	и их	6	4
60	конечно не	7	4
61	как в	2	4
62	мир в	11	4
63	еще более	2	4
64	а не	17	4
65	к себе	2	4
66	в себе	21	4
67	о том	3	4
68	не было	8	3
69	себя и	2	3
70	та же	2	3
71	а следовательно	3	3
72	к этому	2	3
73	ему в	2	3
74	что он	2	3
75	и как	2	3
76	в качестве	2	3
77	для него	8	3
78	в это	2	3
79	нет и	3	3
80	что и	7	3
81	отношение к	5	3
82	в их	8	3
83	уже не	7	3
84	здесь мы	4	3
85	того что	3	3
86	а в	4	3
87	жизнь и	2	3
88	на основе	7	3
89	и совершенно	3	3
90	тем что	3	3
91	имеем в	2	3
92	в другом	3	3
93	дан в	2	3
94	весь мир	2	3
95	в виду	3	3
96	мира в	6	3
97	и весь	2	2
98	по своему	3	2
99	и есть	9	2
100	и та	2	2
101	смысла и	2	2
102	говорить о	2	2
103	и других	2	2
104	это не	10	2
105	но здесь	3	2
106	ее и	6	2
107	по себе	2	2
108	не быть	3	2
109	или иной	2	2
110	но эта	5	2
111	как его	4	2
112	именно в	5	2
113	в действительной	4	2
114	в этой	2	2
115	с тем	2	2
116	в час	3	2
117	совсем не	2	2
118	до конца	3	2
119	и пр	3	2
120	было бы	8	2
121	со всеми	2	2
122	отсюда и	3	2
123	к ним	4	2
124	этого мира	3	2
125	и потому	2	2
126	жизни но	3	2
127	один из	2	2
128	в корне	2	2
129	быть и	3	2
130	не может	27	2
131	здесь не	3	2
132	и только	6	2
133	если не	2	2
134	чем не	4	2
135	в себя	7	2
136	лишь в	8	2
137	человек не	2	2
138	жизни как	5	2
139	рядом с	3	2
140	в данном	2	2
141	но это	6	2
142	людей и	2	2
143	от этого	2	2
144	мы имеем	5	2
145	могут быть	3	2
146	этот мир	2	2
147	не знает	5	2
148	которой он	2	2
149	видения и	2	2
150	и это	12	2
151	там где	5	2
152	пространства и	2	2
153	жизнь как	6	2
