N	2gram	Medvedev_F_3	Problemy
1	и не	30	31
2	и в	27	29
3	в его	7	24
4	может быть	25	24
5	а не	17	22
6	в этом	18	22
7	т е	32	21
8	как бы	8	19
9	в нем	15	19
10	точки зрения	16	19
11	не только	9	15
12	то что	8	15
13	не как	2	14
14	но и	10	14
15	и его	19	14
16	то же	15	14
17	в пределах	8	13
18	уже не	3	13
19	с точки	14	13
20	как и	14	12
21	не может	24	12
22	таким образом	18	12
23	этом смысле	2	10
24	в самом	11	10
25	в то	7	10
26	только в	8	10
27	видения и	4	10
28	героя и	2	10
29	там где	7	10
30	с его	2	9
31	это не	3	9
32	все же	6	9
33	в романе	4	9
34	но не	5	9
35	же время	7	9
36	о нем	3	9
37	все эти	6	9
38	в единство	2	9
39	если бы	12	9
40	в каждом	5	8
41	в своем	2	8
42	до конца	4	8
43	по себе	4	8
44	что он	6	8
45	что в	8	8
46	отношению к	3	8
47	как не	2	8
48	в своей	6	8
49	по отношению	3	8
50	потому что	7	8
51	в том	7	8
52	прежде всего	4	7
53	вовсе не	28	7
54	том что	4	7
55	не в	12	7
56	лишь как	3	7
57	она не	4	7
58	за пределы	2	7
59	так и	21	7
60	входит в	8	7
61	и как	4	7
62	и на	3	7
63	в себе	3	7
64	но в	6	7
65	все это	7	6
66	в одной	5	6
67	в конце	3	6
68	в кругозор	2	6
69	не могут	10	6
70	в целом	4	6
71	одним из	3	6
72	в единстве	5	6
73	был бы	2	6
74	что она	2	6
75	как в	4	6
76	как раз	8	6
77	в самой	2	6
78	самом деле	16	6
79	менее всего	4	6
80	так же	9	6
81	говорит он	5	6
82	могут быть	4	6
83	его в	7	6
84	и потому	5	6
85	так как	9	6
86	сознания и	2	5
87	должна быть	3	5
88	и др	2	5
89	же что	2	5
90	было бы	6	5
91	более того	6	5
92	зависимости от	5	5
93	еще не	6	5
94	это и	2	5
95	построения романа	2	5
96	в сущности	2	5
97	дело идет	3	5
98	в зависимости	5	5
99	одной плоскости	3	5
100	той же	3	5
101	на самом	14	5
102	конце концов	2	5
103	во всяком	6	5
104	между тем	7	5
105	он и	3	5
106	и это	2	5
107	ничего не	2	5
108	поэтому и	2	4
109	в результате	5	4
110	перестает быть	2	4
111	в плоскости	5	4
112	превращается в	2	4
113	раз и	3	4
114	из одного	2	4
115	в литературе	6	4
116	является лишь	4	4
117	бы и	3	4
118	что и	2	4
119	так чтобы	2	4
120	но это	2	4
121	и с	3	4
122	и следовательно	3	4
123	не значит	2	4
124	даже в	2	4
125	в процессе	15	4
126	от того	2	4
127	не на	3	4
128	и т	11	4
129	и для	6	4
130	тем что	5	4
131	но эта	2	4
132	как мы	8	4
133	они не	4	4
134	героя в	3	4
135	их в	3	4
136	в основе	3	4
137	в этой	2	4
138	человека в	2	4
139	в произведении	3	4
140	так сказать	5	4
141	что же	5	4
142	материал и	2	3
143	уже в	4	3
144	была бы	2	3
145	никогда не	5	3
146	в них	3	3
147	каждый элемент	4	3
148	сами по	2	3
149	с другой	6	3
150	романа в	3	3
151	романа и	2	3
152	таким же	2	3
153	ни в	8	3
154	как их	2	3
155	одна из	2	3
156	художественного творчества	2	3
157	и пр	15	3
158	и понимания	6	3
159	всяком случае	6	3
160	на почве	2	3
161	оно не	3	3
162	он может	2	3
163	только то	3	3
164	другой стороны	5	3
165	тому что	3	3
166	т п	5	3
167	этом отношении	3	3
168	друг друга	5	3
169	отличается от	2	3
170	тому как	5	3
171	единство романа	2	3
172	в своих	6	3
173	сказать что	3	3
174	подобно тому	4	3
175	мы должны	2	3
176	если же	5	3
177	в художественном	5	3
178	в плоскость	3	3
179	бы в	6	3
180	отношения к	2	3
181	произведения в	6	2
182	лишь одним	2	2
183	все время	6	2
184	всех этих	2	2
185	связи с	5	2
186	самом произведении	3	2
187	однако в	2	2
188	друг другу	2	2
189	его и	3	2
190	поэтому в	2	2
191	к более	2	2
192	то ни	4	2
193	хотя бы	6	2
194	и во	2	2
195	и от	11	2
196	те же	3	2
197	в жизни	11	2
198	идет не	2	2
199	именно потому	2	2
200	вследствие этого	3	2
201	в условиях	3	2
202	и ее	6	2
203	не есть	4	2
204	является для	3	2
205	жизни и	4	2
206	следовательно и	4	2
207	является не	2	2
208	бы то	4	2
209	художественного замысла	2	2
210	при этом	8	2
211	социальной жизни	4	2
212	кажется что	2	2
213	конечно не	4	2
214	идеологического творчества	6	2
215	никак не	3	2
216	не о	3	2
217	как таковой	3	2
218	в котором	2	2
219	какой бы	2	2
220	и со	2	2
221	в большинстве	4	2
222	нам кажется	2	2
223	войти в	5	2
224	нисколько не	2	2
225	данном случае	4	2
226	мы уже	3	2
227	ни было	5	2
228	в отношении	2	2
229	и даже	2	2
230	слово в	2	2
231	в той	3	2
232	в смысле	4	2
233	и что	3	2
234	именно на	2	2
235	произведения и	3	2
236	весь этот	2	2
237	между ними	15	2
238	к другому	2	2
239	не об	2	2
240	в художественной	2	2
241	в данном	6	2
242	то он	3	2
243	единство произведения	5	2
244	в которых	3	2
245	в ней	5	2
246	правда в	2	2
247	в истории	5	2
248	в рамки	2	2
249	окружающей действительности	2	2
250	в россии	2	2
251	со всею	2	2
252	самый факт	2	2
253	большинстве случаев	5	2
254	в чисто	2	2
255	совпадает с	2	2
256	же и	4	2
257	бы к	2	2
