N	2gram	Potebnia_M_3	Myshleni
1	и в	30	25
2	в том	32	23
3	том что	18	20
4	что в	17	17
5	так же	3	17
6	таким образом	14	17
7	с тем	7	16
8	как и	10	15
9	то что	18	15
10	в его	4	15
11	в этом	10	14
12	вместе с	12	14
13	может быть	28	13
14	в целом	3	13
15	так как	13	12
16	по своему	2	11
17	перед нами	2	10
18	что они	2	10
19	как бы	3	10
20	и не	15	10
21	и что	10	10
22	того что	18	10
23	для ребенка	2	10
24	было бы	9	10
25	что и	13	10
26	только в	21	10
27	связи с	2	9
28	как в	10	9
29	мы не	9	9
30	ни в	2	9
31	показывает что	2	8
32	того чтобы	3	8
33	тем что	7	8
34	как мы	7	8
35	уже в	5	7
36	столь же	4	7
37	что мы	8	7
38	по себе	16	7
39	для того	4	7
40	мы можем	3	7
41	в области	2	7
42	не менее	5	6
43	с другой	7	6
44	в собственном	2	6
45	не в	15	6
46	один из	4	6
47	мы видели	4	6
48	в животном	3	6
49	не может	6	6
50	и на	3	6
51	потому что	46	6
52	мы должны	4	6
53	от этого	2	6
54	что он	6	6
55	в силу	3	6
56	но не	7	6
57	не только	21	6
58	все же	2	6
59	собственном смысле	2	6
60	точки зрения	2	6
61	все это	4	6
62	слова и	5	6
63	так и	11	5
64	именно в	3	5
65	что это	4	5
66	к одному	5	5
67	тем не	3	5
68	и как	5	5
69	но это	6	5
70	для него	9	5
71	одной стороны	3	5
72	при этом	3	5
73	что она	3	5
74	с одной	7	5
75	и по	4	5
76	человека и	5	5
77	если бы	12	5
78	в понятии	2	5
79	мы уже	2	5
80	о том	2	5
81	входит в	2	5
82	могут быть	3	5
83	в этой	2	5
84	не могут	5	4
85	независимо от	5	4
86	в своем	5	4
87	в какой	2	4
88	из этих	9	4
89	прежде всего	3	4
90	на то	2	4
91	в смысле	4	4
92	к тому	7	4
93	значение слова	5	4
94	что с	2	4
95	смысле этого	7	4
96	из них	6	4
97	но и	19	4
98	от того	8	4
99	не столько	2	4
100	то и	6	4
101	друг друга	3	4
102	а в	12	4
103	сказать что	5	4
104	в то	10	4
105	с ним	6	4
106	которая не	2	4
107	тогда когда	9	4
108	от нее	2	4
109	что слово	7	4
110	с этим	6	4
111	и все	3	4
112	что оно	11	4
113	тем и	3	4
114	то время	4	4
115	еще не	5	4
116	он не	4	4
117	не обнаруживает	4	4
118	связь между	2	4
119	тем же	4	4
120	той же	2	4
121	этого слова	11	4
122	и это	4	4
123	там где	3	4
124	с этой	2	3
125	для развития	2	3
126	в свою	3	3
127	когда в	2	3
128	в самом	8	3
129	вслед за	3	3
130	не можем	3	3
131	в котором	4	3
132	другой стороны	4	3
133	по отношению	5	3
134	но только	2	3
135	понятия и	2	3
136	в которых	2	3
137	этом отношении	2	3
138	их в	2	3
139	между тем	9	3
140	его в	3	3
141	не как	2	3
142	к этому	3	3
143	с понятием	2	3
144	но как	2	3
145	его к	2	3
146	мы видим	2	3
147	не есть	17	3
148	связь с	3	3
149	или менее	3	3
150	а с	2	3
151	и слово	6	3
152	в виде	2	3
153	ничего общего	2	3
154	на деле	5	3
155	того как	4	3
156	слова в	7	2
157	место в	3	2
158	то же	23	2
159	понятием но	2	2
160	одним и	3	2
161	тому что	3	2
162	эти последние	2	2
163	и от	4	2
164	одной и	4	2
165	и вместе	3	2
166	для нас	20	2
167	в один	4	2
168	развития в	2	2
169	так что	7	2
170	но все	2	2
171	свою очередь	3	2
172	об отношении	4	2
173	и той	2	2
174	в нем	9	2
175	заключает в	5	2
176	речи есть	2	2
177	должно быть	5	2
178	все остальные	3	2
179	как на	5	2
180	что как	2	2
181	на его	2	2
182	невозможно без	2	2
183	в начале	3	2
184	признаков в	2	2
185	бы быть	2	2
186	слово с	2	2
187	бы в	2	2
188	что по	2	2
189	от другого	3	2
190	всеми остальными	3	2
191	само по	3	2
192	в них	5	2
193	на котором	2	2
194	только при	2	2
195	в одном	2	2
196	с нею	2	2
197	об этом	2	2
198	же в	2	2
199	только потому	3	2
200	в таком	3	2
201	все что	4	2
202	но тем	2	2
203	указывает на	6	2
204	и может	3	2
205	и потому	4	2
206	оно не	4	2
207	вопрос об	2	2
208	отношению к	5	2
209	не будет	3	2
210	слова не	2	2
211	в своей	2	2
212	без слов	4	2
213	только что	8	2
214	связанное с	2	2
215	из того	2	2
216	уже не	6	2
217	тем самым	7	2
218	в речи	2	2
219	и его	4	2
220	или в	3	2
221	с другими	5	2
222	тому как	5	2
223	и то	8	2
224	в каком	5	2
225	в себе	16	2
226	в чем	3	2
227	а как	2	2
