N	3gram	Vinokur_Vv_1	Myshleni
1	в том что	12	31
2	заключается в том	3	14
3	с точки зрения	2	11
4	с одной стороны	4	9
5	в этом смысле	10	8
6	с другой стороны	5	8
7	смысле этого слова	2	7
8	то же самое	2	7
9	в собственном смысле	2	7
10	в этом отношении	3	7
11	в самом деле	5	6
12	и того же	2	5
13	можно было бы	3	5
14	одного и того	2	5
15	для того чтобы	21	5
16	и той же	2	4
17	и то что	2	4
18	одной и той	2	4
19	по сравнению с	3	3
20	по своему значению	2	3
21	точно так же	2	3
22	о том что	12	3
23	с тем что	3	3
24	в этом случае	6	3
25	в связи с	2	3
26	состоит в том	2	3
27	во всяком случае	3	3
28	вместе с тем	3	3
29	в данном случае	4	2
30	в свое время	2	2
31	одной стороны и	3	2
32	не могут быть	2	2
33	к выводу что	5	2
34	только в том	2	2
35	в отличие от	3	2
36	в целом ряде	2	2
37	как мы видели	2	2
38	но вместе с	2	2
39	в том виде	3	2
40	в том чтобы	5	2
