N	3gram	Losev_Prob_2	DiskursI
1	в том что	4	13
2	с одной стороны	5	9
3	о том что	14	5
4	с другой стороны	5	3
5	не может быть	3	3
6	в то же	4	3
7	пока еще не	4	3
8	сами по себе	2	2
9	в том числе	2	2
10	можно сказать что	3	2
11	том числе и	2	2
12	только в том	4	2
13	в данном случае	5	2
14	по крайней мере	6	2
15	в частности в	2	2
16	том что в	2	2
17	более или менее	4	2
18	не только в	2	2
19	подобно тому как	2	2
20	одной стороны и	3	2
21	то же самое	5	2
22	то есть в	2	2
23	не говоря уже	4	2
24	говоря уже о	4	2
25	тот или иной	4	2
