N	2gram	Propp_Russ_2	Dialekti
1	т е	24	46
2	а не	4	18
3	может быть	13	17
4	и т	5	17
5	то что	5	16
6	и в	29	15
7	т д	5	15
8	как бы	18	14
9	не имеет	3	14
10	так как	13	14
11	что это	3	13
12	того что	3	13
13	это не	5	12
14	прежде всего	2	11
15	в том	22	11
16	не может	5	11
17	и все	4	11
18	в этом	11	11
19	потому что	5	10
20	том что	22	10
21	было бы	3	9
22	в виду	2	9
23	все это	10	9
24	мы не	6	9
25	и что	5	9
26	это и	2	9
27	то же	4	9
28	уже не	4	9
29	и пр	2	9
30	не в	4	8
31	что иное	2	8
32	иное как	2	8
33	не что	2	8
34	и о	3	8
35	не только	10	8
36	и ее	2	8
37	что в	22	7
38	он есть	2	7
39	как и	11	7
40	или в	7	7
41	так что	4	6
42	а именно	3	6
43	в то	2	6
44	что и	2	6
45	того чтобы	6	5
46	но если	3	5
47	что она	3	5
48	в свете	3	5
49	таким образом	6	5
50	именно в	4	5
51	и на	6	5
52	о том	9	5
53	мы имеем	6	5
54	тогда когда	4	5
55	только тогда	3	5
56	для того	6	5
57	и для	2	5
58	и как	2	4
59	в этой	3	4
60	есть в	2	4
61	один из	2	4
62	но и	8	4
63	так же	4	4
64	и с	10	4
65	с тем	6	4
66	она не	3	4
67	еще не	6	4
68	в течение	2	4
69	тому как	3	4
70	подобно тому	3	4
71	та же	2	3
72	не всегда	3	3
73	на этом	3	3
74	совершенно не	2	3
75	к жизни	5	3
76	в их	2	3
77	все эти	3	3
78	с этим	2	3
79	что здесь	3	3
80	но в	5	3
81	к этому	5	3
82	об этом	2	3
83	у нас	4	3
84	так чтобы	2	3
85	в своей	2	3
86	или вообще	4	3
87	говорит о	2	3
88	в природе	3	3
89	как в	7	3
90	из которых	2	3
91	в данном	6	3
92	и то	2	3
93	в виде	4	3
94	могут быть	2	3
95	не менее	2	2
96	с этой	2	2
97	из этих	2	2
98	представление о	5	2
99	главным образом	3	2
100	вопрос о	4	2
101	показывает что	8	2
102	что на	2	2
103	что с	2	2
104	кроме того	2	2
105	при этом	6	2
106	никогда не	2	2
107	в котором	3	2
108	из них	4	2
109	природы и	2	2
110	то и	4	2
111	для этого	5	2
112	не было	2	2
113	и по	3	2
114	должно быть	2	2
115	во всем	2	2
116	как это	4	2
117	е в	10	2
118	если она	2	2
119	в них	4	2
120	обряд и	2	2
121	в ее	3	2
122	все же	2	2
123	самом же	2	2
124	в качестве	3	2
125	в целях	2	2
126	в этот	10	2
127	тем не	2	2
128	во всех	3	2
129	вместе с	6	2
130	ее в	8	2
131	того как	2	2
132	не объясняет	3	2
133	где-нибудь на	2	2
134	жизнь и	2	2
135	что по	4	2
136	тем что	3	2
137	и при	2	2
138	в которой	2	2
139	отличие от	3	2
