N	2gram	Vygotskiy__3	Psycholo
1	то что	15	32
2	и в	25	31
3	в том	23	30
4	что в	17	23
5	может быть	13	22
6	таким образом	17	20
7	ясно что	2	19
8	при этом	5	19
9	совершенно ясно	2	19
10	так как	12	18
11	не может	6	17
12	как и	15	16
13	том что	20	16
14	и не	10	16
15	точки зрения	6	15
16	только в	10	14
17	не только	6	13
18	что и	10	13
19	так же	17	12
20	если мы	3	12
21	мы не	9	12
22	в этом	14	12
23	в самом	3	11
24	могут быть	5	11
25	не в	6	11
26	в области	7	11
27	на то	4	10
28	того что	10	10
29	потому что	6	10
30	по себе	7	9
31	ни в	9	9
32	как в	9	9
33	никогда не	4	8
34	всякий раз	2	8
35	вместе с	14	8
36	все это	6	8
37	и что	10	8
38	во всяком	4	8
39	что мы	7	8
40	что он	6	7
41	на основании	11	7
42	и его	2	7
43	заключается в	9	7
44	того чтобы	8	7
45	тому как	2	7
46	сказать что	4	7
47	о том	5	7
48	что это	5	6
49	зависимости от	6	6
50	одной стороны	5	6
51	было бы	10	6
52	если бы	5	6
53	из этих	4	6
54	вслед за	3	6
55	всяком случае	4	6
56	отнюдь не	4	6
57	а в	4	6
58	что она	5	6
59	для того	7	6
60	в его	15	6
61	само по	2	5
62	и все	4	5
63	тогда когда	4	5
64	этой точки	2	5
65	не является	8	5
66	показывает что	8	5
67	все же	6	5
68	так что	2	5
69	мы видим	3	5
70	с одной	5	5
71	то время	4	5
72	для нас	2	5
73	в какой	4	5
74	как бы	10	5
75	в зависимости	5	5
76	в целом	13	5
77	в процессе	27	5
78	другой стороны	3	5
79	и для	2	5
80	то же	2	5
81	с другой	6	5
82	время как	4	5
83	иначе говоря	2	5
84	в то	4	5
85	к тому	4	4
86	в котором	3	4
87	все время	2	4
88	прежде всего	4	4
89	тому что	2	4
90	столь же	7	4
91	одной и	2	4
92	очень часто	2	4
93	в себе	2	4
94	указывает на	2	4
95	отличие от	6	4
96	же как	6	4
97	одна из	2	4
98	мы увидим	4	4
99	в последнее	3	4
100	формы в	3	4
101	со всеми	6	4
102	один из	6	4
103	в этих	2	4
104	мы никогда	2	4
105	к этому	3	4
106	в совершенно	2	4
107	и у	6	4
108	в своих	2	4
109	совпадает с	6	4
110	с этой	3	4
111	в результате	3	4
112	мы можем	7	4
113	этого слова	4	4
114	там где	4	4
115	между тем	3	4
116	как это	7	4
117	могло бы	4	4
118	мы имеем	4	4
119	дело с	3	3
120	уже в	7	3
121	не могут	4	3
122	как на	2	3
123	с тем	16	3
124	состоит в	3	3
125	в частности	4	3
126	к которым	4	3
127	могут служить	2	3
128	в своем	4	3
129	только при	2	3
130	рассматриваться как	4	3
131	в собственном	6	3
132	и к	5	3
133	мы знаем	4	3
134	но это	5	3
135	в силу	6	3
136	не будет	2	3
137	но не	6	3
138	все что	2	3
139	смысле слова	2	3
140	не можем	3	3
141	же точно	3	3
142	из которых	5	3
143	в этой	5	3
144	хотя и	2	3
145	он не	4	3
146	не есть	3	3
147	от всех	2	3
148	в своей	2	3
149	и той	2	3
150	собственном смысле	6	3
151	так и	5	3
152	задачи и	5	3
153	который в	3	3
154	и другими	2	3
155	им в	3	3
156	в отличие	6	3
157	мышления и	23	3
158	что оно	4	3
159	и других	2	3
160	от того	4	3
161	но только	3	3
162	это обстоятельство	3	3
163	тем же	4	3
164	и по	5	3
165	той же	4	3
166	в таком	2	3
167	же мысль	2	3
168	в которых	3	3
169	и только	2	3
170	с этим	4	3
171	слова в	2	3
172	во всем	3	3
173	что эти	3	3
174	и это	4	3
175	что по	2	3
176	на деле	3	3
177	всеми остальными	2	2
178	в основе	16	2
179	в известном	4	2
180	не менее	6	2
181	в изучении	2	2
182	видели что	3	2
183	независимо от	4	2
184	этом смысле	2	2
185	можно ли	2	2
186	по этому	3	2
187	главным образом	2	2
188	и как	5	2
189	в них	2	2
190	и характер	2	2
191	и во	2	2
192	и от	2	2
193	одного и	4	2
194	и другого	2	2
195	человека и	5	2
196	в жизни	3	2
197	в основу	4	2
198	с ним	4	2
199	в центр	2	2
200	и здесь	2	2
201	и вместе	2	2
202	силу того	2	2
203	смысле этого	4	2
204	остановиться на	3	2
205	бы что	4	2
206	которые пытаются	2	2
207	тем не	5	2
208	уже не	2	2
209	и потому	2	2
210	представляет собой	6	2
211	что они	10	2
212	очень легко	2	2
213	в качестве	12	2
214	того же	6	2
215	это мы	2	2
216	что с	4	2
217	тот же	2	2
218	и может	2	2
219	с теми	2	2
220	этот метод	2	2
221	и их	3	2
222	имеет место	3	2
223	к другим	2	2
224	последнее время	3	2
225	в него	3	2
226	к жизни	2	2
227	речь и	4	2
228	что речь	4	2
229	в нем	2	2
230	совпадают с	4	2
231	мы видели	6	2
232	способ мышления	2	2
233	как говорит	5	2
234	из них	4	2
235	когда он	3	2
236	зрения на	2	2
237	но и	4	2
238	в мышлении	11	2
239	или менее	3	2
240	приводит к	4	2
241	как мы	8	2
242	только что	2	2
243	отличается от	3	2
244	то и	4	2
245	в связи	6	2
246	употребление слова	3	2
247	этом отношении	3	2
248	в себя	3	2
249	на основе	22	2
250	тем самым	2	2
251	психологической природы	2	2
252	в чем	2	2
253	связи со	2	2
254	как они	2	2
255	их в	3	2
256	понятий и	7	2
257	в каком	2	2
258	приходит к	6	2
259	но как	3	2
260	и то	2	2
261	бы в	2	2
262	его в	3	2
263	как он	3	2
264	в одном	2	2
265	как она	3	2
