N	2gram	Tiupa_Hudo_1	Myshleni
1	и в	19	25
2	в том	18	23
3	на основе	2	22
4	том что	8	20
5	внутренней речи	14	19
6	что в	6	17
7	так же	2	17
8	таким образом	3	17
9	в основе	4	16
10	как и	2	15
11	то что	4	15
12	в его	9	15
13	в этом	11	14
14	может быть	14	13
15	в целом	3	13
16	между собой	2	13
17	в качестве	24	12
18	по своему	2	11
19	как бы	9	10
20	и не	15	10
21	и что	3	10
22	того что	4	10
23	что и	2	10
24	только в	5	10
25	заключается в	2	9
26	как в	2	9
27	ни в	5	9
28	того чтобы	2	8
29	не является	4	8
30	речи и	3	8
31	все эти	2	7
32	как это	5	7
33	по себе	2	7
34	по своей	7	7
35	для того	2	7
36	в области	6	7
37	не менее	3	6
38	с другой	7	6
39	как уже	2	6
40	не в	7	6
41	совпадает с	2	6
42	один из	2	6
43	не может	7	6
44	и на	2	6
45	потому что	3	6
46	внешней речи	2	6
47	что он	3	6
48	в отношении	3	6
49	представляет собой	10	6
50	но не	11	6
51	того же	2	6
52	не только	16	6
53	в отличие	7	6
54	точки зрения	10	6
55	все это	2	6
56	слова и	2	6
57	отличие от	7	6
58	так и	11	5
59	именно в	2	5
60	тем не	3	5
61	и как	3	5
62	для него	4	5
63	одной стороны	2	5
64	при этом	13	5
65	что она	2	5
66	значения и	2	5
67	с одной	2	5
68	и по	2	5
69	с ее	5	5
70	если бы	3	5
71	и к	3	5
72	о том	2	5
73	как говорит	3	5
74	входит в	4	5
75	могут быть	4	5
76	в этой	2	5
77	и т.д	3	5
78	в частности	13	4
79	никогда не	2	4
80	в своем	2	4
81	в какой	2	4
82	из этих	3	4
83	прежде всего	4	4
84	к тому	4	4
85	мог бы	3	4
86	отнюдь не	2	4
87	но и	10	4
88	не столько	3	4
89	а в	12	4
90	сказать что	4	4
91	в то	6	4
92	с ним	2	4
93	мы имеем	6	4
94	и того	2	4
95	одного и	2	4
96	еще не	3	4
97	он не	4	4
98	приводит к	5	4
99	по пути	4	4
100	этого слова	2	4
101	и это	2	4
102	в себя	2	3
103	в свою	3	3
104	в самом	5	3
105	имеет место	2	3
106	который в	2	3
107	другой стороны	5	3
108	отличается от	2	3
109	по отношению	9	3
110	их в	3	3
111	между тем	4	3
112	его в	2	3
113	к которому	4	3
114	не как	2	3
115	в жизни	2	3
116	состоит в	16	3
117	но как	2	3
118	то в	2	3
119	или иной	7	3
120	или менее	5	3
121	а с	2	3
122	если мы	2	3
123	между ними	4	3
124	для возникновения	2	3
125	на деле	3	3
126	слова в	2	2
127	место в	4	2
128	то же	10	2
129	в этих	3	2
130	тому что	2	2
131	и одновременно	5	2
132	всякий раз	2	2
133	свою очередь	2	2
134	имеем дело	2	2
135	к области	3	2
136	такого рода	10	2
137	хотя и	3	2
138	той или	4	2
139	в роли	3	2
140	в нем	5	2
141	могут служить	2	2
142	того или	3	2
143	знаков в	2	2
144	между двумя	2	2
145	с его	6	2
146	к жизни	2	2
147	однако в	4	2
148	в них	2	2
149	в одном	2	2
150	этом смысле	3	2
151	говорит и	3	2
152	или иного	3	2
153	об этом	2	2
154	одна из	2	2
155	что каждый	2	2
156	с их	2	2
157	иначе говоря	4	2
158	и потому	2	2
159	а также	5	2
160	и особенно	2	2
161	отношению к	9	2
162	не будет	2	2
163	в мире	21	2
164	в своей	5	2
165	вытекает из	2	2
166	задолго до	2	2
167	уже не	4	2
168	тем самым	4	2
169	и для	2	2
170	и его	12	2
171	или в	2	2
172	или иначе	4	2
173	с другими	4	2
174	и то	4	2
175	в каком	2	2
176	в себе	9	2
177	в чем	2	2
