N	2gram	Medvedev_F_1	StatiiOP
1	и в	24	25
2	в этом	15	24
3	в том	6	20
4	что в	4	19
5	что он	3	19
6	может быть	14	19
7	в этой	6	14
8	и пр	17	13
9	в его	23	12
10	то что	8	12
11	не только	7	12
12	прежде всего	22	10
13	таким образом	13	10
14	и не	20	10
15	но и	7	9
16	и т	12	8
17	все это	9	8
18	т е	34	8
19	в своих	2	8
20	это не	2	7
21	было бы	6	7
22	с этим	2	7
23	не может	16	7
24	что такое	2	7
25	точки зрения	16	7
26	в то	9	7
27	место в	7	6
28	не в	8	6
29	только в	2	6
30	как бы	6	6
31	как в	8	6
32	как на	4	6
33	а в	6	6
34	и на	8	6
35	т п	4	6
36	в россии	3	6
37	в области	3	6
38	между тем	2	6
39	то же	10	5
40	независимо от	4	5
41	в них	3	5
42	с другой	5	5
43	ни в	2	5
44	на почве	13	5
45	и это	2	5
46	в году	2	5
47	а не	10	5
48	того что	5	5
49	он не	3	5
50	так и	18	5
51	но в	5	5
52	с тем	2	4
53	всяком случае	4	4
54	и др	5	4
55	точка зрения	2	4
56	в жизни	3	4
57	в каждом	3	4
58	была бы	2	4
59	а как	2	4
60	у нас	5	4
61	как и	11	4
62	но это	3	4
63	в общем	3	4
64	если бы	4	4
65	и к	4	4
66	на его	2	4
67	в ней	10	4
68	к ней	2	4
69	в своей	11	4
70	в целом	6	4
71	отношение к	3	4
72	всего в	3	4
73	отличается от	3	4
74	в особенности	3	4
75	не было	3	4
76	лишь в	8	4
77	с точки	13	4
78	и с	8	4
79	во всяком	4	4
80	все же	3	4
81	в которой	4	4
82	ничего не	2	4
83	в эту	2	4
84	с его	4	3
85	и более	2	3
86	же время	8	3
87	и здесь	6	3
88	всех этих	3	3
89	его как	3	3
90	с этой	4	3
91	для него	3	3
92	и что	2	3
93	до конца	7	3
94	одной стороны	4	3
95	и если	2	3
96	и наконец	3	3
97	на язык	3	3
98	все эти	6	3
99	со стороны	5	3
100	в их	11	3
101	от нее	2	3
102	как раз	2	3
103	в связи	4	3
104	уже не	2	3
105	в системе	2	3
106	не так	2	3
107	и его	10	3
108	связи с	3	3
109	к которому	2	3
110	более и	2	2
111	все время	2	2
112	не менее	11	2
113	все более	2	2
114	борьба с	3	2
115	никогда не	4	2
116	для этого	4	2
117	как о	4	2
118	вовсе не	10	2
119	и ее	10	2
120	к тому	3	2
121	как мы	5	2
122	не как	4	2
123	но все	2	2
124	но не	3	2
125	в свою	8	2
126	до сих	6	2
127	еще не	6	2
128	и может	4	2
129	одной из	2	2
130	в самом	5	2
131	во всех	5	2
132	одна из	2	2
133	том чтобы	2	2
134	нет и	2	2
135	один из	3	2
136	должен быть	5	2
137	вместе с	2	2
138	сих пор	6	2
139	нас не	2	2
140	не на	2	2
141	в отношении	3	2
142	т д	8	2
143	с ее	7	2
144	с одной	4	2
145	и других	3	2
146	на нее	2	2
147	от того	2	2
148	самом деле	6	2
149	произведения и	8	2
150	его не	2	2
151	мы не	3	2
152	на основе	6	2
153	этот образ	2	2
154	в результате	2	2
155	но есть	2	2
156	ни на	3	2
157	этого слова	3	2
158	жизни но	2	2
159	так сказать	3	2
160	к этой	4	2
161	произведения как	2	2
