N	2gram	Losev_Dial_3	Narrotol
1	не только	23	32
2	может быть	13	25
3	но и	9	23
4	и не	27	20
5	и в	24	19
6	в том	5	18
7	в этом	8	17
8	в частности	2	14
9	том что	8	14
10	не в	3	14
11	а не	26	12
12	то что	14	11
13	а в	2	11
14	не может	19	10
15	точки зрения	25	10
16	при этом	2	9
17	со стороны	2	9
18	так и	5	9
19	в его	2	9
20	с другой	4	8
21	в себе	2	8
22	как и	7	7
23	еще не	2	7
24	к тому	4	7
25	все же	3	7
26	с одной	3	7
27	одной стороны	3	7
28	с его	2	6
29	что он	13	6
30	то в	2	6
31	но не	2	6
32	точка зрения	5	6
33	именно в	2	6
34	тем самым	3	6
35	как это	5	6
36	о том	6	6
37	но в	2	6
38	и как	8	5
39	отнюдь не	10	5
40	по себе	20	5
41	или иной	4	5
42	тому же	2	5
43	себя в	2	5
44	уже не	5	5
45	к нему	3	5
46	и его	5	5
47	в данном	2	5
48	в основе	3	5
49	перед нами	3	4
50	прежде всего	8	4
51	в нем	3	4
52	у него	2	4
53	что не	5	4
54	то же	6	4
55	же в	2	4
56	в силу	3	4
57	если не	3	4
58	же время	3	4
59	было бы	5	4
60	той или	2	4
61	как бы	3	4
62	о нем	4	4
63	и тем	2	4
64	хотя бы	4	4
65	другой стороны	2	4
66	отличается от	8	4
67	в особенности	7	4
68	из которых	3	4
69	сказать что	4	4
70	только в	5	4
71	и с	6	4
72	не существует	10	3
73	не менее	11	3
74	же как	2	3
75	что в	7	3
76	могут быть	2	3
77	никогда не	7	3
78	из этих	2	3
79	но о	2	3
80	тем не	10	3
81	ни в	9	3
82	это и	7	3
83	одна из	3	3
84	в сущности	10	3
85	хотя и	5	3
86	в ней	2	3
87	он не	5	3
88	и даже	13	3
89	из двух	3	3
90	не есть	54	3
91	не будет	3	3
92	бы то	2	3
93	в первом	2	3
94	из них	3	3
95	жизни и	5	3
96	бытия в	2	3
97	а именно	2	3
98	даже не	6	3
99	как мы	2	3
100	и он	2	3
101	или иначе	2	3
102	и на	3	3
103	о ней	2	3
104	тем что	3	3
105	не о	2	3
106	на себя	3	3
107	в то	5	3
108	бы быть	2	3
109	что это	12	3
110	зависит от	2	2
111	должна быть	6	2
112	себя и	2	2
113	в своем	3	2
114	что у	2	2
115	оно не	6	2
116	точно так	2	2
117	быть может	3	2
118	личности в	2	2
119	или иного	2	2
120	утверждать что	6	2
121	что именно	3	2
122	не отличается	5	2
123	на первый	4	2
124	его как	3	2
125	что иное	6	2
126	говорит о	4	2
127	субъекта и	4	2
128	по существу	2	2
129	только о	3	2
130	и никакой	2	2
131	есть в	3	2
132	не что	6	2
133	для него	4	2
134	она не	3	2
135	несмотря на	2	2
136	например в	2	2
137	и когда	2	2
138	и потому	2	2
139	так или	2	2
140	нет и	4	2
141	не имеет	11	2
142	сами по	3	2
143	есть всегда	5	2
144	так же	4	2
145	как раз	7	2
146	не на	6	2
147	и только	6	2
148	не было	3	2
149	все эти	3	2
150	этой точки	2	2
151	совершенно не	2	2
152	они не	2	2
153	самом деле	6	2
154	что мы	8	2
155	того или	3	2
156	и для	2	2
157	с точки	14	2
158	при всем	4	2
159	это не	4	2
160	в таком	14	2
161	или в	2	2
162	тому как	4	2
163	тем более	3	2
164	нового времени	2	2
165	одно из	5	2
166	подобно тому	4	2
167	и ее	3	2
168	но как	2	2
169	говорить о	4	2
170	и все	6	2
171	когда мы	2	2
172	мира и	3	2
173	а если	3	2
174	ничего не	17	2
175	иное как	6	2
176	более не	2	2
177	истории и	4	2
178	таком случае	10	2
179	что нет	4	2
