N	2gram	Vinokur_St_2	Myslijsy
1	потому что	9	52
2	и в	29	39
3	в языке	5	33
4	может быть	2	27
5	в том	27	26
6	только в	2	25
7	что в	19	22
8	не может	2	22
9	а не	5	21
10	так как	2	21
11	не только	19	21
12	в нем	4	20
13	но и	19	20
14	и не	9	18
15	том что	27	16
16	так что	3	16
17	не в	4	15
18	в этом	21	15
19	если бы	2	14
20	так и	9	13
21	в себе	2	13
22	таким образом	10	13
23	было бы	5	12
24	по себе	3	10
25	то что	11	10
26	как в	3	10
27	и что	6	10
28	как и	2	9
29	тем что	3	9
30	но в	8	9
31	в одном	6	8
32	но не	3	8
33	вместе с	7	8
34	со стороны	2	8
35	того что	5	8
36	точки зрения	5	8
37	с другой	4	7
38	в ней	7	7
39	в истории	2	7
40	с этим	3	7
41	по его	3	7
42	в этих	3	7
43	не менее	3	6
44	тем не	2	6
45	и как	2	6
46	что на	3	6
47	как бы	5	6
48	что и	2	6
49	все же	6	6
50	и т	9	6
51	то же	2	6
52	при этом	2	6
53	и по	3	6
54	языка в	2	6
55	в каком	2	6
56	того как	7	6
57	с тем	7	5
58	вовсе не	6	5
59	несмотря на	2	5
60	но это	3	5
61	и потому	2	5
62	в его	13	5
63	другой стороны	3	5
64	так же	3	5
65	не имеет	2	5
66	и его	6	5
67	между тем	5	5
68	никогда не	3	4
69	вопрос о	6	4
70	с нею	3	4
71	прежде всего	5	4
72	бы ни	2	4
73	для него	4	4
74	к тому	10	4
75	не по	2	4
76	т п	3	4
77	том смысле	2	4
78	т д	6	4
79	не было	3	4
80	и даже	3	4
81	в то	2	4
82	там где	2	4
83	что это	3	3
84	тому что	7	3
85	в них	2	3
86	оно не	3	3
87	не могло	3	3
88	и это	2	3
89	самого начала	3	3
90	так например	7	3
91	только потому	2	3
92	с самого	3	3
93	в этой	2	3
94	в своем	9	3
95	очевидно что	2	3
96	того же	2	3
97	по поводу	8	3
98	в своей	7	3
99	для того	7	3
100	связи с	4	3
101	в самом	7	3
102	столько же	3	3
103	к первому	2	3
104	то ни	2	3
105	не мог	3	3
106	как на	9	3
107	во внимание	2	3
108	сказать что	2	3
109	во всяком	3	3
110	хотя и	4	3
111	он не	9	3
112	отношений между	3	3
113	и вообще	2	3
114	с точки	2	3
115	с и	2	3
116	и с	4	3
117	и более	2	2
118	только не	2	2
119	по этому	2	2
120	в полном	3	2
121	не представляется	2	2
122	но он	3	2
123	с этой	2	2
124	но с	4	2
125	бы то	2	2
126	была бы	5	2
127	связь с	2	2
128	как например	2	2
129	что именно	2	2
130	на то	2	2
131	только по	2	2
132	а как	4	2
133	о которых	2	2
134	ни было	2	2
135	в г	7	2
136	у нас	3	2
137	но все	7	2
138	если не	2	2
139	того чтобы	6	2
140	если б	4	2
141	значительной степени	2	2
142	между прочим	12	2
143	и о	4	2
144	одним из	6	2
145	никак не	2	2
146	в виду	7	2
147	в их	3	2
148	только что	2	2
149	тогда как	2	2
150	времени и	4	2
151	еще более	4	2
152	этот вопрос	2	2
153	в течение	6	2
154	на этот	2	2
155	тем же	2	2
156	хотя бы	3	2
157	сравнении с	2	2
158	в движении	2	2
159	том же	2	2
160	в начале	3	2
161	в один	2	2
162	на память	4	2
163	о том	17	2
164	при помощи	4	2
165	дело в	4	2
166	и всегда	2	2
167	само собою	2	2
168	не потому	2	2
169	в которой	11	2
170	которые не	3	2
171	не могли	2	2
