N	2gram	Tiupa_Anal_1	Myshleni
1	в том	27	28
2	и в	18	28
3	то что	6	28
4	в этом	13	27
5	того что	4	24
6	потому что	2	22
7	не может	22	19
8	том что	12	19
9	таким образом	3	18
10	что он	3	18
11	только в	6	18
12	что в	5	17
13	в силу	3	17
14	не только	15	16
15	к объекту	3	14
16	может быть	29	13
17	точки зрения	6	13
18	и не	21	11
19	как бы	5	11
20	что мы	3	11
21	к тому	7	10
22	как мы	2	10
23	но и	17	10
24	по отношению	6	10
25	так как	2	10
26	но не	10	10
27	отношению к	5	10
28	того чтобы	3	10
29	с точки	4	10
30	могли бы	2	9
31	между собой	2	9
32	было бы	2	9
33	в процессе	2	9
34	никогда не	2	8
35	в самом	6	8
36	еще не	3	8
37	тем самым	7	8
38	для того	4	8
39	того же	4	7
40	если бы	3	7
41	в нем	3	7
42	в сущности	6	7
43	как известно	3	7
44	отношение к	2	7
45	он не	3	7
46	вместе с	4	7
47	то же	9	7
48	в которой	2	7
49	и к	3	6
50	и как	5	6
51	для него	2	6
52	в то	9	6
53	же самое	2	6
54	тогда когда	2	6
55	как и	13	6
56	можно сказать	2	6
57	к предмету	2	6
58	так и	4	6
59	в области	4	6
60	не могут	3	5
61	это не	6	5
62	вопрос о	2	5
63	в пределах	2	5
64	и на	5	5
65	и все	3	5
66	но в	8	5
67	то в	2	5
68	из того	4	5
69	могут быть	4	5
70	в этой	5	5
71	именно в	4	4
72	в частности	19	4
73	в нашем	3	4
74	не в	14	4
75	на этом	2	4
76	совпадает с	2	4
77	на основе	2	4
78	в первом	2	4
79	мы имеем	6	4
80	в сознании	2	4
81	в качестве	31	4
82	одного и	2	4
83	что и	3	4
84	и того	5	4
85	в той	8	4
86	той же	2	4
87	и то	2	4
88	в себе	11	4
89	которые в	2	4
90	из этих	2	3
91	это означает	3	3
92	в ходе	3	3
93	всякий раз	3	3
94	отличается от	2	3
95	при этом	12	3
96	на его	2	3
97	в целом	5	3
98	в их	5	3
99	этом отношении	2	3
100	и по	2	3
101	в основе	6	3
102	нуждается в	8	3
103	по своей	6	3
104	на примере	2	3
105	с его	3	3
106	и составляет	2	3
107	только не	2	3
108	первом случае	2	3
109	на фоне	2	3
110	в случае	6	3
111	по себе	4	3
112	иначе говоря	9	3
113	один из	2	3
114	в его	13	3
115	для данного	2	3
116	в себя	6	3
117	а не	17	3
118	и его	5	3
119	представляет собой	16	3
120	представляют собой	2	3
121	отношения к	2	3
122	на вопрос	4	2
123	для этого	2	2
124	с другой	4	2
125	в любом	3	2
126	была бы	2	2
127	прежде всего	6	2
128	что именно	2	2
129	не решает	2	2
130	и более	4	2
131	самом деле	2	2
132	имеем дело	4	2
133	несмотря на	2	2
134	имеет место	5	2
135	одним из	3	2
136	и является	2	2
137	в котором	3	2
138	могут оказаться	2	2
139	из них	2	2
140	другой стороны	2	2
141	все эти	2	2
142	не являются	2	2
143	с ним	4	2
144	между двумя	3	2
145	состоит в	11	2
146	он может	2	2
147	не с	4	2
148	более того	3	2
149	означает что	3	2
150	в ряду	2	2
151	в своей	6	2
152	этого слова	7	2
153	еще в	2	2
154	все же	4	2
155	дело с	4	2
156	а в	9	2
157	с другими	4	2
158	в данном	2	2
159	в другом	4	2
160	в новом	2	2
