N	2gram	Propp_Isto_3	Literetu
1	и не	12	22
2	и в	22	16
3	при этом	2	15
4	не только	14	14
5	но и	12	14
6	в этом	17	14
7	а не	6	12
8	то что	7	12
9	может быть	11	12
10	в том	9	12
11	в частности	5	11
12	не в	4	10
13	то же	6	9
14	так и	2	9
15	того что	5	9
16	в то	2	9
17	в жизни	2	8
18	том что	8	8
19	не может	4	8
20	в этой	5	8
21	со стороны	3	7
22	точки зрения	2	7
23	только в	4	7
24	состоит в	3	6
25	с другой	7	6
26	к тому	3	6
27	еще не	10	6
28	в его	3	6
29	и его	4	6
30	в другом	2	6
31	о том	3	6
32	в качестве	2	5
33	это не	6	5
34	что он	9	5
35	тому же	2	5
36	как и	3	5
37	особого рода	3	5
38	в целом	3	5
39	вместе с	9	5
40	как в	2	5
41	а именно	4	5
42	а в	6	5
43	но не	7	4
44	никогда не	3	4
45	даже в	2	4
46	одной стороны	2	4
47	и для	2	4
48	одним из	4	4
49	хотя и	2	4
50	отношению к	2	4
51	из них	7	4
52	данном случае	3	4
53	по отношению	2	4
54	с одной	2	4
55	а также	2	4
56	в данном	4	4
57	как будто	2	4
58	в одном	2	4
59	все время	2	3
60	все еще	6	3
61	прежде всего	3	3
62	а я	2	3
63	а затем	3	3
64	и как	3	3
65	совершенно не	2	3
66	например в	2	3
67	и к	3	3
68	на его	3	3
69	в сторону	2	3
70	жизни и	2	3
71	уже не	7	3
72	на смену	4	3
73	той же	2	3
74	потому что	3	3
75	там где	7	3
76	как это	4	3
77	но в	10	3
78	между тем	2	3
79	что в	15	2
80	не менее	5	2
81	если бы	6	2
82	что у	3	2
83	он все	3	2
84	одного из	2	2
85	я не	3	2
86	к этому	7	2
87	не всегда	4	2
88	не знаю	8	2
89	вопрос о	2	2
90	со своими	2	2
91	стороны и	3	2
92	в нем	9	2
93	и ее	3	2
94	же в	2	2
95	у нас	4	2
96	связи с	6	2
97	в свою	4	2
98	можно сказать	2	2
99	было бы	3	2
100	что не	2	2
101	в работе	2	2
102	не вполне	6	2
103	к жизни	2	2
104	герой в	2	2
105	один из	5	2
106	не с	2	2
107	то это	2	2
108	что и	9	2
109	все же	5	2
110	отношение к	4	2
111	с ней	6	2
112	как мы	8	2
113	так же	3	2
114	если не	2	2
115	из того	2	2
116	и вот	2	2
117	другой стороны	7	2
118	и даже	2	2
119	с ними	3	2
120	и на	4	2
121	и с	4	2
122	тем что	4	2
123	далеко не	3	2
124	на себя	2	2
125	он и	3	2
126	представляет собой	3	2
127	за ним	3	2
128	его в	3	2
129	и потому	2	2
130	здесь не	3	2
131	ее в	3	2
132	если это	3	2
133	одном из	3	2
