N	2gram	Potebnia_M_2	Hudozhes
1	том что	8	16
2	и в	24	14
3	так и	5	13
4	а не	18	12
5	в том	18	12
6	не только	15	12
7	при этом	13	12
8	о том	5	12
9	прежде всего	7	11
10	и т	6	11
11	в этом	8	11
12	в себе	10	11
13	для него	10	10
14	у него	2	9
15	что он	4	9
16	как и	7	9
17	то же	12	9
18	как в	10	8
19	то что	20	8
20	же время	2	8
21	по отношению	2	8
22	т п	3	8
23	между тем	6	8
24	в то	6	8
25	в его	2	8
26	быть может	7	7
27	это не	3	7
28	уже не	4	7
29	не в	13	7
30	еще не	4	7
31	как бы	9	7
32	не может	12	7
33	а в	8	7
34	тогда как	10	7
35	никогда не	4	6
36	что в	16	6
37	было бы	13	6
38	человека в	3	6
39	не менее	5	5
40	с его	2	5
41	в этих	3	5
42	может быть	23	5
43	только в	11	5
44	но и	9	5
45	самом деле	2	5
46	друг друга	2	5
47	и его	2	5
48	потому что	49	5
49	но в	4	5
50	связи с	6	4
51	тому что	2	4
52	столь же	5	4
53	к другому	4	4
54	и от	3	4
55	и все	3	4
56	на то	5	4
57	а только	8	4
58	т с	18	4
59	тем не	6	4
60	в действительности	2	4
61	в самом	4	4
62	в ней	3	4
63	один из	2	4
64	что она	3	4
65	из них	5	4
66	не было	6	4
67	того что	7	4
68	только что	3	4
69	и это	2	4
70	с ним	5	4
71	но не	12	3
72	если бы	11	3
73	что у	2	3
74	превращается в	2	3
75	но он	2	3
76	с этим	7	3
77	же в	5	3
78	от него	4	3
79	на этом	2	3
80	не имеют	2	3
81	в нем	9	3
82	все же	5	3
83	со стороны	3	3
84	то и	9	3
85	в связи	2	3
86	т д	3	3
87	и для	3	3
88	все эти	2	3
89	того чтобы	2	3
90	и по	2	3
91	в таком	4	3
92	или не	5	3
93	ничем не	2	3
94	тем что	7	3
95	такой же	4	3
96	и на	8	3
97	его в	3	3
98	том как	3	3
99	в человеке	4	2
100	если в	3	2
101	представляется нам	5	2
102	и другое	4	2
103	себя и	2	2
104	так в	4	2
105	мысли о	4	2
106	на вопрос	3	2
107	не столько	2	2
108	и потому	2	2
109	в себя	2	2
110	вопрос о	2	2
111	по себе	15	2
112	что на	3	2
113	мы знаем	2	2
114	состоит в	2	2
115	остановимся на	2	2
116	так что	10	2
117	в другом	2	2
118	одна из	4	2
119	об одном	3	2
120	и что	4	2
121	а то	2	2
122	в целом	3	2
123	например в	3	2
124	как кажется	4	2
125	говоря о	3	2
126	хотя и	3	2
127	для нее	2	2
128	только для	5	2
129	как он	4	2
130	не знаем	2	2
131	сих пор	4	2
132	на него	3	2
133	все это	2	2
134	заключает в	4	2
135	внимание на	2	2
136	влияние на	4	2
137	а и	5	2
138	а а	2	2
139	а с	2	2
140	и не	19	2
141	на самом	2	2
142	от себя	2	2
143	только потому	2	2
144	они не	4	2
145	что не	5	2
146	не имеет	6	2
147	должно быть	2	2
148	той же	3	2
149	с ними	3	2
150	о котором	2	2
151	слова в	5	2
152	так сказать	4	2
153	заметить что	6	2
154	и поэтому	2	2
155	мы не	11	2
156	до сих	4	2
