N	2gram	Bakhtin_fo_2	Dialekti
1	и не	9	30
2	по себе	2	25
3	и т	14	21
4	т д	3	19
5	и в	46	18
6	может быть	7	17
7	точки зрения	10	17
8	в нем	5	16
9	и есть	2	16
10	так что	4	15
11	значит что	2	14
12	а не	4	14
13	потому что	8	14
14	что в	5	13
15	то что	7	13
16	не только	11	13
17	и даже	3	13
18	было бы	2	12
19	с точки	8	12
20	в этом	22	12
21	не может	2	12
22	что он	3	11
23	как бы	10	11
24	все это	6	11
25	это значит	3	11
26	в себе	4	11
27	так как	6	11
28	прежде всего	14	10
29	то же	8	10
30	никогда не	6	9
31	отнюдь не	4	9
32	это не	2	9
33	в том	10	9
34	так и	7	9
35	том что	4	9
36	но это	2	8
37	вовсе не	13	7
38	и как	3	7
39	то в	2	7
40	но и	9	7
41	также и	4	7
42	с другой	2	6
43	можно сказать	2	6
44	она не	2	6
45	не было	3	6
46	и вот	2	6
47	не в	9	6
48	в то	5	6
49	с ним	4	6
50	но в	10	6
51	в этих	3	5
52	в своем	5	5
53	в дальнейшем	5	5
54	есть и	4	5
55	и пр	2	5
56	а потом	2	5
57	все же	6	5
58	отношение к	3	5
59	в отношении	2	5
60	в особенности	6	5
61	и он	4	5
62	а в	3	5
63	и с	6	5
64	говорить о	2	5
65	в виду	3	5
66	и более	2	4
67	в конце	2	4
68	к тому	3	4
69	во всяком	2	4
70	мы видим	2	4
71	но не	5	4
72	же время	4	4
73	хотя и	3	4
74	в котором	4	4
75	быть и	2	4
76	так же	2	4
77	как мы	6	4
78	почти всегда	2	4
79	о том	4	4
80	как он	2	4
81	как это	2	4
82	и почти	2	3
83	всех этих	7	3
84	в них	7	3
85	та же	3	3
86	не является	3	3
87	или иной	2	3
88	но эта	2	3
89	что и	3	3
90	вплоть до	2	3
91	дана в	3	3
92	что они	4	3
93	конечно не	4	3
94	и о	2	3
95	он не	5	3
96	в его	8	3
97	и потому	2	3
98	если в	2	3
99	и всех	2	3
100	один из	2	3
101	друг другу	2	3
102	жизни и	8	3
103	отношения к	4	3
104	в их	3	3
105	еще более	4	3
106	должно быть	5	3
107	у них	2	3
108	жизнь и	3	3
109	в данном	2	3
110	и та	2	3
111	в основе	6	3
112	могут быть	2	3
113	только в	11	3
114	и все	6	3
115	от этого	2	3
116	как у	3	2
117	на этом	2	2
118	вещей и	7	2
119	не был	2	2
120	того что	3	2
121	они были	2	2
122	именно в	2	2
123	в частности	5	2
124	не знает	2	2
125	в качестве	3	2
126	как в	4	2
127	с этой	4	2
128	и от	2	2
129	точка зрения	3	2
130	из этих	4	2
131	сказал что	2	2
132	и явлений	6	2
133	к этому	3	2
134	вещи и	2	2
135	одна и	2	2
136	в мире	4	2
137	как и	8	2
138	что здесь	2	2
139	свет и	2	2
140	связанные с	5	2
141	здесь в	6	2
142	для него	3	2
143	до сих	2	2
144	еще не	6	2
145	для того	8	2
146	о чем	3	2
147	в корне	2	2
148	с тождеством	2	2
149	к ним	2	2
150	каждом из	2	2
151	тем более	3	2
152	как можно	3	2
153	из них	8	2
154	для чего	2	2
155	и их	4	2
156	сих пор	2	2
157	она ни	3	2
158	т п	11	2
159	с этим	5	2
160	на земле	2	2
161	этом отношении	2	2
162	с одной	2	2
163	все эти	5	2
164	мы имеем	2	2
165	в эпоху	4	2
166	уже не	3	2
167	и у	5	2
168	и для	9	2
169	и совершенно	3	2
170	и так	2	2
171	пространстве и	4	2
172	в которых	3	2
173	в другом	3	2
174	и это	2	2
175	почти все	3	2
176	пространства и	2	2
