N	2gram	Losev_Prob_3	EvropaiE
1	и в	44	37
2	в отношении	2	32
3	точки зрения	5	23
4	что в	8	21
5	не только	14	18
6	с точки	2	17
7	в то	9	16
8	хотя бы	3	15
9	то же	13	15
10	в своем	5	14
11	в качестве	3	14
12	но и	10	14
13	и не	35	14
14	но в	12	14
15	в этом	17	12
16	в их	2	11
17	в том	21	11
18	так и	10	10
19	отнюдь не	10	9
20	прежде всего	3	9
21	не может	7	9
22	в себе	8	9
23	только в	19	9
24	так же	5	9
25	к тому	3	8
26	в ее	4	8
27	было бы	8	8
28	в своей	5	8
29	с одной	2	8
30	как и	10	7
31	по своему	2	7
32	между прочим	2	7
33	того что	8	7
34	а также	4	7
35	с другой	7	7
36	также и	16	7
37	так как	9	7
38	с этой	3	6
39	вовсе не	37	6
40	том что	12	6
41	может быть	28	6
42	на то	3	6
43	как бы	9	6
44	то что	23	6
45	во всех	2	6
46	и даже	14	6
47	то есть	34	6
48	же как	3	5
49	в частности	2	5
50	не в	13	5
51	но не	3	5
52	но если	6	5
53	как мы	8	5
54	в той	3	5
55	тем самым	5	5
56	и по	2	5
57	в виде	6	5
58	этой точки	2	5
59	и потому	7	5
60	ни было	3	4
61	но даже	4	4
62	то ни	6	4
63	именно в	2	4
64	в некотором	2	4
65	или иного	3	4
66	или иной	8	4
67	можно сказать	6	4
68	бы то	4	4
69	само по	3	4
70	в самом	3	4
71	то в	3	4
72	в ней	5	4
73	той или	12	4
74	в процессе	2	4
75	по себе	25	4
76	для нас	16	4
77	мы не	7	4
78	и притом	4	4
79	не имеет	9	4
80	сказать что	16	4
81	тем более	3	4
82	в каком	4	4
83	того или	6	4
84	как это	2	4
85	и к	6	3
86	с тем	5	3
87	можно ли	4	3
88	никогда не	6	3
89	и от	9	3
90	это так	2	3
91	в известной	2	3
92	мы видели	2	3
93	мы можем	6	3
94	того же	2	3
95	в известном	2	3
96	из них	2	3
97	всяком случае	6	3
98	себе не	2	3
99	не является	11	3
100	и тем	9	3
101	что и	9	3
102	когда он	2	3
103	как в	5	3
104	и только	6	3
105	и для	2	3
106	как на	2	3
107	в таком	5	3
108	можно было	4	3
109	в которых	3	3
110	в результате	2	3
111	потому что	25	3
112	во всяком	9	3
113	тем что	4	3
114	ни на	3	3
115	в данном	9	3
116	о том	6	3
117	дело в	4	3
118	в порядке	3	2
119	что все	2	2
120	он сам	4	2
121	и более	2	2
122	для них	2	2
123	а не	18	2
124	в этих	2	2
125	сравнению с	2	2
126	по сравнению	2	2
127	и во	2	2
128	с этим	2	2
129	и все	3	2
130	бы о	2	2
131	но также	2	2
132	на одну	2	2
133	именно потому	3	2
134	из того	3	2
135	есть не	5	2
136	при условии	2	2
137	и можно	2	2
138	же в	3	2
139	и как	3	2
140	это значит	4	2
141	есть в	3	2
142	но как	4	2
143	или по	4	2
144	но именно	2	2
145	что это	3	2
146	и если	6	2
147	она не	3	2
148	от друга	2	2
149	нас к	2	2
150	он не	8	2
151	в его	9	2
152	в котором	2	2
153	только к	2	2
154	не есть	35	2
155	при помощи	8	2
156	друг от	2	2
157	жизни и	6	2
158	вместе с	2	2
159	данном случае	7	2
160	на основании	2	2
161	во всей	3	2
162	что же	8	2
163	а в	5	2
164	таким образом	9	2
165	если бы	3	2
166	но с	2	2
167	а именно	8	2
168	заключается в	4	2
169	и что	7	2
170	на этот	4	2
171	другой стороны	5	2
172	происходит в	2	2
173	с другими	3	2
174	или в	4	2
175	этот вопрос	3	2
176	и с	9	2
177	хотя и	5	2
178	могут быть	2	2
179	в этой	3	2
180	и то	14	2
181	как будто	3	2
182	мы должны	7	2
183	как оно	3	2
184	если брать	2	2
185	бы в	2	2
