N	2gram	Tiupa_Lite_2	Istorich
1	и в	19	24
2	что он	3	21
3	не только	8	21
4	и т	2	17
5	может быть	17	14
6	не может	9	14
7	что в	4	13
8	в этом	9	12
9	но и	10	11
10	у него	2	10
11	том что	7	10
12	а в	3	10
13	и что	2	10
14	с другой	8	9
15	не в	4	9
16	все же	2	9
17	о том	2	9
18	потому что	2	9
19	еще не	2	8
20	что и	2	8
21	другой стороны	4	8
22	то же	12	8
23	а не	20	8
24	так как	3	8
25	один из	4	7
26	в том	10	7
27	одна из	5	7
28	во всех	3	7
29	то что	7	7
30	вместе с	5	7
31	тем что	4	6
32	с этой	2	6
33	для нас	2	6
34	как и	10	6
35	но не	5	6
36	в нем	3	6
37	а именно	3	6
38	он не	5	6
39	того что	5	6
40	как он	2	6
41	не менее	6	5
42	одной стороны	6	5
43	так и	7	5
44	с одной	7	5
45	право на	3	5
46	с ним	2	5
47	ничего не	3	5
48	в русской	4	5
49	но в	2	5
50	никогда не	3	4
51	вовсе не	2	4
52	тем не	2	4
53	по существу	3	4
54	представляет собой	2	4
55	при этом	6	4
56	одной из	2	4
57	своего рода	13	4
58	же как	2	4
59	как бы	2	4
60	в их	3	4
61	то и	3	4
62	и не	11	4
63	мы не	4	4
64	так в	5	4
65	точки зрения	4	4
66	в данном	3	4
67	уже в	2	3
68	не столько	3	3
69	обращается к	3	3
70	в качестве	5	3
71	в них	2	3
72	так что	4	3
73	том чтобы	3	3
74	не вполне	2	3
75	себе и	3	3
76	данном случае	3	3
77	и наконец	2	3
78	и даже	8	3
79	и он	3	3
80	и его	3	3
81	но это	3	3
82	не случайно	4	3
83	в конце	2	3
84	тогда как	9	3
85	того же	4	2
86	прежде всего	4	2
87	в то	9	2
88	в ее	2	2
89	выше и	2	2
90	в руках	2	2
91	но тем	4	2
92	и нет	2	2
93	тот же	2	2
94	было бы	2	2
95	со своей	2	2
96	восходит к	2	2
97	если в	2	2
98	и др	3	2
99	на себя	2	2
100	со стороны	3	2
101	вплоть до	3	2
102	не по	2	2
103	уже не	2	2
104	это как	2	2
105	он на	2	2
106	что не	2	2
107	не так	2	2
108	друг друга	2	2
109	как это	2	2
110	в основе	2	2
111	из них	2	2
112	и на	6	2
113	а если	2	2
