N	2gram	Medvedev_V_1	Dialekti
1	и не	19	30
2	по себе	2	25
3	т е	18	25
4	и т	23	21
5	т д	14	19
6	и в	26	18
7	может быть	22	17
8	точки зрения	3	17
9	в нем	6	16
10	и есть	5	16
11	значит что	2	14
12	а не	7	14
13	что в	10	13
14	то что	6	13
15	не только	25	13
16	и даже	2	13
17	если бы	3	12
18	было бы	7	12
19	в этом	26	12
20	не может	17	12
21	что он	4	11
22	как бы	5	11
23	все это	10	11
24	в себе	6	11
25	прежде всего	13	10
26	то же	10	10
27	что такое	2	10
28	сказать что	5	10
29	никогда не	4	9
30	отнюдь не	3	9
31	это не	7	9
32	в том	15	9
33	так и	5	9
34	том что	8	9
35	вовсе не	3	7
36	и как	3	7
37	но и	10	7
38	что она	2	7
39	что не	3	7
40	также и	2	7
41	с другой	11	6
42	можно сказать	4	6
43	хотя бы	19	6
44	она не	3	6
45	не было	7	6
46	не в	6	6
47	его не	3	6
48	в то	6	6
49	в чем	2	6
50	но в	2	6
51	он сам	2	5
52	в своем	8	5
53	в противоположность	3	5
54	идеи и	6	5
55	говорит о	7	5
56	все же	5	5
57	в особенности	2	5
58	что оно	3	5
59	и он	2	5
60	а в	3	5
61	можно было	2	5
62	говорить о	2	5
63	в виду	4	5
64	по крайней	2	4
65	у пушкина	2	4
66	в конце	3	4
67	к тому	4	4
68	это мы	3	4
69	об этом	9	4
70	крайней мере	2	4
71	это и	6	4
72	но не	2	4
73	же время	5	4
74	хотя и	2	4
75	не о	2	4
76	в котором	3	4
77	то это	2	4
78	только то	2	4
79	так же	3	4
80	другой стороны	8	4
81	как раз	3	4
82	о том	10	4
83	как он	2	4
84	как это	12	4
85	что ни	2	3
86	всех этих	2	3
87	тому что	6	3
88	в них	4	3
89	и значит	2	3
90	стороны и	2	3
91	не является	5	3
92	или иной	2	3
93	что и	3	3
94	вплоть до	2	3
95	что они	3	3
96	более или	6	3
97	ли это	2	3
98	действительности и	7	3
99	он не	2	3
100	только с	2	3
101	в его	14	3
102	и потому	2	3
103	если в	2	3
104	даже в	5	3
105	один из	5	3
106	жизни и	3	3
107	или менее	6	3
108	даже не	2	3
109	в их	5	3
110	в самом	4	3
111	еще и	2	3
112	но с	2	3
113	в науке	2	3
114	только что	4	3
115	должно быть	2	3
116	что для	3	3
117	у них	2	3
118	конце концов	2	3
119	в ней	2	3
120	могут быть	5	3
121	даже и	3	3
122	только в	7	3
123	утверждать что	4	3
124	иметь в	2	3
125	бы в	3	3
126	в сознании	4	3
127	как у	2	2
128	не менее	2	2
129	того что	3	2
130	рождается из	2	2
131	же как	2	2
132	бы и	6	2
133	именно в	2	2
134	а о	2	2
135	в частности	11	2
136	образа в	2	2
137	в качестве	11	2
138	и быть	2	2
139	и от	3	2
140	из этих	7	2
141	с другими	2	2
142	в каждом	2	2
143	можно указать	2	2
144	к этому	9	2
145	этой точки	2	2
146	как и	7	2
147	и при	5	2
148	является не	4	2
149	как о	2	2
150	творчества как	3	2
151	для него	8	2
152	еще не	2	2
153	одной стороны	2	2
154	и может	2	2
155	для того	3	2
156	о чем	2	2
157	о своем	2	2
158	стороны в	2	2
159	вслед за	2	2
160	себе и	2	2
161	гете и	2	2
162	относится к	2	2
163	из них	9	2
164	в своей	4	2
165	и их	3	2
166	что даже	2	2
167	как например	2	2
168	т п	9	2
169	с этим	3	2
170	этом отношении	13	2
171	с одной	2	2
172	все эти	6	2
173	мы имеем	3	2
174	чтобы не	2	2
175	и у	2	2
176	и для	2	2
177	отличается от	2	2
178	между собою	2	2
179	с ними	4	2
180	же и	2	2
181	он и	2	2
182	в которых	3	2
183	но как	3	2
184	в другом	2	2
185	не рождается	2	2
186	самый факт	2	2
187	которая не	2	2
188	нет ни	2	2
