N	2gram	Bakhtin_KF_1	Literetu
1	не только	5	24
2	при этом	4	19
3	в качестве	2	17
4	но и	9	17
5	а не	17	16
6	в том	6	16
7	том что	4	14
8	может быть	45	13
9	и не	26	12
10	сознания в	2	12
11	в этом	14	12
12	прежде всего	2	11
13	в своем	16	11
14	то что	7	10
15	не в	12	8
16	в целом	10	8
17	и в	24	8
18	только в	16	8
19	не менее	3	7
20	я не	6	7
21	в его	40	7
22	как бы	9	7
23	уже не	7	7
24	в себе	21	7
25	я и	2	7
26	в жизни	2	6
27	и я	5	6
28	как и	5	6
29	себя в	8	6
30	того что	3	6
31	точки зрения	12	6
32	что он	2	5
33	же время	2	5
34	для себя	5	5
35	как в	2	5
36	не может	27	5
37	то же	5	5
38	тем самым	4	5
39	в данном	2	5
40	в то	3	5
41	для этого	2	4
42	это не	10	4
43	но не	12	4
44	еще не	4	4
45	и тем	3	4
46	все же	5	4
47	в своей	10	4
48	со стороны	7	4
49	так и	2	4
50	никогда не	5	4
51	лишь в	8	4
52	и его	17	4
53	в своих	3	4
54	не как	4	4
55	в этой	2	4
56	мир в	11	4
57	в основе	5	3
58	не было	8	3
59	что в	4	3
60	и есть	9	3
61	сводится к	2	3
62	не должен	3	3
63	один из	2	3
64	жизни и	8	3
65	в их	8	3
66	по отношению	26	3
67	бы не	3	3
68	а в	4	3
69	в принципе	2	3
70	потому что	2	3
71	он и	2	3
72	к себе	2	3
73	но в	5	3
74	его в	5	3
75	дело в	2	3
76	в области	2	3
77	в виду	3	3
78	мира в	6	3
79	во мне	3	2
80	а как	2	2
81	должна быть	4	2
82	это уже	2	2
83	отнюдь не	6	2
84	дело не	2	2
85	та же	2	2
86	раз и	2	2
87	в себя	7	2
88	в мире	6	2
89	действительного мира	5	2
90	тем не	2	2
91	и того	2	2
92	из его	3	2
93	в другом	3	2
94	что я	5	2
95	или иной	2	2
96	для него	8	2
97	было бы	8	2
98	для нее	7	2
99	должен быть	7	2
100	в нем	28	2
101	не есть	20	2
102	отношению к	22	2
103	не остается	2	2
104	и только	6	2
105	мышления и	2	2
106	все эти	10	2
107	от себя	10	2
108	чтобы не	2	2
109	самом деле	3	2
110	ко всему	5	2
111	что не	3	2
112	хотя бы	4	2
113	с точки	9	2
114	поскольку он	2	2
115	и то	2	2
116	между тем	4	2
117	тем что	3	2
118	могут быть	3	2
119	о том	3	2
120	в сознании	2	2
121	а для	2	2
