N	2gram	Potebnia_M_2	VelikijI
1	и не	19	20
2	и в	24	16
3	то что	20	9
4	так как	10	9
5	еще не	4	8
6	что они	5	7
7	и потому	2	7
8	а не	18	7
9	человека и	3	6
10	не есть	6	6
11	хотя и	3	5
12	как бы	9	5
13	но и	9	5
14	все это	2	5
15	что есть	2	5
16	того что	7	5
17	и есть	2	4
18	что все	2	4
19	что он	4	4
20	в нем	9	4
21	как и	7	4
22	все что	3	4
23	что мы	11	4
24	в котором	4	4
25	так и	5	4
26	что не	5	4
27	потому что	49	4
28	в этом	8	4
29	в ней	3	4
30	и все	3	4
31	в его	2	4
32	с его	2	3
33	если не	4	3
34	что в	16	3
35	в этих	3	3
36	что во	2	3
37	в них	5	3
38	превращается в	2	3
39	в жизни	2	3
40	в том	18	3
41	не в	13	3
42	но это	3	3
43	тот же	5	3
44	во всех	7	3
45	никогда не	4	3
46	оно не	3	3
47	то это	3	3
48	что и	11	3
49	как не	3	3
50	тому что	2	3
51	не было	6	3
52	и они	2	3
53	и что	4	3
54	не имеет	6	3
55	хотя бы	2	3
56	и для	3	3
57	должно быть	2	3
58	их в	2	3
59	все эти	2	3
60	в чем	7	3
61	но в	4	3
62	не могут	7	2
63	с тем	4	2
64	на нас	3	2
65	для их	2	2
66	это не	3	2
67	прежде всего	7	2
68	для нас	31	2
69	том что	8	2
70	а к	2	2
71	одна из	4	2
72	от него	4	2
73	но не	12	2
74	для него	10	2
75	того чтобы	2	2
76	вслед за	3	2
77	и во	3	2
78	не только	15	2
79	один из	2	2
80	но мы	3	2
81	не с	3	2
82	и т	6	2
83	и тогда	3	2
84	т д	3	2
85	а с	2	2
86	тем что	7	2
87	в себя	2	2
88	мы не	11	2
89	уже не	4	2
90	не так	3	2
91	его не	3	2
92	а в	8	2
93	с ним	5	2
94	и то	3	2
95	между тем	6	2
96	могут быть	8	2
97	только в	11	2
98	и это	2	2
99	во всяком	7	2
100	которые не	3	2
101	к нам	2	2
102	а между	4	2
