N	2gram	Medvedev_V_1	Poddanst
1	не только	25	17
2	и в	26	14
3	и не	19	12
4	в области	2	11
5	в этом	26	10
6	то же	10	9
7	в том	15	9
8	в качестве	11	9
9	но в	2	9
10	хотя бы	19	8
11	в пределах	5	8
12	же время	5	7
13	в то	6	7
14	только в	7	7
15	но и	10	6
16	в ней	2	6
17	было бы	7	6
18	с другой	11	5
19	не в	6	5
20	в которых	3	5
21	может быть	22	5
22	же в	6	4
23	в котором	3	4
24	то что	6	4
25	что в	10	4
26	если бы	3	4
27	в своем	8	4
28	не может	17	4
29	по себе	2	4
30	и к	3	4
31	а в	3	4
32	том что	8	4
33	как бы	5	4
34	и потому	2	4
35	в порядке	5	3
36	в нем	6	3
37	и т	23	3
38	с тем	3	3
39	это не	7	3
40	с одной	2	3
41	т е	18	3
42	прежде всего	13	3
43	заключается в	2	3
44	для того	3	3
45	сводится к	3	3
46	и как	3	3
47	с ними	4	3
48	между тем	5	3
49	но не	2	3
50	могут быть	5	3
51	точки зрения	3	3
52	в себе	6	3
53	что мы	2	3
54	одной стороны	2	3
55	вслед за	2	3
56	хотя и	2	3
57	н н	2	3
58	в сфере	2	2
59	не менее	2	2
60	том числе	2	2
61	именно в	2	2
62	и есть	5	2
63	во всех	6	2
64	в частности	11	2
65	отнюдь не	3	2
66	в них	4	2
67	все это	10	2
68	во всей	2	2
69	как раз	3	2
70	не столько	2	2
71	с этим	3	2
72	в жизни	2	2
73	между прочим	2	2
74	главным образом	7	2
75	стороны и	2	2
76	было в	2	2
77	в значительной	3	2
78	а не	7	2
79	того что	3	2
80	должно быть	2	2
81	в ее	4	2
82	как на	3	2
83	говорить о	2	2
84	если в	2	2
85	одна из	4	2
86	в силу	11	2
87	не было	7	2
88	из них	9	2
89	в общем	2	2
90	например в	3	2
91	мысль о	2	2
92	в статье	4	2
93	значительной мере	3	2
94	не о	2	2
95	в его	14	2
