N	2gram	Berdyaev_N_1	Tvorches
1	и в	16	20
2	не только	5	13
3	никогда не	6	11
4	в то	2	10
5	и не	11	9
6	прежде всего	4	8
7	в том	8	8
8	но и	3	8
9	может быть	7	8
10	в этом	7	8
11	и с	2	8
12	это не	4	7
13	наряду с	3	7
14	что в	9	7
15	не может	16	7
16	потому что	4	7
17	xix века	5	7
18	у него	2	6
19	как и	7	6
20	в своей	3	6
21	так и	2	6
22	все это	5	6
23	а не	17	6
24	в мире	3	5
25	но это	6	5
26	еще не	3	5
27	но не	2	5
28	и даже	2	5
29	так же	2	5
30	и на	2	5
31	о том	4	5
32	и от	2	4
33	в духе	3	4
34	мы не	2	4
35	том что	2	4
36	хотя и	2	4
37	что она	2	4
38	как в	3	4
39	все эти	2	4
40	не в	6	4
41	а в	2	4
42	и потому	4	4
43	но в	2	4
44	место в	2	3
45	же как	2	3
46	жизни в	3	3
47	человека и	3	3
48	быть может	4	3
49	одна из	2	3
50	и мы	4	3
51	он не	8	3
52	в нем	5	3
53	то что	4	3
54	и это	2	3
55	вместе с	2	3
56	уже не	2	3
57	в себе	2	3
58	ни к	2	2
59	зависит от	2	2
60	все время	2	2
61	не менее	4	2
62	и есть	10	2
63	не означает	3	2
64	с другой	3	2
65	не знал	2	2
66	я не	2	2
67	такой же	2	2
68	в ее	3	2
69	права на	2	2
70	xviii века	2	2
71	к жизни	3	2
72	нет и	2	2
73	не могли	2	2
74	себя в	2	2
75	наше время	4	2
76	в истории	3	2
77	в наше	3	2
78	не было	4	2
79	и что	2	2
80	другой стороны	2	2
81	роль в	2	2
82	в основе	3	2
83	могут быть	2	2
84	в россии	3	2
85	сильнее и	2	2
86	познания и	2	2
87	более не	2	2
