N	2gram	Berdyaev_M_2	formyVre
1	и в	46	50
2	в этом	20	25
3	в нем	22	24
4	человека в	14	17
5	и его	5	16
6	прежде всего	12	15
7	и не	18	14
8	в его	5	13
9	так и	4	12
10	человека и	7	11
11	может быть	21	11
12	то же	5	11
13	но в	10	10
14	в конце	5	9
15	в том	3	9
16	не только	18	9
17	с его	4	9
18	ничего не	2	9
19	в самом	5	8
20	но и	15	8
21	и на	3	8
22	жизни в	3	8
23	как и	13	8
24	жизни и	6	8
25	ни в	3	8
26	не было	11	7
27	и во	3	7
28	это не	5	6
29	не может	15	6
30	лишь в	2	6
31	так же	6	6
32	так как	8	6
33	у него	22	6
34	и все	5	6
35	в жизни	4	6
36	связи с	2	6
37	во всех	2	6
38	то что	5	6
39	как в	7	6
40	человеческой жизни	2	6
41	что в	4	5
42	в образе	3	5
43	не в	9	5
44	с самим	3	5
45	этот процесс	2	5
46	в разных	2	5
47	только и	4	5
48	в основе	2	5
49	точки зрения	2	5
50	если бы	3	5
51	он не	10	5
52	отношению к	2	5
53	того чтобы	4	5
54	для того	5	5
55	но на	2	4
56	в своем	8	4
57	до конца	4	4
58	не имеет	4	4
59	потому что	12	4
60	и с	3	4
61	в ней	11	4
62	к себе	2	4
63	нет ничего	3	4
64	в них	3	4
65	жизнь и	4	4
66	том что	4	4
67	и для	7	4
68	только в	3	4
69	и это	5	4
70	жизни не	2	3
71	человек в	3	3
72	мы еще	2	3
73	себя и	3	3
74	в этих	2	3
75	в отношении	5	3
76	к тому	5	3
77	да и	2	3
78	не имеют	2	3
79	себе и	2	3
80	хотя и	2	3
81	один из	5	3
82	по отношению	2	3
83	отношения к	2	3
84	чем не	2	3
85	и других	2	3
86	но эта	2	3
87	они не	4	3
88	друг друга	12	3
89	а в	2	3
90	и те	2	3
91	сказать что	3	3
92	самим собою	2	3
93	его в	3	3
94	не знает	9	3
95	что было	3	3
96	есть не	5	3
97	в сущности	2	3
98	по преимуществу	5	3
99	и потому	7	3
100	что и	4	3
101	вместе с	2	3
102	сих пор	3	3
103	еще более	2	3
104	а не	13	3
105	что не	2	3
106	мы видим	2	3
107	нас в	2	3
108	в себе	10	3
109	до сих	3	3
110	место в	2	2
111	уже в	2	2
112	совсем не	5	2
113	же как	3	2
114	никогда не	18	2
115	в нашем	7	2
116	мир и	2	2
117	и нет	3	2
118	что все	5	2
119	вопрос о	6	2
120	или иной	2	2
121	жизнь в	6	2
122	они были	3	2
123	лишь как	3	2
124	есть в	3	2
125	лишь один	2	2
126	смысле слова	3	2
127	в свою	4	2
128	момент в	3	2
129	для него	18	2
130	нет в	4	2
131	традицией и	2	2
132	но для	2	2
133	не о	2	2
134	жизни это	4	2
135	не к	2	2
136	отношение к	8	2
137	не для	3	2
138	к своему	2	2
139	те же	5	2
140	того что	6	2
141	также и	4	2
142	в более	2	2
143	личности и	2	2
144	же и	2	2
145	но он	11	2
146	во всем	5	2
147	как он	3	2
148	друг за	2	2
149	с ним	3	2
150	человек и	2	2
151	друг к	5	2
152	к другому	3	2
153	же что	2	2
154	тогда когда	2	2
155	по себе	2	2
156	и к	7	2
157	в трагедии	3	2
158	в чем	3	2
159	чем в	2	2
160	к ней	2	2
161	на почве	3	2
162	оно не	2	2
163	но она	2	2
164	нем нет	2	2
165	принадлежит к	2	2
166	в своей	5	2
167	к другу	5	2
168	как бы	8	2
169	быть и	2	2
170	ее в	2	2
171	момент его	2	2
172	в центре	2	2
173	уже не	4	2
174	и эта	2	2
175	хотя бы	7	2
176	в которой	2	2
177	той же	3	2
178	у них	4	2
179	от этого	2	2
180	тем что	3	2
181	его на	4	2
