N	2gram	Losev_Vlad_1	Myshleni
1	в этом	14	29
2	точки зрения	2	28
3	и в	31	26
4	не только	24	24
5	для себя	2	24
6	то что	18	24
7	таким образом	3	23
8	и речи	3	19
9	того чтобы	2	19
10	в том	11	18
11	и не	17	18
12	для того	2	18
13	том что	14	17
14	потому что	11	16
15	как и	4	15
16	того что	2	14
17	так как	8	14
18	как мы	9	14
19	что в	14	12
20	вместе с	3	12
21	и его	7	12
22	в которой	4	11
23	но и	19	11
24	мысли и	4	11
25	не может	6	11
26	что они	3	10
27	по своей	4	10
28	по своему	3	9
29	в самом	2	9
30	что мы	2	9
31	тем что	2	9
32	в себе	4	9
33	то же	6	8
34	что она	2	8
35	сказать что	7	8
36	что он	12	8
37	тем самым	2	8
38	той же	2	8
39	только в	9	8
40	к тому	3	7
41	в меру	2	7
42	может быть	6	7
43	и к	6	7
44	и то	10	7
45	речи с	2	7
46	как на	2	6
47	мы должны	2	6
48	все что	2	6
49	и что	6	6
50	было бы	2	6
51	все эти	3	6
52	все же	3	6
53	можно сказать	6	5
54	что с	2	5
55	в целом	3	5
56	никак не	4	5
57	и с	14	5
58	в начале	3	5
59	как это	7	5
60	с тем	2	5
61	в качестве	6	5
62	только что	2	5
63	и для	2	5
64	что этот	3	5
65	не менее	2	4
66	никогда не	9	4
67	в нашем	4	4
68	что у	4	4
69	с другой	3	4
70	и от	5	4
71	в конце	9	4
72	на то	5	4
73	так что	10	4
74	в котором	6	4
75	не по	2	4
76	то и	2	4
77	в момент	2	4
78	в его	12	4
79	о том	11	4
80	но в	12	4
81	по этому	2	4
82	еще не	2	4
83	одной из	2	4
84	как в	3	4
85	это и	2	4
86	не в	5	4
87	едва ли	3	4
88	учение о	2	3
89	я не	4	3
90	все это	5	3
91	из этих	2	3
92	тем не	2	3
93	но это	3	3
94	для него	7	3
95	но мы	2	3
96	как к	2	3
97	но только	3	3
98	было сказано	2	3
99	и по	8	3
100	он не	10	3
101	мы уже	7	3
102	с ним	5	3
103	к изучению	2	3
104	об этом	7	3
105	о его	2	3
106	во всем	4	3
107	в то	8	3
108	но не	3	3
109	и о	2	3
110	для нее	2	3
111	и потому	6	3
112	в этот	4	3
113	нет и	2	3
114	что и	5	3
115	в своей	4	3
116	так и	6	3
117	только на	3	3
118	как раз	7	3
119	к нему	4	3
120	в этой	4	3
121	в чем	2	3
122	уже в	7	2
123	и весь	2	2
124	что все	2	2
125	то время	2	2
126	его к	2	2
127	что на	2	2
128	мы знаем	2	2
129	а по	2	2
130	для нас	4	2
131	ни в	2	2
132	что его	4	2
133	которой мы	2	2
134	мы и	4	2
135	на его	3	2
136	несмотря на	4	2
137	не мог	3	2
138	одним из	2	2
139	один из	4	2
140	в нем	4	2
141	отношение к	3	2
142	то как	2	2
143	того и	2	2
144	это мы	2	2
145	и других	2	2
146	образом в	2	2
147	на первом	2	2
148	лишь в	2	2
149	а в	9	2
150	что для	4	2
151	в своих	5	2
152	также и	10	2
153	но он	5	2
154	к его	3	2
155	но этот	3	2
156	к этой	2	2
157	во время	3	2
158	от нее	2	2
159	в лет	3	2
160	к этому	6	2
161	вовсе не	5	2
162	и здесь	3	2
163	у нас	6	2
164	этот факт	2	2
165	совершенно не	2	2
166	только к	3	2
167	к ней	4	2
168	даже в	2	2
169	и до	2	2
170	этом и	2	2
171	из этого	2	2
172	что же	5	2
173	по своим	3	2
174	на основании	2	2
175	в отношении	3	2
176	в период	5	2
177	говорит что	4	2
178	и он	3	2
179	во всяком	2	2
180	знания в	2	2
181	ответ на	2	2
182	не раз	4	2
183	ничего не	3	2
