N	2gram	Tiupa_Narr_2	Sovremen
1	не может	8	17
2	точки зрения	5	12
3	может быть	10	12
4	таким образом	5	11
5	мы не	2	9
6	в этом	13	7
7	и в	13	7
8	и не	14	6
9	как и	4	6
10	в результате	2	6
11	ничего не	6	6
12	прежде всего	6	5
13	все эти	3	5
14	с точки	2	5
15	как бы	6	4
16	в целом	3	4
17	жизни и	4	4
18	это не	3	4
19	а в	9	4
20	не только	26	4
21	в том	14	4
22	точку зрения	3	4
23	все же	6	3
24	отнюдь не	4	3
25	он может	2	3
26	между собой	3	3
27	в конце	4	3
28	то же	4	3
29	в нем	5	3
30	а не	17	3
31	и к	6	3
32	для нас	2	3
33	у нас	2	3
34	не в	8	3
35	в этой	4	3
36	одна из	3	3
37	еще не	2	3
38	при этом	14	3
39	было бы	2	3
40	и т.д	4	3
41	и все	4	3
42	как он	2	3
43	в себе	8	3
44	в области	2	3
45	что она	2	3
46	но в	6	3
47	так сказать	3	2
48	что это	4	2
49	не менее	4	2
50	в виде	2	2
51	у него	6	2
52	можно назвать	2	2
53	в нашем	2	2
54	жизни мы	2	2
55	то и	3	2
56	в отличие	5	2
57	из этих	2	2
58	с одной	5	2
59	уже не	4	2
60	в свою	2	2
61	или иной	3	2
62	самом деле	3	2
63	и что	2	2
64	роль в	2	2
65	и даже	3	2
66	и по	3	2
67	тем не	5	2
68	и пространства	2	2
69	той же	2	2
70	в таком	3	2
71	времени и	4	2
72	что в	4	2
73	говорить о	2	2
74	со всеми	2	2
75	которой он	3	2
76	такого рода	12	2
77	в самом	2	2
78	о жизни	4	2
79	отличие от	5	2
80	в его	6	2
81	все те	2	2
