N	2gram	Medvedev_S_1	Formalny
1	и в	3	24
2	в его	3	23
3	в этом	5	15
4	может быть	2	14
5	таким образом	2	13
6	истории литературы	10	12
7	то же	2	10
8	все это	7	9
9	то что	2	8
10	не в	3	8
11	должна быть	2	7
12	не только	3	7
13	но и	2	7
14	было бы	2	6
15	в том	5	6
16	социологического метода	3	6
17	еще не	2	6
18	как бы	2	6
19	о литературе	3	6
20	социологический метод	4	5
21	главным образом	2	4
22	в частности	2	4
23	историка литературы	2	4
24	метод в	4	4
25	отношению к	2	4
26	по отношению	2	4
27	что в	2	4
28	это и	2	3
29	метод и	2	3
30	в литературоведении	2	3
31	и заключается	2	2
32	по существу	2	2
33	литературы и	2	2
34	только в	2	2
35	только как	2	2
36	за пределы	2	2
37	и что	2	2
38	в результате	2	2
39	к которому	2	2
40	но ведь	3	2
