N	2gram	Bakhtin_Pr_4	Tvorches
1	у достоевского	16	30
2	и в	46	20
3	князя мышкина	3	16
4	в романе	6	15
5	романах достоевского	7	13
6	не только	14	13
7	в романах	5	13
8	никогда не	6	11
9	преступлении и	2	11
10	как бы	19	11
11	в преступлении	2	10
12	и наказании	2	10
13	в его	9	10
14	таким образом	4	10
15	в то	5	10
16	достоевского в	8	9
17	и его	6	9
18	и не	27	9
19	прежде всего	9	8
20	в том	9	8
21	при этом	5	8
22	но и	12	8
23	может быть	23	8
24	в этом	16	8
25	и с	7	8
26	это не	5	7
27	братьях карамазовых	2	7
28	же время	5	7
29	что в	4	7
30	не может	19	7
31	то же	6	7
32	потому что	4	7
33	у него	5	6
34	в конце	3	6
35	что он	6	6
36	в братьях	2	6
37	как и	12	6
38	в своей	3	6
39	так и	4	6
40	все это	6	6
41	а не	11	6
42	романов достоевского	2	5
43	в мире	3	5
44	но это	6	5
45	еще не	7	5
46	но не	4	5
47	и сам	5	5
48	например в	4	5
49	все же	4	5
50	и даже	3	5
51	так же	3	5
52	и на	11	5
53	в этой	3	5
54	о том	5	5
55	героев достоевского	3	5
56	то есть	40	5
57	об этом	2	4
58	настасье филипповне	2	4
59	в духе	2	4
60	мы не	4	4
61	том что	4	4
62	хотя и	6	4
63	когда он	2	4
64	как в	4	4
65	в известной	2	4
66	все эти	4	4
67	творчество достоевского	2	4
68	героя в	3	4
69	не в	10	4
70	настасьи филипповны	6	4
71	а в	2	4
72	настасья филипповна	4	4
73	творчестве достоевского	2	4
74	ничего не	2	4
75	если бы	3	4
76	но в	6	4
77	он сам	2	3
78	же как	2	3
79	превращается в	4	3
80	мире достоевского	2	3
81	в одной	2	3
82	человека и	3	3
83	с ним	2	3
84	отношению к	5	3
85	в античной	2	3
86	одна из	2	3
87	достоевского это	2	3
88	для него	2	3
89	своего рода	4	3
90	в самом	9	3
91	он не	4	3
92	в котором	5	3
93	в нем	17	3
94	то что	4	3
95	и это	3	3
96	главного героя	2	3
97	вместе с	2	3
98	сих пор	8	3
99	в их	4	3
100	достоевского но	3	3
101	по отношению	5	3
102	и через	2	3
103	так как	5	3
104	уже не	4	3
105	одним из	3	3
106	этот вопрос	2	3
107	в рассказе	2	3
108	тем что	3	3
109	в которых	2	3
110	в себе	7	3
111	у пушкина	2	3
112	между тем	2	3
113	до сих	8	3
114	уже в	4	2
115	все время	2	2
116	себя на	2	2
117	не менее	2	2
118	с другой	3	2
119	в одном	11	2
120	вовсе не	9	2
121	во всяком	2	2
122	такой же	3	2
123	у нас	2	2
124	так что	2	2
125	более того	3	2
126	что я	6	2
127	в произведениях	2	2
128	у тургенева	4	2
129	том же	4	2
130	но если	3	2
131	преступления и	3	2
132	к жизни	2	2
133	нет и	2	2
134	не могли	2	2
135	себя в	3	2
136	в первой	2	2
137	него в	3	2
138	самого достоевского	2	2
139	в процессе	4	2
140	но эти	4	2
141	на него	3	2
142	и наказания	3	2
143	приводит к	4	2
144	так в	2	2
145	к самому	2	2
146	в отличие	3	2
147	бы не	2	2
148	уже после	3	2
149	не было	2	2
150	и других	4	2
151	достоевского и	2	2
152	самом деле	4	2
153	и что	3	2
154	и наконец	4	2
155	на этот	2	2
156	в литературной	2	2
157	другой стороны	3	2
158	и он	6	2
159	и по	2	2
160	друг друга	6	2
161	особенно в	5	2
162	рядом с	5	2
163	героя с	2	2
164	могут быть	2	2
165	для достоевского	2	2
166	и только	3	2
167	только в	6	2
168	но ведь	2	2
169	героя и	4	2
170	так сказать	5	2
171	их в	3	2
172	отличие от	3	2
173	произведениях достоевского	3	2
174	одном из	2	2
