N	2gram	Vinokur_Vv_1	FransuaR
1	и в	27	41
2	во всех	2	17
3	таким образом	19	17
4	в нем	13	16
5	и с	2	16
6	и его	5	13
7	но и	5	13
8	как мы	9	12
9	в этом	34	12
10	все это	6	11
11	все эти	3	11
12	прежде всего	8	10
13	в самом	12	10
14	не только	21	10
15	и др	2	10
16	так как	13	10
17	то что	17	10
18	и на	3	9
19	о том	15	9
20	никогда не	3	8
21	в сущности	3	8
22	в этой	3	8
23	но в	10	8
24	в них	4	7
25	вовсе не	6	7
26	том что	26	7
27	как бы	5	7
28	и до	2	7
29	в особенности	4	7
30	как и	5	7
31	что в	11	7
32	в его	10	7
33	что он	4	6
34	например в	2	6
35	один из	6	6
36	вместе с	6	6
37	также и	16	6
38	сказать что	5	6
39	в то	5	6
40	то же	8	5
41	в одном	4	5
42	в ее	11	5
43	так же	3	5
44	же время	5	5
45	а также	3	5
46	из них	3	5
47	до нас	3	5
48	в своем	3	5
49	рядом с	2	5
50	в той	7	5
51	и что	4	5
52	той же	4	5
53	тем что	6	5
54	в себе	4	5
55	во всем	2	5
56	что это	3	5
57	уже в	5	4
58	с другой	8	4
59	средних веков	2	4
60	именно в	8	4
61	у нас	2	4
62	и как	9	4
63	не в	8	4
64	и вообще	3	4
65	большей или	2	4
66	одной стороны	4	4
67	в большей	7	4
68	в ней	3	4
69	в котором	4	4
70	все же	8	4
71	не может	13	4
72	с одной	4	4
73	самом деле	6	4
74	именно на	2	4
75	того чтобы	21	4
76	и даже	5	4
77	одним из	5	4
78	а в	5	4
79	другом месте	2	4
80	в результате	3	4
81	в другом	3	4
82	о котором	8	4
83	того же	3	4
84	он сам	3	3
85	до того	2	3
86	первом случае	2	3
87	во втором	2	3
88	с этой	4	3
89	с этим	2	3
90	или меньшей	2	3
91	одной из	3	3
92	до сих	5	3
93	было бы	5	3
94	и сам	2	3
95	в начале	3	3
96	не мог	2	3
97	в ряде	2	3
98	жизни и	2	3
99	сих пор	5	3
100	и для	4	3
101	этом отношении	3	3
102	при этом	3	3
103	на языке	2	3
104	и не	13	3
105	того что	12	3
106	что не	5	3
107	между ними	2	3
108	к нему	2	3
109	есть только	2	3
110	в данном	11	3
111	только в	13	3
112	в первом	5	3
113	только с	3	3
114	в чем	4	3
115	потому что	14	3
116	времени и	4	2
117	не могут	5	2
118	что если	2	2
119	но уже	2	2
120	в частности	3	2
121	связана с	4	2
122	в этих	3	2
123	понятно что	3	2
124	для этого	3	2
125	значение в	2	2
126	одного и	2	2
127	в конце	3	2
128	историю и	2	2
129	стороны и	3	2
130	что именно	2	2
131	в том	31	2
132	так что	5	2
133	в дальнейшем	2	2
134	находятся в	2	2
135	тем более	2	2
136	связи с	3	2
137	на этом	3	2
138	но не	7	2
139	есть и	4	2
140	в значительной	2	2
141	должна быть	2	2
142	находит себе	2	2
143	до конца	3	2
144	может быть	24	2
145	в своей	4	2
146	хотя и	3	2
147	но если	3	2
148	должен быть	4	2
149	этой книги	2	2
150	мы видели	2	2
151	себя в	2	2
152	был в	2	2
153	данном случае	5	2
154	в форме	2	2
155	а именно	6	2
156	другой стороны	5	2
157	как раз	4	2
158	в центре	4	2
159	что даже	2	2
160	как это	5	2
161	но с	4	2
162	из того	2	2
163	и сейчас	2	2
164	в истории	9	2
165	заключается в	4	2
166	а не	3	2
167	с точки	2	2
168	внимание на	4	2
169	и те	2	2
170	мы не	2	2
171	каждый из	2	2
172	и то	5	2
173	между тем	8	2
174	говорит он	2	2
175	точки зрения	7	2
176	из этих	5	2
177	говорить о	3	2
178	второй половины	3	2
179	что мы	2	2
180	как он	6	2
181	в области	4	2
182	тогда когда	3	2
183	как она	4	2
184	как о	4	2
