N	2gram	Propp_Isto_5	Narrotol
1	не только	13	26
2	а не	2	17
3	представляет собой	7	16
4	но и	13	15
5	в том	6	14
6	в качестве	7	14
7	и не	11	14
8	том что	8	13
9	и в	25	13
10	в этом	10	13
11	в частности	7	11
12	только в	7	11
13	может быть	17	10
14	в данном	3	10
15	а в	3	9
16	то что	7	8
17	не может	6	8
18	не в	6	8
19	никогда не	3	6
20	прежде всего	6	6
21	можно сказать	2	6
22	того что	2	6
23	в его	12	6
24	данном случае	2	6
25	со стороны	2	6
26	героя в	9	6
27	все же	10	6
28	у него	2	6
29	как бы	2	6
30	ничего не	2	6
31	точки зрения	2	5
32	тем не	4	5
33	что он	22	5
34	одной стороны	7	5
35	он не	4	5
36	и тем	4	5
37	в нем	7	5
38	отношению к	2	5
39	на него	8	5
40	как в	6	5
41	в форме	3	5
42	по отношению	2	5
43	таким образом	9	5
44	с одной	7	5
45	с другой	9	5
46	в то	3	5
47	о том	7	5
48	перед нами	2	4
49	что это	5	4
50	не менее	4	4
51	если бы	2	4
52	об этом	2	4
53	же в	2	4
54	как и	7	4
55	как у	2	4
56	что в	8	4
57	жизни и	2	4
58	в своей	2	4
59	в ее	4	4
60	то же	4	4
61	уже не	11	4
62	все его	2	4
63	в этой	3	4
64	и все	3	4
65	с ним	4	4
66	в себя	3	4
67	а как	2	3
68	мы имеем	14	3
69	это не	6	3
70	о герое	2	3
71	одна из	2	3
72	но не	5	3
73	и сам	2	3
74	к его	2	3
75	о нем	3	3
76	один из	2	3
77	в целом	3	3
78	на том	3	3
79	все эти	8	3
80	самом деле	2	3
81	того чтобы	3	3
82	и по	2	3
83	и для	2	3
84	и его	9	3
85	с этой	2	3
86	сказать что	2	3
87	которой он	2	3
88	же как	4	2
89	о чем	2	2
90	что у	4	2
91	превращается в	7	2
92	представления о	3	2
93	вовсе не	2	2
94	со своими	2	2
95	и здесь	7	2
96	в свою	3	2
97	на то	2	2
98	для нас	5	2
99	говорит о	2	2
100	и т	20	2
101	мы узнаем	2	2
102	еще не	8	2
103	и он	6	2
104	ему в	3	2
105	во сне	2	2
106	несмотря на	2	2
107	но для	2	2
108	в него	5	2
109	что и	6	2
110	он может	2	2
111	себя в	6	2
112	в других	2	2
113	не объясняет	2	2
114	если не	4	2
115	в течение	2	2
116	они не	3	2
117	и что	8	2
118	так же	5	2
119	роль в	2	2
120	мы не	5	2
121	на одном	2	2
122	но это	7	2
123	в ней	5	2
124	в виде	9	2
125	но он	2	2
126	во время	7	2
127	и вновь	2	2
128	представляют собой	3	2
129	героя и	3	2
130	потому что	7	2
131	том как	2	2
