N	3gram	Tiupa_Anal_1	Psycholo
1	в том что	9	17
2	для того чтобы	3	13
3	в самом деле	2	11
4	с точки зрения	4	10
5	не может быть	16	8
6	и т п	3	8
7	то же самое	2	6
8	в этом отношении	2	5
9	в данном случае	2	4
10	о том что	3	4
11	сами по себе	2	3
12	в конечном счете	4	3
13	в том чтобы	7	3
14	том что он	2	3
15	и не может	4	2
16	то же время	6	2
17	бы то ни	3	2
18	состоит в том	3	2
19	того и другого	2	2
20	подобно тому как	3	2
21	в то же	8	2
22	не в том	3	2
23	в том и	2	2
24	того или иного	3	2
25	не остается ничего	2	2
26	с другой стороны	2	2
