N	2gram	Potebnia_M_2	Formalny
1	и не	19	30
2	вовсе не	9	28
3	и в	24	27
4	может быть	23	25
5	не может	12	24
6	так и	5	21
7	и его	2	19
8	таким образом	11	18
9	в этом	8	18
10	а не	18	17
11	самом деле	2	16
12	в нем	9	15
13	то же	12	15
14	между ними	2	15
15	на самом	2	14
16	как и	7	14
17	не в	13	12
18	если бы	11	12
19	и от	3	11
20	в самом	4	11
21	в жизни	2	11
22	и т	6	11
23	место в	4	10
24	но и	9	10
25	не могут	7	10
26	в действительности	2	9
27	так как	10	9
28	не только	15	9
29	так же	2	9
30	что в	16	8
31	при этом	13	8
32	как бы	9	8
33	и все	3	8
34	то что	20	8
35	только в	11	8
36	не менее	5	7
37	в том	18	7
38	же время	2	7
39	все это	2	7
40	потому что	49	7
41	в то	6	7
42	его в	3	7
43	между тем	6	7
44	с тем	4	7
45	в его	2	7
46	если мы	3	7
47	тем же	3	7
48	там где	4	7
49	с другой	6	6
50	всяком случае	7	6
51	т д	3	6
52	все эти	2	6
53	бы в	2	6
54	но в	4	6
55	что он	4	6
56	еще не	4	6
57	было бы	13	6
58	все же	5	6
59	хотя бы	2	6
60	и для	3	6
61	во всяком	7	6
62	вместе с	11	6
63	независимо от	9	5
64	никогда не	4	5
65	в каждом	2	5
66	ни было	3	5
67	что они	5	5
68	совсем не	2	5
69	того чтобы	2	5
70	и их	5	5
71	друг друга	2	5
72	другой стороны	2	5
73	в ней	3	5
74	но не	12	5
75	и потому	2	5
76	т п	3	5
77	тому как	4	5
78	тем что	7	5
79	связи с	6	5
80	так сказать	4	5
81	уже в	5	4
82	прежде всего	7	4
83	мы знаем	2	4
84	и как	6	4
85	для того	5	4
86	в целом	3	4
87	со стороны	3	4
88	в связи	2	4
89	они не	4	4
90	о том	5	4
91	как это	2	4
92	мы можем	12	4
93	тогда когда	10	4
94	по себе	15	4
95	бы ни	5	4
96	не есть	6	4
97	том что	8	4
98	как в	10	4
99	в слове	13	4
100	мы не	11	4
101	связь между	2	4
102	могут быть	8	4
103	подобно тому	4	4
104	слова и	3	4
105	что это	3	3
106	в этих	3	3
107	тому что	2	3
108	в какой	2	3
109	столь же	5	3
110	это не	3	3
111	те же	3	3
112	для нас	31	3
113	того что	7	3
114	имеет место	2	3
115	она есть	2	3
116	и тем	3	3
117	слово как	2	3
118	по отношению	2	3
119	той же	3	3
120	и что	4	3
121	и на	8	3
122	их в	2	3
123	сказать что	2	3
124	и следовательно	2	3
125	в них	5	3
126	у нас	2	3
127	того же	14	3
128	во всех	7	3
129	оно не	3	3
130	а и	5	3
131	уже не	4	3
132	не на	2	3
133	то мы	2	3
134	внутренней формы	2	3
135	в себе	10	3
136	может стать	2	3
137	души и	4	3
138	человека и	3	2
139	главным образом	4	2
140	на все	3	2
141	всех этих	2	2
142	но это	3	2
143	такой же	4	2
144	на этом	2	2
145	очевидно что	3	2
146	не можем	6	2
147	в формах	2	2
148	в общем	2	2
149	к другому	4	2
150	но если	2	2
151	в котором	4	2
152	только один	4	2
153	нам кажется	4	2
154	из них	5	2
155	от того	5	2
156	что она	3	2
157	допустим что	2	2
158	в нас	3	2
159	и только	6	2
160	отношения к	2	2
161	как совокупность	2	2
162	в самой	3	2
163	одной и	2	2
164	от одного	3	2
165	из этих	4	2
166	как он	4	2
167	бы быть	3	2
168	слагаются в	2	2
169	к которому	2	2
170	том как	3	2
171	от действия	2	2
172	что ни	2	2
173	с его	2	2
174	этом смысле	2	2
175	перестает быть	2	2
176	смысле этого	3	2
177	превращается в	2	2
178	не как	3	2
179	и во	3	2
180	же что	3	2
181	предмета и	4	2
182	к этому	2	2
183	и притом	3	2
184	а к	2	2
185	одна из	4	2
186	от него	4	2
187	и тогда	3	2
188	связано с	2	2
189	мы должны	2	2
190	кажется что	3	2
191	не от	5	2
192	за пределы	2	2
193	ни с	2	2
194	этого слова	6	2
195	сами по	7	2
196	с таким	3	2
197	что и	11	2
198	тем не	6	2
199	как не	3	2
200	вытекает из	2	2
201	так в	4	2
202	в языке	3	2
203	бы не	5	2
204	человека в	3	2
205	и сами	4	2
206	в таком	4	2
207	быть только	2	2
208	в каком	3	2
209	отношения между	2	2
210	и это	2	2
211	в эту	3	2
