N	2gram	Bakhtin_Pr_1	Otkroven
1	и в	38	19
2	но и	9	13
3	и не	42	13
4	в этом	15	12
5	а не	5	11
6	не в	7	11
7	человека в	2	11
8	может быть	26	11
9	не только	9	11
10	и все	3	10
11	в нем	15	10
12	никогда не	5	9
13	не было	2	9
14	в самой	2	9
15	прежде всего	13	9
16	и он	2	8
17	ни с	2	7
18	лишь в	2	7
19	от него	3	7
20	ивана карамазова	2	7
21	он не	3	7
22	в его	43	7
23	все это	3	6
24	как и	7	6
25	то что	8	5
26	а в	6	5
27	отношение к	10	5
28	в том	8	5
29	в самом	7	5
30	в россии	2	5
31	с его	2	4
32	того чтобы	2	4
33	что не	4	4
34	есть лишь	3	4
35	и его	16	4
36	все эти	5	4
37	не может	27	4
38	что в	7	4
39	к нему	10	3
40	не могут	2	3
41	в этих	2	3
42	и есть	2	3
43	это не	5	3
44	что он	2	3
45	того что	2	3
46	для того	2	3
47	хотя бы	4	3
48	в своих	2	3
49	еще не	7	3
50	и от	3	3
51	могут быть	5	3
52	все что	3	3
53	и ее	2	3
54	в себе	4	3
55	было бы	8	3
56	о том	4	3
57	с ним	5	3
58	как бы	22	3
59	все же	6	2
60	что и	2	2
61	не есть	6	2
62	и для	11	2
63	в единстве	12	2
64	в истории	2	2
65	природы и	3	2
66	так и	5	2
67	в своем	5	2
68	как к	2	2
69	не все	2	2
70	что все	2	2
71	к этому	2	2
72	и к	3	2
73	не имеет	9	2
74	должно быть	5	2
75	в ее	4	2
76	его не	2	2
77	в других	4	2
78	том что	3	2
79	в другом	2	2
80	и на	3	2
81	сказать что	4	2
82	и с	17	2
83	чем в	2	2
84	тем что	2	2
85	его в	9	2
86	художественном творчестве	10	2
87	в своей	7	2
88	и этим	6	2
89	и о	5	2
90	ничего не	6	2
91	не могли	2	2
92	хотя и	3	2
93	но в	4	2
94	и потому	4	2
