N	2gram	Medvedev_F_2	PoTuStor
1	может быть	23	17
2	и в	38	16
3	и пр	21	12
4	прежде всего	15	9
5	таким образом	20	9
6	в этом	27	9
7	и только	5	9
8	совершенно не	4	8
9	и его	21	8
10	и с	9	8
11	точки зрения	8	8
12	не может	14	8
13	с его	11	7
14	сказать что	2	7
15	не только	9	7
16	и это	2	6
17	и к	4	6
18	с точки	7	6
19	самом деле	8	6
20	для него	7	6
21	при этом	9	6
22	отношение к	2	5
23	все эти	6	5
24	в чем	2	5
25	ни в	2	5
26	как бы	4	5
27	с самого	2	4
28	самого начала	2	4
29	в нем	13	4
30	и их	3	4
31	отнюдь не	8	4
32	но и	13	4
33	так и	8	4
34	все это	3	4
35	хотя бы	6	4
36	и все	3	4
37	так как	4	4
38	и не	20	4
39	на самом	3	4
40	как мы	7	4
41	и ее	6	4
42	и наконец	4	4
43	и даже	4	4
44	с ними	2	4
45	и на	3	4
46	в этой	6	4
47	и может	3	4
48	только в	6	4
49	его в	3	4
50	но в	4	4
51	в его	10	4
52	и теперь	4	3
53	мы знаем	3	3
54	в этих	2	3
55	что в	7	3
56	жизни и	3	3
57	во всех	5	3
58	и др	3	3
59	могут быть	6	3
60	вместе с	6	3
61	даже не	2	3
62	в большинстве	4	3
63	этом смысле	2	3
64	пр и	4	3
65	большинстве случаев	3	3
66	в том	11	3
67	а в	6	3
68	том что	2	3
69	и как	3	3
70	с другими	10	3
71	то что	6	3
72	их в	2	3
73	в основе	5	3
74	на этом	2	3
75	только на	3	3
76	в общем	5	3
77	едва ли	2	3
78	на язык	2	3
79	как это	2	3
80	в области	3	3
81	во всяком	5	3
82	между ними	2	3
83	всяком случае	5	3
84	ее в	2	2
85	один из	2	2
86	и лишь	2	2
87	не могут	7	2
88	что и	8	2
89	не есть	3	2
90	в развитии	2	2
91	же как	3	2
92	не будет	2	2
93	никогда не	2	2
94	что не	4	2
95	для этого	2	2
96	если мы	5	2
97	находится в	2	2
98	во всей	2	2
99	оно не	4	2
100	из этих	3	2
101	с этим	5	2
102	то же	6	2
103	с нею	2	2
104	по аналогии	2	2
105	что оно	4	2
106	к этому	4	2
107	только и	3	2
108	и других	2	2
109	с помощью	10	2
110	сводится к	5	2
111	что он	5	2
112	мы не	3	2
113	в систему	2	2
114	что на	2	2
115	на первый	2	2
116	и по	2	2
117	и для	5	2
118	все остальные	2	2
119	как и	9	2
120	они не	4	2
121	но это	2	2
122	за счет	4	2
123	совсем не	2	2
124	он не	6	2
125	и этим	2	2
126	говорить о	5	2
127	в пределах	12	2
128	было бы	6	2
129	что это	3	2
130	но ведь	3	2
131	в самом	16	2
132	но как	2	2
133	в своей	7	2
134	и о	2	2
135	к другим	2	2
136	с ним	2	2
