N	2gram	Voloshinov_1	VeschiIm
1	не есть	2	49
2	не может	8	33
3	не только	7	31
4	может быть	17	29
5	и не	4	28
6	и в	16	26
7	то что	3	24
8	и есть	3	23
9	только в	4	14
10	что это	2	12
11	было бы	2	12
12	но и	4	12
13	сказать что	7	12
14	и ее	4	12
15	таким образом	9	11
16	с нею	2	11
17	то же	2	10
18	как бы	5	10
19	что мы	2	10
20	что такое	5	10
21	в том	3	9
22	в самом	2	9
23	и с	8	9
24	ни было	2	9
25	прежде всего	9	9
26	что не	2	9
27	себя и	2	8
28	но это	2	8
29	с ее	4	8
30	и это	6	8
31	совершенно не	8	7
32	что оно	2	7
33	говорить о	2	7
34	его в	4	7
35	так как	4	7
36	том что	3	7
37	есть и	2	7
38	не будет	2	7
39	и их	4	7
40	и пр	12	7
41	с другими	3	7
42	в этом	9	7
43	как с	2	7
44	и как	3	6
45	что в	3	6
46	для него	6	6
47	жизни и	3	6
48	и только	9	6
49	точки зрения	8	6
50	но в	4	6
51	по крайней	3	6
52	крайней мере	3	6
53	если мы	2	6
54	с ним	2	6
55	не менее	2	5
56	вообще не	2	5
57	с этой	2	5
58	еще не	5	5
59	для этого	2	5
60	только и	2	5
61	а в	3	5
62	отнюдь не	4	5
63	того же	2	5
64	другими словами	2	5
65	и для	2	5
66	в чем	5	5
67	оно и	2	4
68	и мы	2	4
69	между собою	2	4
70	только то	2	4
71	и даже	4	4
72	с этим	2	4
73	о том	2	4
74	не существует	2	4
75	и все	4	4
76	как и	2	4
77	во всех	3	4
78	и о	2	4
79	и потому	3	4
80	нет и	2	4
81	оно не	2	4
82	что и	2	4
83	даже не	3	4
84	между ними	3	4
85	с точки	6	4
86	мы не	2	4
87	никогда не	2	3
88	можно сказать	4	3
89	на этом	3	3
90	момент в	2	3
91	в нем	4	3
92	отношение к	5	3
93	все это	4	3
94	отношения к	3	3
95	их в	3	3
96	реальности и	3	3
97	к себе	3	3
98	но как	2	3
99	в одном	3	3
100	в жизни	2	3
101	один из	2	3
102	что он	2	3
103	и притом	3	3
104	мы видим	2	3
105	в своей	2	3
106	вместе с	3	3
107	так и	4	3
108	только на	3	3
109	самом деле	6	3
110	хотя бы	4	3
111	и вообще	2	3
112	в основе	3	3
113	в частности	2	2
114	а потому	4	2
115	что на	2	2
116	но зато	2	2
117	ни в	5	2
118	мы уже	2	2
119	чем не	3	2
120	и вот	3	2
121	так же	2	2
122	но ведь	2	2
123	как это	3	2
124	мы можем	9	2
125	поэтому и	2	2
126	на этой	3	2
127	и может	4	2
128	но оно	3	2
129	он не	2	2
130	и этот	2	2
131	нем нет	2	2
132	мысли и	4	2
133	находится в	2	2
134	как мы	4	2
135	и его	8	2
136	во всяком	3	2
137	и таким	2	2
138	ту же	2	2
139	в науке	2	2
