N	2gram	Savitsky_E_1	Istorich
1	и в	37	26
2	т е	9	18
3	так же	9	18
4	то что	6	16
5	не только	18	15
6	что в	21	14
7	может быть	6	14
8	же как	5	13
9	но и	14	12
10	так и	10	10
11	таким образом	2	10
12	при помощи	2	10
13	что и	3	9
14	и не	14	9
15	так как	7	9
16	то же	15	8
17	а в	2	8
18	в этих	2	7
19	как и	7	7
20	в качестве	14	7
21	нас к	2	7
22	он не	2	7
23	как в	3	7
24	в этом	12	7
25	мы видим	2	6
26	мы видели	3	6
27	когда он	3	6
28	вместе с	2	6
29	не может	9	6
30	а не	2	6
31	к нему	2	6
32	и то	2	6
33	потому что	3	6
34	мы можем	3	6
35	могут быть	2	6
36	к которым	5	5
37	и как	2	5
38	в одном	2	5
39	в силу	2	5
40	но не	5	5
41	и только	3	5
42	в его	2	5
43	в некоторых	2	5
44	как мы	5	5
45	и что	2	5
46	и по	5	5
47	не в	5	5
48	и с	2	5
49	тем что	3	5
50	мы должны	2	5
51	но в	14	5
52	с другой	7	4
53	на себя	3	4
54	вовсе не	6	4
55	вопрос о	4	4
56	приводит нас	2	4
57	в своей	8	4
58	даже в	4	4
59	другой стороны	2	4
60	его на	2	4
61	и даже	6	4
62	в которых	3	4
63	о том	3	4
64	и более	2	3
65	в другой	2	3
66	сравнению с	2	3
67	по сравнению	2	3
68	же в	2	3
69	для нас	4	3
70	в том	11	3
71	том что	6	3
72	и других	2	3
73	она не	2	3
74	и если	2	3
75	как бы	6	3
76	а также	7	3
77	на то	6	3
78	наряду с	2	3
79	данном случае	2	3
80	а именно	2	3
81	не на	4	3
82	случаях когда	2	3
83	как это	4	3
84	между ними	2	3
85	не имеет	4	3
86	или в	2	3
87	в данном	3	3
88	только в	9	3
89	там где	3	3
90	можно считать	3	2
91	не могут	2	2
92	с тем	3	2
93	должна быть	2	2
94	никогда не	3	2
95	в своем	14	2
96	и во	2	2
97	с этим	2	2
98	и все	2	2
99	главным образом	2	2
100	в некотором	4	2
101	по себе	4	2
102	и тем	3	2
103	говорит о	3	2
104	представляет собой	3	2
105	есть в	2	2
106	в истории	2	2
107	от них	3	2
108	не дает	3	2
109	было бы	8	2
110	если бы	2	2
111	между прочим	7	2
112	в частности	5	2
113	к ним	3	2
114	хотя и	2	2
115	что на	2	2
116	по своей	2	2
117	хотя бы	15	2
118	не есть	2	2
119	в северной	2	2
120	не к	2	2
121	из них	3	2
122	что это	2	2
123	происходит в	2	2
124	в других	2	2
125	этот вопрос	2	2
126	того что	7	2
127	на этот	2	2
128	и на	6	2
129	с этой	6	2
130	сказать что	4	2
131	в виде	5	2
132	в себе	9	2
133	во все	3	2
134	этот факт	3	2
135	в этой	2	2
136	в области	11	2
