N	2gram	Bakhtin_Fr_1	KulturaY
1	и в	65	23
2	точки зрения	7	23
3	в том	16	22
4	не только	10	17
5	в этом	15	16
6	с точки	3	16
7	в области	7	14
8	может быть	6	14
9	самом деле	3	14
10	что в	3	13
11	в самом	4	13
12	потому что	5	12
13	том что	6	11
14	того что	2	11
15	в его	9	11
16	и не	22	10
17	можно говорить	3	10
18	прежде всего	11	9
19	еще не	6	9
20	так как	6	9
21	до сих	4	8
22	между прочим	2	8
23	сих пор	4	8
24	уже не	3	8
25	в виду	3	8
26	с другой	3	7
27	или иной	5	7
28	на фоне	3	7
29	сказать что	6	7
30	все эти	10	7
31	что он	3	6
32	при этом	6	6
33	так и	10	6
34	в их	4	6
35	не может	3	6
36	в общем	4	6
37	могут быть	2	6
38	связи с	4	6
39	только в	7	6
40	о том	2	6
41	ничего не	3	6
42	не могут	3	5
43	вовсе не	18	5
44	как и	5	5
45	не в	4	5
46	совершенно не	4	5
47	хотя и	2	5
48	как бы	22	5
49	все же	6	5
50	от того	2	5
51	как мы	6	5
52	но это	3	5
53	той или	5	5
54	из этих	2	5
55	далеко не	3	5
56	в чем	2	5
57	для нас	4	4
58	в целом	2	4
59	одной стороны	2	4
60	в сущности	16	4
61	в своей	5	4
62	в ее	3	4
63	то что	3	4
64	как в	5	4
65	как раз	3	4
66	в своем	8	4
67	с одной	2	4
68	в той	5	4
69	что не	2	4
70	в таком	2	4
71	между тем	5	4
72	но на	3	3
73	это уже	4	3
74	это не	3	3
75	формы и	7	3
76	на самом	6	3
77	xix века	5	3
78	к тому	2	3
79	и к	4	3
80	в отношении	6	3
81	но как	3	3
82	но не	2	3
83	но для	3	3
84	он не	2	3
85	отношение к	4	3
86	и именно	2	3
87	время в	2	3
88	в процессе	2	3
89	но и	10	3
90	на него	2	3
91	пор еще	3	3
92	и вот	2	3
93	в ней	6	3
94	и пр	5	3
95	в ряду	3	3
96	и с	3	3
97	этот вопрос	2	3
98	не понимает	4	3
99	отметить что	2	3
100	так сказать	4	2
101	том числе	10	2
102	все это	9	2
103	но все	3	2
104	в частности	5	2
105	этих форм	5	2
106	раз и	2	2
107	в одном	5	2
108	это в	4	2
109	в условиях	13	2
110	совершенно иной	2	2
111	главным образом	6	2
112	в тех	3	2
113	можно сказать	2	2
114	и здесь	3	2
115	в дальнейшем	8	2
116	по своему	8	2
117	свое время	2	2
118	кроме того	2	2
119	с традициями	2	2
120	в большей	5	2
121	за пределы	8	2
122	в свое	2	2
123	в таких	2	2
124	его в	7	2
125	в некоторых	2	2
126	подчеркнуть что	2	2
127	мысли и	4	2
128	в свете	2	2
129	и без	2	2
130	и самый	2	2
131	в отличие	4	2
132	в особенности	2	2
133	еще более	5	2
134	не просто	3	2
135	мы найдем	2	2
136	на этот	2	2
137	не знает	6	2
138	которое в	2	2
139	ни на	2	2
140	еще раз	2	2
141	на протяжении	5	2
142	что мы	2	2
143	еще и	5	2
144	в этих	2	2
145	отличие от	5	2
146	но в	14	2
