N	2gram	Medvedev_V_1	Narrotol
1	не только	25	32
2	может быть	22	25
3	но и	10	23
4	в качестве	11	21
5	и не	19	20
6	и в	26	19
7	в том	15	18
8	в этом	26	17
9	в частности	11	14
10	том что	8	14
11	не в	6	14
12	а не	7	12
13	то что	6	11
14	а в	3	11
15	не может	17	10
16	точки зрения	3	10
17	так и	5	9
18	в его	14	9
19	с другой	11	8
20	не является	5	8
21	в себе	6	8
22	как и	7	7
23	еще не	2	7
24	к тому	4	7
25	все же	5	7
26	по отношению	7	7
27	с одной	2	7
28	одной стороны	2	7
29	том числе	2	6
30	с его	3	6
31	что он	4	6
32	отношению к	7	6
33	но не	2	6
34	именно в	2	6
35	как это	12	6
36	о том	10	6
37	но в	2	6
38	и как	3	5
39	отнюдь не	3	5
40	по себе	2	5
41	или иной	2	5
42	можно сказать	4	5
43	в форме	3	5
44	и его	6	5
45	в этой	4	5
46	далеко не	2	5
47	перед нами	4	4
48	прежде всего	13	4
49	в нем	6	4
50	у него	6	4
51	что не	3	4
52	то же	10	4
53	же в	6	4
54	в силу	11	4
55	при всей	2	4
56	же время	5	4
57	было бы	7	4
58	связи с	4	4
59	вслед за	2	4
60	как бы	5	4
61	хотя бы	19	4
62	другой стороны	8	4
63	отличается от	2	4
64	в особенности	2	4
65	из которых	2	4
66	числе и	2	4
67	не столько	2	4
68	сказать что	5	4
69	только в	7	4
70	пока еще	2	4
71	не менее	2	3
72	же как	2	3
73	что в	10	3
74	могут быть	5	3
75	никогда не	4	3
76	из этих	7	3
77	это и	6	3
78	различного рода	3	3
79	может не	2	3
80	что они	3	3
81	одна из	4	3
82	хотя и	2	3
83	в ней	2	3
84	он не	2	3
85	и даже	2	3
86	если в	2	3
87	один из	5	3
88	как говорит	5	3
89	из них	9	3
90	жизни и	3	3
91	когда он	3	3
92	в ее	4	3
93	даже не	2	3
94	этом отношении	13	3
95	который по	2	3
96	сводится к	3	3
97	и он	2	3
98	будто бы	2	3
99	между тем	5	3
100	не о	2	3
101	в конечном	7	3
102	в то	6	3
103	бы не	2	2
104	он сам	2	2
105	зависит от	2	2
106	говорит и	8	2
107	конечном счете	5	2
108	в своем	8	2
109	что у	2	2
110	в противоположность	3	2
111	утверждать что	4	2
112	говорит о	7	2
113	по существу	3	2
114	только о	2	2
115	более или	6	2
116	между ними	3	2
117	всех его	2	2
118	в значительной	3	2
119	как известно	2	2
120	для него	8	2
121	в пределах	5	2
122	она не	3	2
123	было в	2	2
124	и процессов	2	2
125	например в	3	2
126	вплоть до	2	2
127	и потому	2	2
128	из многочисленных	2	2
129	и др	9	2
130	даже в	5	2
131	нет и	3	2
132	лица и	2	2
133	или менее	6	2
134	приводит к	5	2
135	во всей	2	2
136	так же	3	2
137	как раз	3	2
138	в связи	3	2
139	не было	7	2
140	все эти	6	2
141	человека в	2	2
142	этой точки	2	2
143	они не	2	2
144	что мы	2	2
145	того или	2	2
146	одним из	5	2
147	и для	2	2
148	при всем	3	2
149	это не	7	2
150	роль в	4	2
151	или в	3	2
152	можно было	2	2
153	тому как	2	2
154	в результате	5	2
155	подобно тому	2	2
156	и ее	4	2
157	но как	3	2
158	говорить о	2	2
159	его в	3	2
160	всего лишь	3	2
161	мира и	3	2
162	мы имеем	3	2
163	о чем	2	2
164	что нет	2	2
