N	2gram	Bakhtin_Fr_2	Otkroven
1	о человеке	2	29
2	у него	2	22
3	и в	49	19
4	но и	13	13
5	и не	15	13
6	в этом	15	12
7	может быть	5	11
8	не только	17	11
9	человека и	3	10
10	и все	3	10
11	в нем	9	10
12	никогда не	5	9
13	не было	4	9
14	в самой	2	9
15	прежде всего	19	9
16	он был	2	8
17	лишь в	4	7
18	но он	6	7
19	до конца	2	7
20	в его	18	7
21	все это	9	6
22	как и	11	6
23	то что	6	5
24	а в	4	5
25	отношение к	8	5
26	в том	3	5
27	для него	9	5
28	в этой	10	5
29	в самом	3	5
30	в творчестве	6	5
31	с его	5	4
32	на земле	3	4
33	того чтобы	2	4
34	и его	17	4
35	все эти	7	4
36	не может	7	4
37	что в	2	4
38	к нему	3	3
39	в этих	4	3
40	и вот	3	3
41	что он	3	3
42	в своих	4	3
43	еще не	2	3
44	могут быть	2	3
45	все что	2	3
46	в себе	4	3
47	было бы	3	3
48	никто не	2	3
49	о том	3	3
50	с ним	4	3
51	как бы	11	3
52	уже в	5	2
53	все же	7	2
54	ее в	2	2
55	в истории	6	2
56	так и	6	2
57	жизни в	3	2
58	в своем	5	2
59	как к	2	2
60	был еще	3	2
61	и к	4	2
62	в ее	3	2
63	что для	3	2
64	том что	4	2
65	в другом	2	2
66	и на	17	2
67	что они	2	2
68	сказать что	6	2
69	и с	6	2
70	учение о	2	2
71	тем что	4	2
72	даже и	2	2
73	должен был	2	2
74	в своей	5	2
75	так как	6	2
76	и о	4	2
77	ничего не	2	2
78	хотя и	2	2
79	к ней	2	2
80	но в	4	2
81	и потому	5	2
