N	2gram	Vinokur_St_2	Tvorches
1	и в	29	20
2	в году	3	16
3	в романе	4	15
4	не только	19	13
5	и т	9	13
6	никогда не	3	11
7	т д	6	11
8	как бы	5	11
9	в его	13	10
10	таким образом	10	10
11	в то	2	10
12	и его	6	9
13	и не	9	9
14	прежде всего	5	8
15	в том	27	8
16	при этом	2	8
17	но и	19	8
18	может быть	2	8
19	в этом	21	8
20	и с	4	8
21	года в	3	7
22	что в	19	7
23	не может	2	7
24	то же	2	7
25	потому что	9	7
26	xix века	3	7
27	в конце	2	6
28	что он	13	6
29	как и	2	6
30	в своей	7	6
31	так и	9	6
32	все это	11	6
33	именно в	4	6
34	а не	5	6
35	но это	3	5
36	но не	3	5
37	и сам	2	5
38	например в	3	5
39	все же	6	5
40	и даже	3	5
41	так же	3	5
42	и на	6	5
43	в этой	2	5
44	о том	17	5
45	об этом	6	4
46	что у	4	4
47	в духе	2	4
48	том что	27	4
49	что они	2	4
50	на его	2	4
51	первой части	2	4
52	хотя и	4	4
53	как в	3	4
54	если не	2	4
55	все эти	2	4
56	не в	4	4
57	и потому	2	4
58	ничего не	4	4
59	если бы	2	4
60	но в	8	4
61	это был	2	3
62	а с	3	3
63	же как	3	3
64	с этой	2	3
65	в одной	2	3
66	в образе	3	3
67	к этому	4	3
68	в пользу	3	3
69	а затем	2	3
70	письма к	2	3
71	так например	7	3
72	для него	4	3
73	одной из	3	3
74	своего рода	5	3
75	в самом	7	3
76	он не	9	3
77	в котором	7	3
78	и др	2	3
79	не является	3	3
80	в нем	4	3
81	то что	11	3
82	и это	2	3
83	вместе с	7	3
84	сих пор	5	3
85	в их	3	3
86	тогда как	2	3
87	так как	2	3
88	одним из	6	3
89	этот вопрос	2	3
90	тем что	3	3
91	в себе	2	3
92	в начале	3	3
93	как у	3	3
94	у пушкина	12	3
95	его в	2	3
96	в письмах	2	3
97	между тем	5	3
98	до сих	6	3
99	действующих лиц	4	2
100	в роман	2	2
101	не менее	3	2
102	по словам	4	2
103	давно уже	3	2
104	с другой	4	2
105	где нет	2	2
106	в одном	6	2
107	трагедии в	4	2
108	я не	7	2
109	вовсе не	6	2
110	во всяком	3	2
111	что на	3	2
112	трагедии у	2	2
113	в ее	2	2
114	тому же	3	2
115	у нас	3	2
116	так что	3	2
117	что я	2	2
118	как известно	2	2
119	xviii века	2	2
120	в статье	2	2
121	в частности	4	2
122	том же	2	2
123	в которую	2	2
124	всяком случае	3	2
125	нет и	2	2
126	не могли	2	2
127	в процессе	2	2
128	в истории	2	2
129	в отличие	2	2
130	т п	3	2
131	уже после	2	2
132	не было	3	2
133	характеров и	2	2
134	самом деле	3	2
135	и что	6	2
136	связь с	2	2
137	на этот	2	2
138	другой стороны	3	2
139	и он	3	2
140	и по	3	2
141	во многом	2	2
142	особенно в	2	2
143	из этой	2	2
144	не столько	7	2
145	что этот	2	2
146	из них	3	2
147	он писал	3	2
148	в которой	11	2
149	и вообще	2	2
150	только в	2	2
151	в русской	5	2
152	при помощи	4	2
153	в классической	2	2
154	в россии	3	2
155	только с	2	2
156	в устах	2	2
157	отличие от	2	2
158	одном из	3	2
