N	2gram	Tiupa_Anal_2	Dialekti
1	не есть	2	40
2	и не	12	30
3	по себе	2	25
4	т е	2	25
5	и в	16	18
6	ничего не	9	17
7	может быть	6	17
8	точки зрения	4	17
9	так что	3	15
10	не имеет	2	15
11	а не	10	14
12	что в	2	13
13	то что	7	13
14	не только	16	13
15	и даже	9	13
16	если бы	3	12
17	было бы	3	12
18	с точки	2	12
19	в этом	18	12
20	не может	4	12
21	как бы	10	11
22	все это	4	11
23	в себе	7	11
24	прежде всего	3	10
25	несмотря на	3	10
26	то же	4	10
27	сказать что	2	10
28	никогда не	3	9
29	отнюдь не	8	9
30	в том	12	9
31	так и	15	9
32	том что	12	9
33	и то	3	9
34	стало быть	2	9
35	вовсе не	2	7
36	но и	12	7
37	что она	2	7
38	той или	3	7
39	с другой	6	6
40	можно сказать	4	6
41	она не	2	6
42	никак не	2	6
43	ни с	2	6
44	не в	4	6
45	в то	2	6
46	с ним	2	6
47	но в	6	6
48	в этих	2	5
49	в своем	4	5
50	в противоположность	2	5
51	на то	2	5
52	говорит о	5	5
53	ни о	3	5
54	себе не	2	5
55	не с	4	5
56	и он	2	5
57	а в	3	5
58	можно было	3	5
59	говорить о	6	5
60	по крайней	3	4
61	в конце	4	4
62	к тому	7	4
63	крайней мере	3	4
64	но не	4	4
65	же время	2	4
66	миф и	2	4
67	хотя и	4	4
68	не о	2	4
69	в котором	2	4
70	так же	2	4
71	другой стороны	2	4
72	как раз	4	4
73	собственно говоря	2	4
74	как мы	3	4
75	о том	7	4
76	как это	6	4
77	содержит в	3	3
78	этом смысле	2	3
79	в одну	2	3
80	или иной	3	3
81	но эта	2	3
82	что и	3	3
83	уже и	2	3
84	на себе	3	3
85	он не	2	3
86	в его	2	3
87	даже в	2	3
88	один из	2	3
89	отношения к	2	3
90	в их	3	3
91	только на	3	3
92	в самом	6	3
93	еще более	2	3
94	тех или	2	3
95	была бы	2	3
96	в данном	8	3
97	могут быть	10	3
98	только в	4	3
99	и все	3	3
100	бы в	3	3
101	в сознании	4	3
102	на этом	4	2
103	не менее	4	2
104	не был	3	2
105	того что	2	2
106	именно в	3	2
107	в частности	16	2
108	не знает	3	2
109	в качестве	11	2
110	я всегда	2	2
111	как в	4	2
112	грань между	2	2
113	к этому	2	2
114	тот кто	2	2
115	в мире	6	2
116	как и	14	2
117	с той	2	2
118	том или	2	2
119	как о	3	2
120	тому же	4	2
121	здесь в	2	2
122	для него	4	2
123	еще не	2	2
124	одной стороны	4	2
125	о чем	2	2
126	сторону и	2	2
127	вслед за	2	2
128	и является	4	2
129	для нее	2	2
130	из них	3	2
131	в своей	2	2
132	и их	2	2
133	дело не	2	2
134	со стороны	3	2
135	этом отношении	3	2
136	с одной	5	2
137	мы имеем	3	2
138	уже не	4	2
139	объекта и	2	2
140	и для	2	2
141	с ними	3	2
142	что касается	3	2
143	он и	2	2
144	я в	3	2
145	это было	2	2
