N	2gram	Losev_Prob_4	PoTuStor
1	может быть	9	17
2	и в	20	16
3	прежде всего	11	9
4	таким образом	8	9
5	в этом	9	9
6	мы можем	3	9
7	и только	4	9
8	совершенно не	3	8
9	и его	10	8
10	и с	7	8
11	точки зрения	14	8
12	не может	5	8
13	с его	2	7
14	сказать что	7	7
15	не только	24	7
16	и это	2	6
17	и к	3	6
18	с точки	11	6
19	самом деле	3	6
20	для него	3	6
21	при этом	6	6
22	конечно не	3	6
23	только для	3	5
24	все эти	16	5
25	в чем	2	5
26	ни в	17	5
27	еще не	7	5
28	как бы	4	5
29	в нем	5	4
30	отнюдь не	10	4
31	но и	14	4
32	так и	10	4
33	все это	9	4
34	хотя бы	7	4
35	и все	8	4
36	так как	5	4
37	и не	28	4
38	на самом	5	4
39	как мы	3	4
40	и ее	4	4
41	можно сказать	5	4
42	и наконец	4	4
43	и даже	9	4
44	с ними	2	4
45	и на	3	4
46	в этой	4	4
47	с ее	2	4
48	и может	2	4
49	только в	23	4
50	его в	2	4
51	для всех	3	4
52	но в	8	4
53	в его	3	4
54	на этой	2	3
55	в этих	5	3
56	что в	3	3
57	жизни и	5	3
58	и есть	4	3
59	во всех	4	3
60	вместе с	5	3
61	в одном	4	3
62	этом смысле	3	3
63	учение о	3	3
64	и притом	2	3
65	крайней мере	6	3
66	в том	20	3
67	а в	4	3
68	том что	12	3
69	и как	3	3
70	с другими	3	3
71	то что	15	3
72	по крайней	6	3
73	только на	2	3
74	едва ли	10	3
75	как это	3	3
76	в области	3	3
77	во всяком	8	3
78	и потому	7	3
79	всяком случае	4	3
80	не существует	5	2
81	и этот	3	2
82	не менее	10	2
83	нет и	2	2
84	что и	3	2
85	не есть	12	2
86	ни было	2	2
87	не будет	2	2
88	сознания и	3	2
89	другими словами	3	2
90	в частности	2	2
91	что не	4	2
92	а может	2	2
93	между собой	2	2
94	для этого	2	2
95	в них	5	2
96	если мы	5	2
97	того же	2	2
98	вообще не	3	2
99	с этим	4	2
100	в жизни	3	2
101	то же	7	2
102	только и	5	2
103	что он	8	2
104	мы не	7	2
105	в одно	6	2
106	что мы	3	2
107	и по	2	2
108	и для	4	2
109	нам кажется	2	2
110	для нас	6	2
111	меньше всего	3	2
112	как и	6	2
113	понятия и	3	2
114	так же	5	2
115	но это	6	2
116	и всех	2	2
117	есть в	7	2
118	по своему	6	2
119	он не	2	2
120	между собою	2	2
121	в каком	6	2
122	всех других	2	2
123	говорить о	2	2
124	в начале	3	2
125	в пределах	2	2
126	и вообще	6	2
127	об его	2	2
128	было бы	14	2
129	со всеми	2	2
130	что это	2	2
131	кажется что	2	2
132	о том	5	2
133	в самом	2	2
134	но как	3	2
135	за пределы	2	2
136	в своей	4	2
137	и о	5	2
138	с ним	4	2
139	можно назвать	2	2
