N	2gram	Kanaev_Sov_1	Istorich
1	и в	7	25
2	вместе с	4	22
3	может быть	12	17
4	не только	4	13
5	в его	2	12
6	и не	6	11
7	уже не	2	11
8	так как	4	11
9	все же	3	10
10	в этом	7	10
11	таким образом	11	9
12	в виде	2	9
13	что в	2	8
14	мы знаем	2	8
15	мы видим	2	8
16	еще не	3	8
17	все эти	5	8
18	и что	2	8
19	мы видели	4	7
20	как и	6	7
21	в нем	3	7
22	с одной	2	7
23	знаем что	2	6
24	это не	4	6
25	прежде всего	5	6
26	не может	17	6
27	не в	3	6
28	могут быть	2	6
29	в том	4	6
30	что это	2	5
31	ясно что	3	5
32	с этим	2	5
33	как мы	2	5
34	для нас	3	5
35	но все	2	5
36	не будем	2	5
37	мы не	9	5
38	не менее	2	4
39	что все	2	4
40	тем не	2	4
41	в дальнейшем	4	4
42	на этой	3	4
43	в некоторых	2	4
44	все это	3	4
45	то же	3	4
46	мы должны	4	4
47	в которой	2	4
48	и все	3	3
49	состоит из	3	3
50	в целом	4	3
51	в свою	2	3
52	в этой	3	3
53	и пр	2	3
54	только один	2	3
55	но мы	3	3
56	не знаем	2	3
57	что при	2	3
58	на этом	2	3
59	а в	4	3
60	их в	4	3
61	этой стадии	2	3
62	или же	2	3
63	уже в	3	2
64	видели что	3	2
65	у него	2	2
66	он может	3	2
67	вопрос о	4	2
68	такой же	2	2
69	одна из	3	2
70	а на	2	2
71	жизни и	4	2
72	и мы	3	2
73	друг с	2	2
74	из которых	2	2
75	некоторое время	2	2
76	как бы	4	2
77	и потому	3	2
78	из двух	3	2
79	совершенно не	2	2
80	и они	2	2
81	самом деле	2	2
82	а не	3	2
83	и по	2	2
84	роль в	2	2
85	точки зрения	12	2
86	которой он	2	2
87	из них	4	2
88	с другом	2	2
89	в которую	2	2
90	ничего не	6	2
91	мы можем	6	2
