N	2gram	Vinokur_Ku_3	Tvorches
1	и в	23	21
2	как бы	5	17
3	в то	3	15
4	в его	11	13
5	то же	6	13
6	что в	13	12
7	как и	5	12
8	том что	11	11
9	все это	2	10
10	как в	4	8
11	он не	3	8
12	то что	4	8
13	в том	22	7
14	тем самым	4	7
15	при этом	6	7
16	не только	17	7
17	и не	10	7
18	но в	2	7
19	что он	6	6
20	не менее	12	6
21	в котором	2	6
22	а в	5	6
23	в этом	16	6
24	xix века	3	6
25	о том	6	6
26	это уже	3	5
27	отнюдь не	3	5
28	вовсе не	5	5
29	а не	11	5
30	но это	5	5
31	может быть	14	5
32	все же	5	5
33	таким образом	9	5
34	хотя бы	9	5
35	потому что	12	5
36	только в	6	5
37	в своем	4	4
38	прежде всего	9	4
39	и как	2	4
40	в целом	4	4
41	один из	4	4
42	своего рода	2	4
43	в своей	4	4
44	мысли и	2	4
45	не может	6	4
46	это не	3	4
47	не случайно	4	4
48	уже в	3	3
49	с другой	7	3
50	что все	2	3
51	я не	5	3
52	это в	2	3
53	это и	3	3
54	в дальнейшем	2	3
55	но не	3	3
56	в самом	13	3
57	той же	3	3
58	но если	3	3
59	и т	54	3
60	время в	3	3
61	не по	3	3
62	но и	3	3
63	дело не	2	3
64	в их	6	3
65	уже не	8	3
66	на самом	3	3
67	того что	11	3
68	не так	3	3
69	так же	2	3
70	и с	3	3
71	хотя и	5	3
72	в россии	2	3
73	на протяжении	2	3
74	далеко не	5	3
75	так как	9	3
76	подхода к	2	3
77	я и	3	3
78	ни на	2	3
79	такой же	2	2
80	а что	2	2
81	в частности	2	2
82	однако в	2	2
83	в этих	2	2
84	на том	2	2
85	в качестве	2	2
86	эти слова	2	2
87	не столько	4	2
88	есть не	3	2
89	можно сказать	2	2
90	что и	6	2
91	не в	5	2
92	то в	3	2
93	отношений между	2	2
94	иными словами	8	2
95	того же	4	2
96	в нашей	4	2
97	тот же	6	2
98	к тому	3	2
99	по преимуществу	3	2
100	в ней	3	2
101	был бы	3	2
102	и тем	6	2
103	тем не	9	2
104	когда он	2	2
105	вместе с	2	2
106	данном случае	4	2
107	так и	6	2
108	в отличие	2	2
109	как к	2	2
110	и того	2	2
111	именно в	3	2
112	еще более	2	2
113	в двух	2	2
114	мы находим	3	2
115	что она	5	2
116	не означает	2	2
117	самом деле	14	2
118	что не	4	2
119	только что	2	2
120	что как	3	2
121	отличие от	2	2
122	сказать что	7	2
123	в первом	5	2
124	могут быть	6	2
125	в данном	7	2
126	т п	41	2
127	не знает	2	2
128	так сказать	2	2
129	в чем	5	2
130	не то	2	2
131	в виду	8	2
