N	3gram	Bakhtin_sl_2	formyVre
1	то же время	4	9
2	как мы уже	2	8
3	и т п	33	8
4	человека и его	2	7
5	в то же	4	6
6	на античной почве	4	6
7	в связи с	2	5
8	для того чтобы	2	5
9	в этом отношении	3	3
10	до сих пор	2	3
11	по отношению к	4	3
12	не может быть	15	3
13	в их целом	2	2
14	той или иной	5	2
15	а также и	2	2
16	ни в чем	2	2
17	в нем в	3	2
18	с точки зрения	3	2
19	с одной стороны	5	2
20	одной стороны и	3	2
21	прямо сказать что	2	2
22	и в особенности	2	2
23	не только в	2	2
24	в отличие от	12	2
25	в точном смысле	2	2
26	можно прямо сказать	3	2
27	в чем не	2	2
28	в романе не	2	2
29	может быть и	2	2
30	в мировой литературе	2	2
31	и в сущности	2	2
32	в том что	4	2
33	но все же	4	2
