N	2gram	Vygotskiy__4	Poddanst
1	не только	7	17
2	и в	33	14
3	и не	13	12
4	в этом	28	10
5	то же	9	9
6	в том	21	9
7	но в	2	9
8	хотя бы	2	8
9	в пределах	3	8
10	же время	2	7
11	в то	3	7
12	только в	4	7
13	но и	3	6
14	в ней	6	6
15	было бы	12	6
16	с другой	2	5
17	не в	2	5
18	в которых	3	5
19	и о	4	5
20	может быть	22	5
21	в котором	2	4
22	то что	44	4
23	что в	21	4
24	если бы	10	4
25	в своем	7	4
26	не может	10	4
27	по себе	9	4
28	и к	2	4
29	а в	4	4
30	том что	22	4
31	на пути	2	4
32	мы должны	6	4
33	и если	9	4
34	в русской	2	4
35	как бы	25	4
36	и потому	2	4
37	в порядке	4	3
38	сами по	3	3
39	в нем	7	3
40	и т	6	3
41	с тем	4	3
42	она есть	2	3
43	столь же	2	3
44	это не	6	3
45	с одной	3	3
46	прежде всего	2	3
47	заключается в	5	3
48	тем самым	3	3
49	для того	23	3
50	с точки	4	3
51	сводится к	2	3
52	мы не	5	3
53	и как	5	3
54	но не	3	3
55	точки зрения	6	3
56	в себе	6	3
57	что мы	6	3
58	тот же	3	3
59	одной стороны	3	3
60	вслед за	3	3
61	потому что	24	3
62	в мире	3	2
63	именно в	2	2
64	и есть	4	2
65	во всех	2	2
66	в частности	4	2
67	со стороны	2	2
68	в них	2	2
69	все это	13	2
70	во всей	3	2
71	как раз	9	2
72	с этим	5	2
73	в жизни	4	2
74	именно как	2	2
75	думать что	2	2
76	и других	4	2
77	и вот	6	2
78	а не	6	2
79	того что	4	2
80	должно быть	3	2
81	для нас	7	2
82	в ее	2	2
83	как на	6	2
84	говорить о	3	2
85	одна из	4	2
86	в виде	3	2
87	не было	3	2
88	из них	4	2
89	и мы	15	2
90	например в	3	2
91	и это	5	2
92	никак не	6	2
93	да и	3	2
94	в его	10	2
95	и с	2	2
