N	2gram	Tiupa_Anal_2	Tvorches
1	и в	16	21
2	как бы	10	17
3	в то	2	15
4	в его	2	13
5	то же	4	13
6	времени в	4	13
7	что в	2	12
8	как и	14	12
9	же время	2	12
10	то есть	9	12
11	том что	12	11
12	все это	4	10
13	как в	4	8
14	он не	2	8
15	то что	7	8
16	у него	4	7
17	в том	12	7
18	тем самым	4	7
19	при этом	10	7
20	не только	16	7
21	и не	12	7
22	и на	6	7
23	но в	6	7
24	и все	3	6
25	не менее	4	6
26	для него	4	6
27	в котором	2	6
28	по природе	2	6
29	а в	3	6
30	и его	4	6
31	в этом	18	6
32	о том	7	6
33	отнюдь не	8	5
34	вовсе не	2	5
35	а не	10	5
36	может быть	6	5
37	в этой	9	5
38	таким образом	2	5
39	как будто	3	5
40	только в	4	5
41	в своем	4	4
42	прежде всего	3	4
43	в мире	6	4
44	в целом	8	4
45	конечном счете	2	4
46	одной из	3	4
47	в конечном	3	4
48	один из	2	4
49	своего рода	12	4
50	в своей	2	4
51	не может	4	4
52	не случайно	8	4
53	место в	3	3
54	никогда не	3	3
55	с другой	6	3
56	что все	2	3
57	с ним	2	3
58	не был	3	3
59	говорит о	5	3
60	с ее	2	3
61	в соответствии	2	3
62	соответствии с	2	3
63	но не	4	3
64	на его	3	3
65	в самом	6	3
66	той же	2	3
67	даже в	2	3
68	но и	12	3
69	дело не	2	3
70	в их	3	3
71	во времени	2	3
72	уже не	4	3
73	того что	2	3
74	и даже	9	3
75	не так	4	3
76	так же	2	3
77	воли и	3	3
78	хотя и	4	3
79	на протяжении	2	3
80	о свободе	2	3
81	представляет собой	8	3
82	времени как	2	3
83	я и	3	3
84	а как	2	2
85	личности и	2	2
86	своего собственного	2	2
87	в частности	16	2
88	в этих	2	2
89	в качестве	11	2
90	не столько	3	2
91	по крайней	3	2
92	одного из	3	2
93	к этому	2	2
94	можно сказать	4	2
95	что и	3	2
96	свободе воли	2	2
97	крайней мере	3	2
98	его как	2	2
99	а затем	2	2
100	так что	3	2
101	не в	4	2
102	того же	4	2
103	из них	3	2
104	в первой	3	2
105	к тому	7	2
106	только на	3	2
107	по преимуществу	4	2
108	себе не	2	2
109	и тем	4	2
110	тем не	3	2
111	еще в	2	2
112	во второй	4	2
113	вместе с	2	2
114	собой в	2	2
115	данном случае	5	2
116	так и	15	2
117	приводит к	3	2
118	вслед за	2	2
119	в отличие	2	2
120	именно в	3	2
121	еще более	2	2
122	в двух	2	2
123	в себя	4	2
124	что она	2	2
125	не мог	3	2
126	и он	2	2
127	на смену	3	2
128	отличие от	2	2
129	или в	3	2
130	свидетельствует о	2	2
131	сказать что	2	2
132	могут быть	10	2
133	в данном	8	2
134	в себе	7	2
135	не знает	3	2
136	в один	4	2
