N	2gram	Tiupa_Hudo_2	Tragedij
1	и в	28	18
2	в этом	13	9
3	не только	11	8
4	он сам	2	7
5	и не	18	7
6	и на	3	7
7	и с	6	7
8	может быть	8	7
9	как бы	5	7
10	что он	8	6
11	и его	5	6
12	же время	4	6
13	у него	5	6
14	но в	2	6
15	все же	2	5
16	что это	5	5
17	так и	8	5
18	это не	6	5
19	не может	4	5
20	то же	6	5
21	как и	11	5
22	в то	6	5
23	несмотря на	3	5
24	но и	9	4
25	то что	6	4
26	что в	5	4
27	все это	3	4
28	я не	7	4
29	прежде всего	3	4
30	и все	7	4
31	в нем	3	4
32	так же	3	4
33	том что	19	4
34	в этой	5	4
35	что я	2	4
36	в себе	9	4
37	еще не	3	4
38	об этом	7	4
39	один из	2	3
40	с ее	5	3
41	о чем	8	3
42	отнюдь не	2	3
43	в своем	5	3
44	к людям	2	3
45	как в	5	3
46	тем самым	2	3
47	и он	3	3
48	к нему	3	3
49	в его	11	3
50	для него	5	3
51	при этом	11	3
52	и сам	5	3
53	своего рода	16	3
54	как будто	4	3
55	в мире	7	3
56	как это	7	3
57	с ним	7	3
58	это был	2	2
59	перед нами	11	2
60	что и	4	2
61	в душе	8	2
62	как же	2	2
63	ее жизни	2	2
64	в частности	7	2
65	данном случае	2	2
66	который в	2	2
67	то и	4	2
68	но при	3	2
69	что все	3	2
70	а как	2	2
71	уже не	10	2
72	бы и	4	2
73	с его	5	2
74	вместе со	2	2
75	отношение к	2	2
76	к тому	7	2
77	столь же	3	2
78	о его	2	2
79	в ее	18	2
80	в том	15	2
81	говорит о	4	2
82	не в	13	2
83	в глазах	6	2
84	в данном	2	2
85	и то	2	2
86	в рассказе	21	2
87	не случайно	10	2
88	одна из	2	2
89	любви и	3	2
90	потому что	2	2
91	в первом	2	2
92	тем что	6	2
93	личности и	2	2
94	в виде	2	2
95	и ее	3	2
96	как у	2	2
97	по поводу	3	2
98	в это	3	2
99	о том	12	2
100	его в	2	2
101	в ресторане	2	2
102	и это	3	2
103	в самом	5	2
104	во сне	3	2
105	это уже	2	2
106	ничего не	5	2
107	что говорит	2	2
108	он не	4	2
109	в одном	3	2
110	что она	7	2
111	никогда не	5	2
