N	2gram	Medvedev_S_1	Psycholo
1	в том	5	37
2	и в	3	32
3	и что	2	22
4	том что	2	21
5	то что	2	21
6	таким образом	2	21
7	что в	2	20
8	может быть	2	18
9	то же	2	13
10	в этом	5	13
11	не только	3	12
12	было бы	2	11
13	но и	2	10
14	не в	3	8
15	как будто	2	7
16	только в	2	7
17	и мы	2	6
18	как бы	2	6
19	далеко не	2	5
20	все это	7	5
21	главным образом	2	3
22	в частности	2	3
23	в конце	2	3
24	по существу	2	3
25	и заключается	2	3
26	только как	2	3
27	конце концов	2	3
28	в смысле	2	3
29	как только	2	2
30	тем более	2	2
31	еще не	2	2
32	очевидно что	2	2
33	в его	3	2
34	для нас	3	2
35	и только	3	2
36	к которому	2	2
