N	3gram	Losev_Prob_3	Dialekti
1	и т д	13	15
2	по крайней мере	5	9
3	с точки зрения	2	8
4	это значит что	2	8
5	сама по себе	8	7
6	не есть ни	3	6
7	в том что	9	6
8	в том смысле	3	4
9	то или иное	2	4
10	о том что	3	4
11	только то что	2	4
12	одно и то	3	4
13	и то же	4	4
14	с другой стороны	5	4
15	в связи с	7	4
16	не значит что	2	3
17	как будто бы	3	3
18	в то время	4	3
19	сам по себе	6	3
20	той или другой	4	3
21	в таком случае	4	3
22	ни в каком	4	3
23	может быть и	3	3
24	в то же	4	3
25	вовсе не в	2	3
26	что иное как	4	3
27	сами по себе	6	3
28	можно сказать что	2	3
29	не что иное	4	3
30	содержит в себе	3	3
31	не может быть	5	3
32	то время как	4	3
33	том смысле что	3	3
34	имеется в виду	4	2
35	и в частности	2	2
36	вовсе не есть	8	2
37	в данном случае	7	2
38	та или иная	3	2
39	т д и	4	2
40	это вовсе не	4	2
41	что это за	3	2
42	не только в	2	2
43	то же самое	7	2
44	в каком случае	2	2
45	тем не менее	10	2
46	или по крайней	4	2
47	само по себе	3	2
48	с первого взгляда	3	2
49	есть не что	4	2
50	до сих пор	2	2
51	во всяком случае	6	2
52	потому что они	2	2
53	д и т	4	2
54	в той или	2	2
55	потому что он	4	2
