N	2gram	Savitsky_P_1	VelikijI
1	и не	12	20
2	и в	14	16
3	то что	4	9
4	и потому	4	7
5	а не	2	7
6	в мире	2	5
7	хотя и	3	5
8	как бы	4	5
9	но и	6	5
10	все это	2	5
11	того что	2	5
12	и есть	2	4
13	в нем	3	4
14	что мы	3	4
15	в котором	4	4
16	потому что	3	4
17	в этом	10	4
18	в ней	6	4
19	говорить о	2	4
20	в его	2	4
21	что в	4	3
22	в них	2	3
23	в жизни	2	3
24	в том	9	3
25	не в	5	3
26	тот же	3	3
27	и мы	2	3
28	во всех	2	3
29	не было	2	3
30	к чему	2	3
31	хотя бы	8	3
32	должно быть	2	3
33	но в	9	3
34	с тем	3	2
35	это не	3	2
36	прежде всего	3	2
37	на этих	2	2
38	для нас	2	2
39	да и	2	2
40	том что	4	2
41	одна из	2	2
42	но не	3	2
43	не к	2	2
44	для них	2	2
45	вслед за	3	2
46	не только	17	2
47	и т	3	2
48	мы не	3	2
49	более чем	2	2
50	а в	4	2
51	духа и	2	2
52	между тем	3	2
53	является в	2	2
54	могут быть	3	2
55	только в	7	2
56	и это	2	2
