N	2gram	Tiupa_Disk_2	RusskieA
1	и в	16	36
2	не только	10	22
3	что в	5	19
4	том что	10	19
5	в том	8	17
6	но и	11	16
7	в этом	16	12
8	это не	3	10
9	как и	16	10
10	вместе с	2	10
11	и на	5	10
12	потому что	4	10
13	а в	2	9
14	состоит в	16	8
15	из них	3	8
16	может быть	16	8
17	о том	4	8
18	что и	2	7
19	так и	9	7
20	между тем	2	7
21	и не	15	6
22	при этом	17	6
23	в них	3	6
24	уже не	3	6
25	все это	2	6
26	то что	5	6
27	этом случае	2	5
28	все же	6	5
29	как будто	3	5
30	как бы	4	5
31	одно из	4	5
32	как в	8	5
33	там же	2	5
34	из этих	3	4
35	к этому	4	4
36	как уже	2	4
37	что на	2	4
38	представляет собой	11	4
39	еще не	6	4
40	еще в	3	4
41	не может	9	4
42	входит в	2	4
43	а с	5	4
44	мы имеем	2	4
45	но это	3	4
46	только в	3	4
47	не менее	7	3
48	к жизни	3	3
49	о чем	2	3
50	в этих	3	3
51	в качестве	16	3
52	в своем	5	3
53	в одном	4	3
54	а также	8	3
55	не с	2	3
56	своего рода	10	3
57	приводит к	3	3
58	то же	6	3
59	с точки	2	3
60	их в	2	3
61	точки зрения	4	3
62	то есть	12	3
63	далеко не	2	3
64	в области	2	3
65	не было	3	2
66	в частности	12	2
67	могут быть	3	2
68	в нем	7	2
69	интерес к	2	2
70	и как	3	2
71	такой же	2	2
72	но не	7	2
73	в большинстве	2	2
74	отнюдь не	6	2
75	например в	3	2
76	в ней	2	2
77	в его	3	2
78	ни одно	2	2
79	и с	2	2
80	в целом	2	2
81	с ней	2	2
82	но она	3	2
83	не на	2	2
84	тогда как	11	2
85	все эти	3	2
86	а не	14	2
87	и для	2	2
88	тут же	2	2
89	в своих	6	2
90	но в	11	2
