N	2gram	Bakhtin_Fr_2	OGranits
1	и в	49	13
2	и его	17	12
3	прежде всего	19	9
4	не может	7	8
5	и не	15	8
6	может быть	5	8
7	и т.п	11	7
8	точки зрения	6	7
9	в его	18	7
10	таким образом	7	6
11	не только	17	6
12	то что	6	6
13	только в	13	6
14	мы должны	2	6
15	как бы	11	6
16	все же	7	5
17	с точки	5	5
18	метода в	2	5
19	и эта	2	5
20	и т.д	2	5
21	то же	7	4
22	в своей	5	4
23	все это	9	4
24	на фоне	2	4
25	лишь в	4	4
26	мы можем	2	4
27	было бы	3	4
28	вполне понятно	2	4
29	но в	4	4
30	связана с	3	3
31	что в	2	3
32	никогда не	5	3
33	но и	13	3
34	так и	6	3
35	понятно что	2	3
36	в их	2	3
37	вряд ли	2	3
38	и все	3	3
39	в одном	3	3
40	точку зрения	2	3
41	превращается в	3	3
42	в ее	3	3
43	да и	3	3
44	как и	11	3
45	за пределы	2	3
46	в пределах	2	3
47	в себе	4	3
48	так как	6	3
49	еще в	2	2
50	и др	9	2
51	уже в	5	2
52	в нем	9	2
53	ее в	2	2
54	сознания и	2	2
55	связанных с	3	2
56	думать что	2	2
57	в отношении	2	2
58	в произведении	2	2
59	другой стороны	3	2
60	с другой	4	2
61	в них	13	2
62	в связи	2	2
63	а в	4	2
64	с одной	3	2
65	в течение	3	2
66	все эти	7	2
67	вовсе не	10	2
68	роль в	5	2
69	в книге	3	2
70	в тех	2	2
71	и к	4	2
72	в г	3	2
73	в том	3	2
74	наконец в	3	2
75	так же	2	2
76	том что	4	2
77	в своих	4	2
78	что они	2	2
79	в этом	15	2
80	учение о	2	2
81	тем что	4	2
82	и следовательно	2	2
83	могут быть	2	2
84	при этом	5	2
85	нуждается в	2	2
86	связанные с	2	2
87	для него	9	2
88	форм и	2	2
89	в другом	2	2
90	во всем	3	2
91	тот же	5	2
92	одной стороны	3	2
93	несмотря на	3	2
94	мы уже	6	2
95	в целях	2	2
96	в области	4	2
97	в самом	3	2
98	там где	4	2
99	в ней	2	2
