N	2gram	Tiupa_Anal_1	Morfolog
1	может быть	29	52
2	и т	3	49
3	таким образом	3	20
4	представляет собой	16	17
5	не может	22	17
6	могут быть	4	15
7	и в	18	13
8	в этом	13	13
9	так как	2	12
10	представляют собой	2	10
11	прежде всего	6	9
12	не всегда	4	9
13	так и	4	9
14	то же	9	9
15	и не	21	9
16	а не	17	9
17	мы имеем	6	9
18	с другой	4	8
19	что и	3	8
20	при помощи	2	8
21	представляет собою	2	7
22	вопрос о	2	7
23	в качестве	31	7
24	все же	4	7
25	это не	6	6
26	не могут	3	6
27	в том	27	6
28	но не	10	6
29	а также	3	6
30	а в	9	6
31	подобно тому	3	6
32	тому как	3	5
33	в ходе	3	5
34	далеко не	6	5
35	как бы	5	5
36	не все	2	5
37	один из	2	5
38	то что	6	5
39	потому что	2	5
40	что в	5	4
41	и как	5	4
42	вовсе не	2	4
43	героя в	2	4
44	отношению к	5	4
45	случае не	2	4
46	было бы	2	4
47	на его	2	4
48	несмотря на	2	4
49	не только	15	4
50	как мы	2	4
51	другой стороны	2	4
52	по отношению	6	4
53	как и	13	4
54	точки зрения	6	4
55	с точки	4	4
56	могла бы	3	4
57	на этом	2	4
58	также и	2	4
59	если в	3	4
60	оно может	3	4
61	если бы	3	3
62	в нашем	3	3
63	между собой	2	3
64	в начале	2	3
65	в какой	2	3
66	к месту	2	3
67	том что	12	3
68	в целом	5	3
69	в пределах	2	3
70	того чтобы	3	3
71	в сущности	6	3
72	он не	3	3
73	не является	2	3
74	в первом	2	3
75	ни в	4	3
76	но и	17	3
77	на самом	2	3
78	самом деле	2	3
79	из которых	4	3
80	первом случае	2	3
81	и по	2	3
82	к нему	3	3
83	из них	2	3
84	в то	9	3
85	но в	8	3
86	и более	4	2
87	в частности	19	2
88	однако в	3	2
89	его и	2	2
90	хотя бы	3	2
91	состоит в	11	2
92	как уже	2	2
93	что он	3	2
94	в собственном	3	2
95	можно сказать	2	2
96	и к	3	2
97	не с	4	2
98	то в	2	2
99	только в	6	2
100	для него	2	2
101	одной стороны	3	2
102	одному из	2	2
103	означает что	3	2
104	никто не	3	2
105	см ниже	2	2
106	себя и	4	2
107	себя в	6	2
108	вопроса о	3	2
109	и тогда	2	2
110	а с	3	2
111	с одной	3	2
112	все эти	2	2
113	того что	4	2
114	для того	4	2
115	уже не	4	2
116	и его	5	2
117	с двумя	2	2
118	в другом	4	2
119	или не	2	2
120	что мы	3	2
121	о том	5	2
122	в свое	2	2
123	героя к	2	2
124	здесь не	2	2
