N	3gram	Vygotskiy__3	EvropaiC
1	в том что	17	16
2	по отношению к	2	10
3	друг с другом	5	9
4	на то что	3	7
5	для того чтобы	7	6
6	по сравнению с	3	5
7	совершенно так же	2	4
8	не может быть	2	4
9	о том что	3	4
10	тем не менее	5	4
11	тот факт что	5	4
12	с другой стороны	3	4
13	и того же	4	3
14	так же как	6	3
15	одного и того	4	3
16	в связи с	5	3
17	и то что	2	3
18	заключается в том	7	3
19	в том виде	2	2
20	в свою очередь	2	2
21	с одной стороны	5	2
22	как и в	2	2
23	а с другой	3	2
24	заключает в себе	2	2
25	во всяком случае	4	2
26	вместе с тем	10	2
