N	2gram	Bakhtin_fo_1	FransuaR
1	и в	50	56
2	то есть	33	24
3	в романе	32	21
4	в его	13	18
5	таким образом	11	17
6	все эти	9	15
7	в этом	25	14
8	в том	9	13
9	так и	12	13
10	и его	16	12
11	в то	9	12
12	в этих	3	11
13	до конца	4	11
14	как бы	2	11
15	и т.п	4	11
16	в них	4	11
17	то же	11	11
18	же время	9	10
19	еще не	5	10
20	мы уже	11	10
21	и до	5	10
22	только в	4	9
23	в самом	8	9
24	но и	8	9
25	и не	14	9
26	том что	4	8
27	в сущности	3	8
28	не только	9	8
29	и др	9	8
30	в нем	24	8
31	во всех	6	8
32	сих пор	3	8
33	и их	8	8
34	все это	4	8
35	и даже	2	8
36	до сих	3	8
37	и с	4	8
38	в частности	6	7
39	у него	6	7
40	уже говорили	3	7
41	как мы	14	7
42	и на	8	7
43	прежде всего	15	6
44	вовсе не	13	6
45	в ее	6	6
46	мы видим	3	6
47	в той	4	6
48	той же	2	6
49	потому что	4	6
50	точки зрения	5	6
51	связи с	6	6
52	и все	6	6
53	связаны с	3	6
54	но в	10	6
55	но не	5	5
56	с его	9	5
57	никогда не	2	5
58	в отношении	3	5
59	в пределах	5	5
60	в условиях	7	5
61	ни с	2	5
62	с ее	6	5
63	как и	8	5
64	и другие	5	5
65	он не	5	5
66	один из	3	5
67	в процессе	4	5
68	что в	5	5
69	не было	7	5
70	роль в	9	5
71	в результате	6	5
72	они не	3	5
73	так сказать	7	5
74	что все	2	4
75	времени и	10	4
76	и ее	3	4
77	в себе	3	4
78	они были	2	4
79	в качестве	3	4
80	например в	6	4
81	и к	2	4
82	конечно не	4	4
83	в ней	4	4
84	и потому	3	4
85	с одной	3	4
86	при этом	3	4
87	и других	3	4
88	того чтобы	5	4
89	в основе	5	4
90	их в	3	4
91	во всем	2	4
92	ту же	2	4
93	в особенности	9	4
94	так как	6	4
95	одна из	2	4
96	в которой	2	4
97	но по	2	4
98	том числе	4	3
99	новое и	2	3
100	всех этих	5	3
101	в своем	4	3
102	в образе	5	3
103	в литературе	16	3
104	более того	3	3
105	и всей	2	3
106	здесь в	2	3
107	кроме того	4	3
108	не были	2	3
109	существенную роль	2	3
110	может быть	11	3
111	в некоторых	2	3
112	одной из	3	3
113	а также	2	3
114	был бы	3	3
115	здесь нет	3	3
116	что и	3	3
117	то что	6	3
118	время в	6	3
119	в форме	3	3
120	в их	6	3
121	в связи	5	3
122	еще и	2	3
123	на них	2	3
124	там где	2	3
125	мы находим	2	3
126	с помощью	2	3
127	уже не	2	3
128	времени в	7	3
129	не в	5	3
130	громадную роль	2	3
131	рядом с	2	3
132	конечно и	4	3
133	сказать что	3	3
134	но он	2	3
135	характер и	7	3
136	во все	2	3
137	слова и	2	3
138	характер в	2	3
139	все его	3	3
140	весь роман	2	2
141	с исключительной	2	2
142	если бы	5	2
143	в нашем	2	2
144	друг другу	2	2
145	из нее	2	2
146	характерно что	4	2
147	он становится	2	2
148	с другой	2	2
149	это не	6	2
150	уже в	2	2
151	не как	2	2
152	и во	7	2
153	в других	9	2
154	и образ	3	2
155	в одном	3	2
156	человека и	11	2
157	к этому	3	2
158	значение и	3	2
159	и были	2	2
160	и еще	2	2
161	ни в	8	2
162	и как	10	2
163	др в	2	2
164	к концу	3	2
165	совсем не	2	2
166	романа к	2	2
167	числе и	2	2
168	то время	4	2
169	момент в	2	2
170	для него	2	2
171	с их	2	2
172	на площади	4	2
173	одной стороны	2	2
174	было бы	2	2
175	себе и	3	2
176	а в	3	2
177	в центре	2	2
178	и эта	2	2
179	по преимуществу	3	2
180	мы встречаем	2	2
181	к ним	2	2
182	хотя и	3	2
183	между ними	3	2
184	в котором	4	2
185	времени с	2	2
186	его жизни	8	2
187	все же	6	2
188	в своей	2	2
189	вместе с	3	2
190	характер это	3	2
191	романа в	5	2
192	только на	3	2
193	но дело	2	2
194	во всей	3	2
195	так же	6	2
196	как раз	13	2
197	не может	6	2
198	в каком	2	2
199	в значительной	2	2
200	а не	3	2
201	для того	5	2
202	и для	4	2
203	с точки	2	2
204	его в	3	2
205	и те	3	2
206	мы не	3	2
207	в данном	2	2
208	и то	4	2
209	также и	2	2
210	в которых	2	2
211	их и	2	2
212	той или	2	2
213	мир и	2	2
214	далеко не	2	2
215	дело в	2	2
216	здесь как	2	2
217	с тем	3	2
218	с ним	2	2
219	во многом	2	2
