N	2gram	Bakhtin_Fr_1	slovoVRo
1	в романе	2	46
2	и в	65	39
3	может быть	6	37
4	и его	10	33
5	то есть	45	26
6	не только	10	24
7	и не	22	22
8	но и	10	21
9	не может	3	20
10	в нем	13	19
11	до конца	2	17
12	все это	9	16
13	в этом	15	16
14	так и	10	15
15	как в	5	13
16	отличие от	5	13
17	в процессе	2	13
18	во всех	9	12
19	в отличие	4	12
20	вовсе не	18	10
21	не в	4	9
22	и с	3	9
23	прежде всего	11	8
24	точки зрения	7	8
25	с его	5	7
26	при этом	6	7
27	для него	5	7
28	еще не	6	7
29	в его	9	7
30	как бы	22	7
31	никогда не	6	7
32	в этих	2	7
33	и потому	10	7
34	и даже	8	7
35	как мы	6	7
36	могут быть	2	7
37	с ним	3	7
38	в них	5	6
39	и к	4	6
40	все же	6	6
41	как и	5	6
42	в своем	8	6
43	но не	2	6
44	в большинстве	2	6
45	в сущности	16	6
46	значительной степени	2	6
47	жизни и	7	6
48	в значительной	6	6
49	все эти	10	6
50	так сказать	4	6
51	но в	14	6
52	не могут	3	5
53	с другой	3	5
54	это не	3	5
55	и для	2	5
56	и все	5	5
57	для нас	4	5
58	том что	6	5
59	но все	3	5
60	или иной	5	5
61	одной стороны	2	5
62	только в	7	5
63	в том	16	5
64	например в	2	5
65	и их	3	5
66	той или	5	5
67	с одной	2	5
68	уже не	3	5
69	и наконец	2	5
70	от него	2	5
71	большинстве случаев	2	5
72	мира и	4	5
73	поэтому и	4	4
74	всех этих	8	4
75	и др	24	4
76	эти формы	3	4
77	на фоне	3	4
78	узком смысле	2	4
79	в узком	4	4
80	в основном	2	4
81	в новое	3	4
82	в отношении	6	4
83	входит в	4	4
84	отношения к	2	4
85	и других	3	4
86	в той	5	4
87	в таком	2	4
88	и на	11	4
89	в основе	8	4
90	даже и	3	4
91	xix века	5	4
92	отношение к	4	4
93	его в	7	4
94	во всем	2	4
95	так как	6	4
96	что в	3	3
97	одновременно и	2	3
98	и от	2	3
99	отметить что	2	3
100	нем в	2	3
101	здесь в	8	3
102	жанры и	2	3
103	но это	3	3
104	связи с	4	3
105	его от	2	3
106	всех его	2	3
107	с их	5	3
108	и часто	2	3
109	в ней	6	3
110	к нему	3	3
111	в некоторых	2	3
112	в свете	2	3
113	этом отношении	3	3
114	с точки	3	3
115	не была	2	3
116	или даже	2	3
117	рядом с	5	3
118	связан с	3	3
119	сказать что	6	3
120	между тем	5	3
121	речи и	2	3
122	еще раз	2	3
123	в особенности	2	3
124	в чем	2	3
125	в чисто	2	3
126	ни к	2	2
127	и другие	8	2
128	хотя и	2	2
129	в xvii	3	2
130	жизни в	5	2
131	основе его	2	2
132	на котором	3	2
133	конечно в	2	2
134	новое время	3	2
135	дальнейшем развитии	2	2
136	влияние на	7	2
137	в себе	3	2
138	и здесь	3	2
139	что он	3	2
140	мировой литературе	3	2
141	в дальнейшем	8	2
142	более того	2	2
143	на протяжении	5	2
144	в германии	2	2
145	и само	2	2
146	и чисто	2	2
147	мы уже	12	2
148	за пределы	8	2
149	xvii века	4	2
150	слов о	2	2
151	о нем	3	2
152	даже в	3	2
153	и особенно	2	2
154	сих пор	4	2
155	на его	2	2
156	то что	3	2
157	дело в	2	2
158	в свой	2	2
159	подчеркнуть что	2	2
160	на него	2	2
161	в их	4	2
162	где они	3	2
163	в форме	3	2
164	кроме того	2	2
165	и ни	3	2
166	особенно в	2	2
167	еще более	5	2
168	на них	2	2
169	в себя	3	2
170	но эта	2	2
171	все формы	2	2
172	во франции	3	2
173	и т.п	17	2
174	менее всего	3	2
175	одним из	2	2
176	в чужой	2	2
177	роль в	2	2
178	или в	2	2
179	на мир	5	2
180	конечно и	3	2
181	в более	3	2
182	он не	2	2
183	далеко не	3	2
184	но как	3	2
185	не знает	6	2
186	о том	2	2
187	почти до	2	2
188	можно говорить	3	2
189	в области	7	2
190	это очень	2	2
191	в одном	5	2
192	до сих	4	2
