N	2gram	Losev_Vesc_1	formyVre
1	и в	21	50
2	в этом	4	25
3	в нем	2	24
4	и его	2	16
5	прежде всего	9	15
6	и не	29	14
7	как мы	4	14
8	вовсе не	10	13
9	как раз	9	13
10	в его	2	13
11	по существу	2	12
12	так и	3	12
13	может быть	16	11
14	таким образом	8	11
15	мы уже	3	11
16	то же	6	11
17	и как	8	10
18	но в	5	10
19	в конце	2	9
20	в том	8	9
21	все эти	3	9
22	в то	3	9
23	не только	36	9
24	ничего не	3	9
25	в самом	9	8
26	и т	19	8
27	и их	7	8
28	но и	18	8
29	как и	8	8
30	того же	5	8
31	жизни и	2	8
32	и во	3	7
33	для себя	5	7
34	все же	4	6
35	это не	5	6
36	с ее	6	6
37	не может	17	6
38	в результате	3	6
39	так как	7	6
40	у него	2	6
41	с этим	3	6
42	и все	5	6
43	в жизни	3	6
44	и того	2	6
45	во всех	2	6
46	то что	27	6
47	в ее	7	6
48	что в	9	5
49	не в	5	5
50	с самим	4	5
51	в разных	4	5
52	только и	2	5
53	в основе	3	5
54	точки зрения	5	5
55	если бы	5	5
56	отнюдь не	5	5
57	но не	5	5
58	еще не	8	5
59	того чтобы	3	5
60	для того	2	5
61	и у	3	5
62	но на	2	4
63	в своем	6	4
64	было и	2	4
65	кроме того	4	4
66	и следовательно	7	4
67	в котором	3	4
68	все это	5	4
69	потому что	16	4
70	и с	8	4
71	в ней	12	4
72	к себе	4	4
73	или как	2	4
74	в той	3	4
75	том что	8	4
76	и для	9	4
77	и то	10	4
78	только в	14	4
79	и это	14	4
80	мы еще	2	3
81	себя и	4	3
82	в отношении	4	3
83	к тому	3	3
84	да и	3	3
85	с тем	5	3
86	хотя и	4	3
87	в виду	2	3
88	один из	3	3
89	с одной	3	3
90	чем не	2	3
91	а в	4	3
92	вообще не	2	3
93	их в	3	3
94	сказать что	17	3
95	самим собою	2	3
96	его в	2	3
97	в одном	2	3
98	и образ	3	3
99	есть не	14	3
100	одно и	5	3
101	в сущности	4	3
102	мы говорили	2	3
103	по преимуществу	2	3
104	и потому	5	3
105	только к	2	3
106	что и	3	3
107	только на	3	3
108	еще более	2	3
109	а не	19	3
110	что не	5	3
111	между ними	3	3
112	мы не	6	3
113	мы видим	2	3
114	или в	2	3
115	с другими	8	3
116	нас в	3	3
117	во всяком	3	3
118	быть только	3	3
119	и ее	18	3
120	в себе	14	3
121	и вне	2	3
122	никогда не	2	2
123	его и	2	2
124	с другой	6	2
125	что все	2	2
126	была бы	2	2
127	а только	3	2
128	для нас	2	2
129	в свою	4	2
130	момент в	6	2
131	для него	4	2
132	одной стороны	3	2
133	но для	2	2
134	есть только	7	2
135	ни с	6	2
136	еще и	8	2
137	только я	3	2
138	можно только	4	2
139	мы находим	2	2
140	в самой	2	2
141	во втором	2	2
142	того что	8	2
143	и даже	6	2
144	или не	2	2
145	также и	6	2
146	но он	2	2
147	той или	2	2
148	и еще	2	2
149	необходимо чтобы	3	2
150	что мы	14	2
151	мы должны	2	2
152	с ним	8	2
153	сравнению с	6	2
154	тогда когда	5	2
155	ясно что	8	2
156	по себе	13	2
157	стороны и	2	2
158	об этом	3	2
159	в чем	6	2
160	одна из	5	2
161	есть именно	6	2
162	равно как	2	2
163	и может	2	2
164	было бы	14	2
165	по самому	3	2
166	начиная от	2	2
167	к ней	2	2
168	оно не	3	2
169	но она	3	2
170	по сравнению	7	2
171	в своей	5	2
172	как бы	12	2
173	какое это	3	2
174	даже не	7	2
175	совершенно не	5	2
176	если мы	8	2
177	уже не	9	2
178	и эта	3	2
179	с точки	3	2
180	хотя бы	6	2
181	той же	2	2
182	в данном	5	2
183	как она	4	2
184	от этого	2	2
185	тем что	2	2
186	выражение в	3	2
187	неотделимо от	2	2
188	того и	2	2
189	ту же	2	2
190	как оно	3	2
191	слова и	5	2
192	дело в	4	2
